,pop_size,F,CR,mse
0,2,0.0,0.0,[138.76417542]
1,2,0.0,0.15,[100.55934906]
2,2,0.0,0.3,[157.77012634]
3,2,0.0,0.45,[157.14857483]
4,2,0.0,0.6,[126.03271484]
5,2,0.0,0.75,[134.78569031]
6,2,0.0,0.9,[137.47167969]
7,2,0.0,1.0,[157.99223328]
8,2,0.15,0.0,[128.37757874]
9,2,0.15,0.15,[128.81929016]
10,2,0.15,0.3,[156.79039001]
11,2,0.15,0.45,[158.20536804]
12,2,0.15,0.6,[157.82133484]
13,2,0.15,0.75,[125.94287109]
14,2,0.15,0.9,[133.34474182]
15,2,0.15,1.0,[129.24717712]
16,2,0.3,0.0,[142.99757385]
17,2,0.3,0.15,[133.4355011]
18,2,0.3,0.3,[119.8442688]
19,2,0.3,0.45,[136.01948547]
20,2,0.3,0.6,[113.12679291]
21,2,0.3,0.75,[157.90220642]
22,2,0.3,0.9,[156.72288513]
23,2,0.3,1.0,[156.83789062]
24,2,0.45,0.0,[129.44604492]
25,2,0.45,0.15,[118.82918549]
26,2,0.45,0.3,[128.58312988]
27,2,0.45,0.45,[156.62672424]
28,2,0.45,0.6,[131.18804932]
29,2,0.45,0.75,[158.0368042]
30,2,0.45,0.9,[156.97952271]
31,2,0.45,1.0,[132.46447754]
32,2,0.6,0.0,[131.63128662]
33,2,0.6,0.15,[137.76211548]
34,2,0.6,0.3,[122.91364288]
35,2,0.6,0.45,[130.1247406]
36,2,0.6,0.6,[138.32019043]
37,2,0.6,0.75,[158.33621216]
38,2,0.6,0.9,[138.40174866]
39,2,0.6,1.0,[158.2144928]
40,2,0.75,0.0,[132.63404846]
41,2,0.75,0.15,[133.86134338]
42,2,0.75,0.3,[121.74919128]
43,2,0.75,0.45,[120.65973663]
44,2,0.75,0.6,[112.7948761]
45,2,0.75,0.75,[157.96746826]
46,2,0.75,0.9,[155.19322205]
47,2,0.75,1.0,[156.90367126]
48,2,0.9,0.0,[132.38859558]
49,2,0.9,0.15,[133.7538147]
50,2,0.9,0.3,[122.62626648]
51,2,0.9,0.45,[137.0177002]
52,2,0.9,0.6,[130.0622406]
53,2,0.9,0.75,[132.43922424]
54,2,0.9,0.9,[158.17411804]
55,2,0.9,1.0,[159.22090149]
56,2,1.0,0.0,[134.09257507]
57,2,1.0,0.15,[129.02041626]
58,2,1.0,0.3,[127.36100006]
59,2,1.0,0.45,[133.75099182]
60,2,1.0,0.6,[153.44326782]
61,2,1.0,0.75,[130.34997559]
62,2,1.0,0.9,[128.96603394]
63,2,1.0,1.0,[132.07217407]
64,5,0.0,0.0,[125.56537628]
65,5,0.0,0.15,[104.68341064]
66,5,0.0,0.3,[112.65424347]
67,5,0.0,0.45,[118.51194]
68,5,0.0,0.6,[124.12575531]
69,5,0.0,0.75,[124.82410431]
70,5,0.0,0.9,[123.12792206]
71,5,0.0,1.0,[122.85074615]
72,5,0.15,0.0,[129.77261353]
73,5,0.15,0.15,[107.45375824]
74,5,0.15,0.3,[101.86837769]
75,5,0.15,0.45,[109.29890442]
76,5,0.15,0.6,[101.43916321]
77,5,0.15,0.75,[118.65956879]
78,5,0.15,0.9,[124.24588013]
79,5,0.15,1.0,[122.48278046]
80,5,0.3,0.0,[123.32478333]
81,5,0.3,0.15,[104.38041687]
82,5,0.3,0.3,[123.39701843]
83,5,0.3,0.45,[120.59928894]
84,5,0.3,0.6,[98.38546753]
85,5,0.3,0.75,[122.59278107]
86,5,0.3,0.9,[122.97740936]
87,5,0.3,1.0,[122.6074295]
88,5,0.45,0.0,[124.54165649]
89,5,0.45,0.15,[106.63314056]
90,5,0.45,0.3,[111.62991333]
91,5,0.45,0.45,[106.07415771]
92,5,0.45,0.6,[123.57743835]
93,5,0.45,0.75,[121.90276337]
94,5,0.45,0.9,[124.61743164]
95,5,0.45,1.0,[123.76079559]
96,5,0.6,0.0,[128.61853027]
97,5,0.6,0.15,[104.96879578]
98,5,0.6,0.3,[123.13297272]
99,5,0.6,0.45,[105.05622864]
100,5,0.6,0.6,[123.76834106]
101,5,0.6,0.75,[122.6479187]
102,5,0.6,0.9,[121.23349762]
103,5,0.6,1.0,[121.8192749]
104,5,0.75,0.0,[123.70388031]
105,5,0.75,0.15,[104.09976959]
106,5,0.75,0.3,[124.85458374]
107,5,0.75,0.45,[124.12604523]
108,5,0.75,0.6,[120.63023376]
109,5,0.75,0.75,[100.02561951]
110,5,0.75,0.9,[125.35370636]
111,5,0.75,1.0,[124.4312439]
112,5,0.9,0.0,[125.08256531]
113,5,0.9,0.15,[99.74492645]
114,5,0.9,0.3,[103.57239532]
115,5,0.9,0.45,[99.70090485]
116,5,0.9,0.6,[98.81123352]
117,5,0.9,0.75,[103.82366943]
118,5,0.9,0.9,[123.59201813]
119,5,0.9,1.0,[98.04993439]
120,5,1.0,0.0,[128.07627869]
121,5,1.0,0.15,[101.44664001]
122,5,1.0,0.3,[100.58766937]
123,5,1.0,0.45,[126.98339844]
124,5,1.0,0.6,[99.37548828]
125,5,1.0,0.75,[101.39356232]
126,5,1.0,0.9,[124.26540375]
127,5,1.0,1.0,[101.65855408]
128,10,0.0,0.0,[129.26663208]
129,10,0.0,0.15,[106.50817108]
130,10,0.0,0.3,[128.02024841]
131,10,0.0,0.45,[113.19662476]
132,10,0.0,0.6,[126.80141449]
133,10,0.0,0.75,[122.76715088]
134,10,0.0,0.9,[124.09331512]
135,10,0.0,1.0,[128.65774536]
136,10,0.15,0.0,[125.72829437]
137,10,0.15,0.15,[125.49487305]
138,10,0.15,0.3,[105.56040192]
139,10,0.15,0.45,[97.15452576]
140,10,0.15,0.6,[108.74795532]
141,10,0.15,0.75,[102.78581238]
142,10,0.15,0.9,[123.43136597]
143,10,0.15,1.0,[105.0022583]
144,10,0.3,0.0,[127.24490356]
145,10,0.3,0.15,[123.28334808]
146,10,0.3,0.3,[106.73348236]
147,10,0.3,0.45,[114.05188751]
148,10,0.3,0.6,[125.02355194]
149,10,0.3,0.75,[119.13903046]
150,10,0.3,0.9,[121.30591583]
151,10,0.3,1.0,[127.04502106]
152,10,0.45,0.0,[124.64051819]
153,10,0.45,0.15,[124.61524963]
154,10,0.45,0.3,[107.28859711]
155,10,0.45,0.45,[121.68135071]
156,10,0.45,0.6,[117.40988922]
157,10,0.45,0.75,[99.18454742]
158,10,0.45,0.9,[122.14515686]
159,10,0.45,1.0,[112.01324463]
160,10,0.6,0.0,[122.31948853]
161,10,0.6,0.15,[111.9539032]
162,10,0.6,0.3,[103.56248474]
163,10,0.6,0.45,[100.02088165]
164,10,0.6,0.6,[127.23249817]
