,iteration,start_time,end_time,val_mse
0,1,1631645285.2741175,1631645286.600693,131.54977416992188
1,2,1631645286.6026344,1631645287.937032,133.6169891357422
2,3,1631645287.9392722,1631645289.099222,155.68521118164062
3,4,1631645289.1012933,1631645289.9790874,142.5828399658203
4,5,1631645289.9812324,1631645291.4959111,132.7783203125
5,6,1631645291.4980657,1631645292.812912,137.47531127929688
6,7,1631645292.815161,1631645294.0968063,140.6102294921875
7,8,1631645294.1013296,1631645295.4340472,136.04066467285156
8,9,1631645295.4363048,1631645297.2785876,133.39671325683594
9,10,1631645297.2807584,1631645298.9506419,125.77021789550781
10,11,1631645298.9551353,1631645300.6659176,139.79527282714844
11,12,1631645300.6682246,1631645302.0414352,130.30966186523438
12,13,1631645302.0435994,1631645303.3691483,134.64303588867188
13,14,1631645303.3713665,1631645304.8493602,132.7321014404297
14,15,1631645304.8515792,1631645306.0309143,132.65673828125
15,16,1631645306.0335972,1631645306.9151733,134.89036560058594
16,17,1631645306.9173672,1631645308.4631972,137.86109924316406
17,18,1631645308.4654315,1631645309.413621,113.19662475585938
