,iteration,start_time,end_time,val_mse
0,1,1631645970.5223026,1631645971.8467975,129.6432647705078
1,2,1631645971.8487525,1631645973.3366947,129.2698974609375
2,3,1631645973.3397985,1631645975.0987108,135.61813354492188
3,4,1631645975.1020234,1631645976.7040439,136.72276306152344
4,5,1631645976.707358,1631645978.7796886,129.09243774414062
5,6,1631645978.783042,1631645980.7535648,139.1541748046875
6,7,1631645980.7564726,1631645983.0089657,133.16432189941406
7,8,1631645983.01207,1631645985.3179514,136.80479431152344
8,9,1631645985.3212736,1631645987.5681934,134.52838134765625
9,10,1631645987.5712006,1631645989.9341424,131.91114807128906
10,11,1631645989.9374855,1631645992.0698853,131.2513427734375
11,12,1631645992.0729878,1631645994.3647933,136.0868682861328
12,13,1631645994.3679607,1631645996.6554663,127.0450210571289
13,14,1631645996.658783,1631645998.952963,132.29266357421875
14,15,1631645998.9568195,1631646001.4105828,132.47689819335938
15,16,1631646001.413889,1631646003.988538,131.14376831054688
16,17,1631646003.9920146,1631646006.410667,127.83145904541016
17,18,1631646006.4140348,1631646008.8261063,135.94619750976562
