,model,learning_rate,dropout,n_hidden,hidden_1,hidden_2,hidden_3,hidden_4,hidden_5
0,lstm,0.1,0.8,5,34,71,89,90,12
1,lstm,0.1,0.8,4,48,34,92,70,28
2,lstm,0.1,0.8,4,48,34,92,70,28
3,lstm,0.1,0.8,5,32,50,99,83,15
4,lstm,0.1,0.6,4,49,75,71,84,20
5,lstm,0.1,0.5,4,51,97,58,92,15
6,lstm,0.1,0.8,4,48,34,92,70,28
7,lstm,0.1,0.8,4,48,34,91,70,28
8,lstm,0.1,0.8,4,48,34,90,70,28
9,lstm,0.1,0.8,4,50,32,93,69,30
10,lstm,0.1,0.8,5,34,71,89,90,12
11,lstm,0.1,0.7,5,35,86,80,95,9
12,lstm,0.1,0.8,4,48,34,92,70,28
13,lstm,0.1,0.8,5,34,71,89,90,12
14,lstm,0.1,0.5,4,50,91,61,90,16
15,lstm,0.1,0.6,5,35,93,77,97,7
16,lstm,0.1,0.7,5,34,80,83,93,10
17,lstm,0.1,0.8,5,34,71,89,90,12
