,iteration,start_time,end_time,val_mse
0,1,1631647257.7985353,1631647259.123725,128.12115478515625
1,2,1631647259.125758,1631647260.4813056,136.5583038330078
2,3,1631647260.483537,1631647262.1888258,138.26148986816406
3,4,1631647262.1914568,1631647263.9111068,136.97206115722656
4,5,1631647263.9144826,1631647265.9815786,133.6144256591797
5,6,1631647265.9847596,1631647268.2001607,133.72328186035156
6,7,1631647268.2035496,1631647270.2344286,129.0341339111328
7,8,1631647270.2376137,1631647272.2565606,129.1240234375
8,9,1631647272.2601392,1631647274.157885,133.7424774169922
9,10,1631647274.1607642,1631647276.4032083,135.4317626953125
10,11,1631647276.4064693,1631647278.5774884,132.61248779296875
11,12,1631647278.5810316,1631647280.6712737,133.0688018798828
12,13,1631647280.674562,1631647282.6467075,127.76821899414062
13,14,1631647282.649908,1631647284.766751,127.25885772705078
14,15,1631647284.7705657,1631647286.860638,131.3438720703125
15,16,1631647286.8639576,1631647288.8459702,134.5179443359375
16,17,1631647288.8494766,1631647290.8564618,132.05328369140625
17,18,1631647290.8598099,1631647292.7922182,131.00729370117188
