,function_evaluations,iteration,start_time,end_time,val_mse
0,1,1,1631642760.6758344,1631642760.8548343,170.29969787597656
1,2,1,1631642760.8553324,1631642760.8788657,157.30752563476562
2,3,2,1631642760.8810914,1631642760.961482,173.57423400878906
3,4,2,1631642760.961916,1631642760.967606,165.04275512695312
4,5,3,1631642760.969102,1631642761.046225,173.99957275390625
5,6,3,1631642761.0466754,1631642761.0524018,160.51101684570312
6,7,4,1631642761.0538118,1631642761.13086,173.8709716796875
7,8,4,1631642761.1313088,1631642761.1369953,171.2448272705078
8,9,5,1631642761.1384127,1631642761.2155437,175.29946899414062
9,10,5,1631642761.2159793,1631642761.2216272,151.63238525390625
10,11,6,1631642761.2230217,1631642761.300625,172.8894805908203
11,12,6,1631642761.3010337,1631642761.3068929,146.9072723388672
12,13,7,1631642761.3083127,1631642761.3857768,170.38467407226562
13,14,7,1631642761.3861907,1631642761.3920033,164.12176513671875
14,15,8,1631642761.3934102,1631642761.4708421,172.0556182861328
15,16,8,1631642761.4712493,1631642761.4770308,181.23199462890625
16,17,9,1631642761.4783173,1631642761.556558,160.68544006347656
17,18,9,1631642761.5569656,1631642761.562672,159.63978576660156
18,19,10,1631642761.5640185,1631642761.6411054,178.7187957763672
19,20,10,1631642761.641521,1631642761.6472492,194.27313232421875
20,21,11,1631642761.6486552,1631642761.7260542,174.10601806640625
21,22,11,1631642761.7264705,1631642761.7321472,166.08274841308594
22,23,12,1631642761.7335062,1631642761.8110194,163.17140197753906
23,24,12,1631642761.811535,1631642761.8170938,169.6378936767578
24,25,13,1631642761.8184428,1631642761.8959844,158.9296875
25,26,13,1631642761.896501,1631642761.9020429,158.49757385253906
26,27,14,1631642761.9034476,1631642761.9810455,174.4373321533203
27,28,14,1631642761.9815545,1631642761.9871354,153.16629028320312
28,29,15,1631642761.9886146,1631642762.0658903,167.2799835205078
29,30,15,1631642762.066301,1631642762.0720024,143.44482421875
30,31,16,1631642762.0733683,1631642762.1511378,169.1513671875
31,32,16,1631642762.1515505,1631642762.1572444,152.8540496826172
32,33,17,1631642762.1586504,1631642762.2359886,165.31298828125
33,34,17,1631642762.2364056,1631642762.2421966,163.2435302734375
34,35,18,1631642762.243555,1631642762.321003,172.22999572753906
35,36,18,1631642762.3214185,1631642762.3271236,138.76417541503906
36,37,19,1631642762.328542,1631642762.4071016,167.07789611816406
37,38,19,1631642762.4075446,1631642762.4133074,140.8264617919922
38,39,20,1631642762.414717,1631642762.4922433,167.94439697265625
39,40,20,1631642762.4926577,1631642762.4983792,180.70086669921875
40,41,21,1631642762.4996767,1631642762.5773308,175.09701538085938
41,42,21,1631642762.577747,1631642762.5834458,167.0584259033203
42,43,22,1631642762.5848565,1631642762.662471,171.1736602783203
43,44,22,1631642762.6628852,1631642762.6685762,160.47549438476562
44,45,23,1631642762.6699302,1631642762.748702,170.55462646484375
45,46,23,1631642762.7491922,1631642762.7548895,158.5128936767578
46,47,24,1631642762.7562435,1631642762.8335526,164.8870849609375
47,48,24,1631642762.8339617,1631642762.839757,139.25735473632812
48,49,25,1631642762.841171,1631642762.9184563,174.52944946289062
