,iteration,start_time,end_time,val_mse
0,1,1631642863.767451,1631642863.854104,175.95472717285156
1,2,1631642863.85534,1631642864.0809374,163.23951721191406
2,3,1631642864.083116,1631642864.309031,164.39321899414062
3,4,1631642864.3112566,1631642864.541631,163.3756103515625
4,5,1631642864.543941,1631642864.7696018,172.9026641845703
5,6,1631642864.7718492,1631642864.9974337,161.4975128173828
6,7,1631642864.9996247,1631642865.3002527,163.86785888671875
7,8,1631642865.3026123,1631642865.5315971,162.04649353027344
8,9,1631642865.5338259,1631642865.8312566,161.00535583496094
9,10,1631642865.8334854,1631642866.028273,161.98776245117188
10,11,1631642866.0302718,1631642866.2590406,160.6090087890625
11,12,1631642866.2611988,1631642866.477461,162.4524688720703
12,13,1631642866.4795947,1631642866.6496227,166.70870971679688
13,14,1631642866.651288,1631642866.9278066,158.37222290039062
14,15,1631642866.9300125,1631642867.1632469,164.99365234375
15,16,1631642867.1652641,1631642867.4332037,161.93618774414062
16,17,1631642867.4354033,1631642867.700119,157.82260131835938
17,18,1631642867.702265,1631642867.97968,166.1920928955078
18,19,1631642867.9819067,1631642868.263392,172.65354919433594
19,20,1631642868.2656243,1631642868.5433571,159.4038543701172
20,21,1631642868.5456028,1631642868.7879858,173.29380798339844
21,22,1631642868.7900848,1631642869.0665224,172.27713012695312
22,23,1631642869.068723,1631642869.3470473,162.7193603515625
23,24,1631642869.3493083,1631642869.6261172,167.2027587890625
24,25,1631642869.6283898,1631642869.9043531,162.37753295898438
25,26,1631642869.9065735,1631642870.1921816,167.25572204589844
26,27,1631642870.1945026,1631642870.4713185,172.2823944091797
27,28,1631642870.4735944,1631642870.7425318,159.61529541015625
28,29,1631642870.7447605,1631642871.0051095,162.22364807128906
29,30,1631642871.0072396,1631642871.2756748,163.29336547851562
30,31,1631642871.2778826,1631642871.5475926,161.5580596923828
31,32,1631642871.5498252,1631642871.8183954,160.90357971191406
32,33,1631642871.8206089,1631642872.07694,160.78025817871094
33,34,1631642872.0790899,1631642872.348942,167.41676330566406
34,35,1631642872.3511693,1631642872.6200268,164.13844299316406
35,36,1631642872.6222627,1631642872.8915796,164.39566040039062
36,37,1631642872.893807,1631642873.1626246,171.5105743408203
37,38,1631642873.1648324,1631642873.4342105,160.52601623535156
38,39,1631642873.4364297,1631642873.7065933,159.8321990966797
39,40,1631642873.7087922,1631642873.9777277,166.95619201660156
40,41,1631642873.979945,1631642874.245022,172.40147399902344
41,42,1631642874.247197,1631642874.5179405,159.0109100341797
42,43,1631642874.5201802,1631642874.776701,172.1218719482422
43,44,1631642874.7788482,1631642875.052309,167.84185791015625
44,45,1631642875.0545373,1631642875.3234177,165.4894256591797
45,46,1631642875.3256342,1631642875.5987384,164.10960388183594
46,47,1631642875.601023,1631642875.8725374,160.4484405517578
47,48,1631642875.8747482,1631642876.1466372,169.2120819091797
48,49,1631642876.1489143,1631642876.4207652,164.498046875
49,50,1631642876.4229949,1631642876.6947012,163.94619750976562
50,51,1631642876.6969273,1631642876.970316,164.10475158691406
51,52,1631642876.9725473,1631642877.2425058,166.3886260986328
52,53,1631642877.2447293,1631642877.514944,156.79039001464844
53,54,1631642877.5171611,1631642877.7875235,160.02960205078125
54,55,1631642877.789757,1631642878.0725353,160.294921875
55,56,1631642878.0747738,1631642878.3500936,169.19699096679688
56,57,1631642878.352348,1631642878.6225033,159.90988159179688
57,58,1631642878.6247118,1631642878.8946989,163.2904052734375
58,59,1631642878.8969667,1631642879.1669943,165.1493682861328
59,60,1631642879.1692033,1631642879.4527144,161.94989013671875
60,61,1631642879.4549499,1631642879.7256975,163.7728271484375
61,62,1631642879.727949,1631642879.9976194,160.78326416015625
62,63,1631642879.999845,1631642880.2709148,165.8058624267578
63,64,1631642880.273128,1631642880.5438907,169.51181030273438
64,65,1631642880.546103,1631642880.8165054,166.94964599609375
65,66,1631642880.8187296,1631642881.093575,158.44338989257812
66,67,1631642881.0957968,1631642881.3499284,165.67799377441406
67,68,1631642881.3521533,1631642881.6227787,167.06893920898438
68,69,1631642881.6249986,1631642881.8958297,160.0151824951172
69,70,1631642881.898075,1631642882.1683218,162.2195587158203
70,71,1631642882.1705613,1631642882.4410884,165.27182006835938
71,72,1631642882.4433203,1631642882.7145207,172.14193725585938
72,73,1631642882.7167397,1631642882.9868762,159.35743713378906
73,74,1631642882.9891305,1631642883.2638886,164.2472686767578
74,75,1631642883.266124,1631642883.5370586,160.4132843017578
75,76,1631642883.5393205,1631642883.8099551,165.86024475097656
76,77,1631642883.8121905,1631642884.082298,163.70753479003906
77,78,1631642884.084433,1631642884.3554032,161.0053253173828
78,79,1631642884.3575878,1631642884.6283612,161.8638916015625
79,80,1631642884.6306105,1631642884.9015322,164.74734497070312
80,81,1631642884.9037645,1631642885.1741645,172.6246795654297
81,82,1631642885.176395,1631642885.4424357,162.34085083007812
82,83,1631642885.4446244,1631642885.7163124,172.5082550048828
83,84,1631642885.7185357,1631642885.989552,169.30734252929688
84,85,1631642885.991776,1631642886.2627282,160.51922607421875
85,86,1631642886.2649481,1631642886.5364482,159.8375244140625
86,87,1631642886.5387313,1631642886.8094387,163.3784637451172
87,88,1631642886.811668,1631642887.0822704,164.07461547851562
88,89,1631642887.0845141,1631642887.3555229,161.98565673828125
89,90,1631642887.3577693,1631642887.6296194,160.82574462890625
