,function_evaluations,iteration,start_time,end_time,val_mse
0,1,1,1631642960.8688245,1631642960.9501295,165.06814575195312
1,2,1,1631642960.9505532,1631642960.9564066,158.7339324951172
2,3,2,1631642960.9577115,1631642961.0355399,171.95486450195312
3,4,2,1631642961.0359557,1631642961.1852567,160.2143096923828
4,5,3,1631642961.1874611,1631642961.265138,162.2680206298828
5,6,3,1631642961.2655632,1631642961.3436139,159.52706909179688
6,7,4,1631642961.3454673,1631642961.5798433,166.0159912109375
7,8,4,1631642961.5809455,1631642961.5868685,168.69223022460938
8,9,5,1631642961.5881991,1631642961.66608,161.54811096191406
9,10,5,1631642961.6665084,1631642961.9303982,162.00198364257812
10,11,6,1631642961.9333773,1631642962.0112255,163.24620056152344
11,12,6,1631642962.011652,1631642962.0895958,177.5100860595703
12,13,7,1631642962.0914476,1631642962.2936668,166.76864624023438
13,14,7,1631642962.294655,1631642962.3727145,164.14439392089844
14,15,8,1631642962.3746338,1631642962.515434,171.21897888183594
15,16,8,1631642962.516221,1631642962.7076797,162.6271514892578
16,17,9,1631642962.7100105,1631642962.7157438,174.44552612304688
17,18,9,1631642962.7158866,1631642962.9405851,168.20010375976562
18,19,10,1631642962.9430983,1631642963.0290453,162.03680419921875
19,20,10,1631642963.0295076,1631642963.2673843,172.51522827148438
20,21,11,1631642963.2702293,1631642963.3481033,172.47227478027344
21,22,11,1631642963.348539,1631642963.35436,170.1295928955078
22,23,12,1631642963.355736,1631642963.4918222,168.39910888671875
23,24,12,1631642963.4926052,1631642963.5709968,161.66543579101562
24,25,13,1631642963.5729334,1631642963.6513581,165.8571014404297
25,26,13,1631642963.651787,1631642963.6576197,142.97952270507812
26,27,14,1631642963.6590827,1631642964.012859,162.20652770996094
27,28,14,1631642964.014668,1631642964.0206323,163.79937744140625
28,29,15,1631642964.022038,1631642964.027701,158.09703063964844
29,30,15,1631642964.0278466,1631642964.0335307,137.72386169433594
30,31,16,1631642964.034852,1631642964.0405207,165.37417602539062
31,32,16,1631642964.0406632,1631642964.046328,154.3737335205078
32,33,17,1631642964.047643,1631642964.0533032,162.28721618652344
33,34,17,1631642964.0534518,1631642964.0591977,164.7655792236328
34,35,18,1631642964.060505,1631642964.0661514,176.33990478515625
35,36,18,1631642964.0662937,1631642964.071967,154.93446350097656
36,37,19,1631642964.0732715,1631642964.0789282,164.69964599609375
37,38,19,1631642964.079072,1631642964.0847483,161.72039794921875
38,39,20,1631642964.086056,1631642964.092137,164.32748413085938
39,40,20,1631642964.0923033,1631642964.0979645,166.6700439453125
40,41,21,1631642964.0992677,1631642964.1049569,146.88671875
41,42,21,1631642964.1051054,1631642964.1107976,144.87977600097656
42,43,22,1631642964.1121051,1631642964.117772,157.6945037841797
43,44,22,1631642964.117915,1631642964.123601,169.00814819335938
44,45,23,1631642964.1249044,1631642964.1305735,157.01368713378906
45,46,23,1631642964.1307173,1631642964.1364856,167.8507537841797
46,47,24,1631642964.1377876,1631642964.1434488,158.6463623046875
47,48,24,1631642964.1435966,1631642964.149312,156.8538818359375
48,49,25,1631642964.150624,1631642964.15631,167.12313842773438
49,50,25,1631642964.156459,1631642964.1621366,158.54803466796875
50,51,26,1631642964.1634486,1631642964.1691277,166.62892150878906
51,52,26,1631642964.1692715,1631642964.1750298,151.90711975097656
52,53,27,1631642964.1763382,1631642964.1819997,152.0069580078125
53,54,27,1631642964.1821408,1631642964.1878226,173.46023559570312
54,55,28,1631642964.189134,1631642964.1948035,163.34095764160156
55,56,28,1631642964.1949446,1631642964.2006726,155.3840789794922
56,57,29,1631642964.2019792,1631642964.20765,161.0113525390625
57,58,29,1631642964.2077913,1631642964.2135646,156.4620819091797
58,59,30,1631642964.2148755,1631642964.2205584,186.11370849609375
59,60,30,1631642964.22071,1631642964.2263868,169.4826202392578
60,61,31,1631642964.2277002,1631642964.2333694,173.0142822265625
61,62,31,1631642964.233513,1631642964.239205,156.5428466796875
62,63,32,1631642964.2405183,1631642964.246183,162.04122924804688
63,64,32,1631642964.2463243,1631642964.2520835,159.59466552734375
64,65,33,1631642964.253399,1631642964.2590744,155.45254516601562
65,66,33,1631642964.259216,1631642964.264916,162.27447509765625
66,67,34,1631642964.2662215,1631642964.2718976,148.658203125
67,68,34,1631642964.2720392,1631642964.2777214,159.4154052734375
68,69,35,1631642964.2790232,1631642964.284689,158.98049926757812
69,70,35,1631642964.284831,1631642964.2905831,136.95785522460938
70,71,36,1631642964.2918932,1631642964.2975528,165.21470642089844
71,72,36,1631642964.2976947,1631642964.303377,156.61068725585938
72,73,37,1631642964.3046863,1631642964.3103595,161.48294067382812
73,74,37,1631642964.310503,1631642964.3161762,151.54916381835938
74,75,38,1631642964.3174903,1631642964.323145,140.30169677734375
75,76,38,1631642964.3232868,1631642964.3290174,170.5657196044922
76,77,39,1631642964.3303244,1631642964.335982,175.39096069335938
77,78,39,1631642964.3361247,1631642964.341788,157.91773986816406
78,79,40,1631642964.343092,1631642964.348802,147.34571838378906
79,80,40,1631642964.3489454,1631642964.3546035,145.24127197265625
80,81,41,1631642964.355909,1631642964.3615825,157.1369171142578
81,82,41,1631642964.361726,1631642964.367467,130.49392700195312
82,83,42,1631642964.3687737,1631642964.3744395,156.98150634765625
83,84,42,1631642964.3745823,1631642964.3802612,163.53199768066406
84,85,43,1631642964.3815672,1631642964.3872325,163.0838623046875
85,86,43,1631642964.3873808,1631642964.393048,150.09320068359375
86,87,44,1631642964.3943563,1631642964.4000142,178.7394561767578
87,88,44,1631642964.400157,1631642964.4059033,169.67245483398438
88,89,45,1631642964.4072082,1631642964.4128783,166.7036590576172
89,90,45,1631642964.413022,1631642964.4186993,149.78488159179688
90,91,46,1631642964.4200006,1631642964.4256783,168.21180725097656
91,92,46,1631642964.425832,1631642964.4315088,173.2438507080078
92,93,47,1631642964.4328158,1631642964.4388993,184.82034301757812
93,94,47,1631642964.4390426,1631642964.4447806,142.9904022216797
94,95,48,1631642964.446087,1631642964.4518447,160.07713317871094
95,96,48,1631642964.4519887,1631642964.4577553,170.32464599609375
96,97,49,1631642964.4590561,1631642964.4647417,155.1715545654297
97,98,49,1631642964.4648852,1631642964.4705665,160.92698669433594
98,99,50,1631642964.471869,1631642964.4775364,153.96141052246094
99,100,50,1631642964.4776802,1631642964.483419,158.61317443847656
100,101,51,1631642964.4847221,1631642964.490374,160.35882568359375
101,102,51,1631642964.4905224,1631642964.4961822,129.24717712402344
102,103,52,1631642964.4974906,1631642964.5031483,157.4708709716797
103,104,52,1631642964.5032914,1631642964.5089662,166.10568237304688
