,function_evaluations,iteration,start_time,end_time,val_mse
0,1,1,1631647954.4224362,1631647954.5051637,167.39854431152344
1,2,1,1631647954.505568,1631647954.5111897,157.28843688964844
2,3,1,1631647954.5113873,1631647954.6665807,141.6345672607422
3,4,1,1631647954.667359,1631647954.8337286,153.07711791992188
4,5,1,1631647954.83473,1631647954.842576,167.3672332763672
5,6,1,1631647954.842733,1631647954.9126909,162.34970092773438
6,7,1,1631647954.9131062,1631647955.1430647,164.36546325683594
7,8,1,1631647955.1445334,1631647955.388832,140.8187255859375
8,9,1,1631647955.389999,1631647955.7425098,161.68453979492188
9,10,1,1631647955.7446454,1631647955.7506378,168.00741577148438
10,11,1,1631647955.7507946,1631647955.9421155,171.67567443847656
11,12,1,1631647955.9431264,1631647955.951841,104.86347198486328
12,13,1,1631647955.952159,1631647955.9569483,173.53196716308594
13,14,1,1631647955.957091,1631647955.9615982,188.24180603027344
14,15,1,1631647955.9617417,1631647955.967568,167.0860595703125
15,16,1,1631647955.9677148,1631647956.3759093,164.20240783691406
16,17,1,1631647956.3778722,1631647956.6818733,146.49136352539062
17,18,1,1631647956.6833916,1631647956.909317,182.02296447753906
18,19,1,1631647956.9106085,1631647956.9153879,176.42405700683594
19,20,1,1631647956.915536,1631647956.922172,153.0234375
20,21,2,1631647956.925104,1631647956.9338102,120.93573760986328
21,22,2,1631647956.93396,1631647957.1669986,131.1521453857422
22,23,2,1631647957.1682017,1631647957.3864288,158.3285675048828
23,24,2,1631647957.3876772,1631647957.3937237,177.09666442871094
24,25,2,1631647957.3938727,1631647957.398561,127.06892395019531
25,26,2,1631647957.3987029,1631647957.7783813,160.45632934570312
26,27,2,1631647957.7804842,1631647958.010726,166.17161560058594
27,28,2,1631647958.0121605,1631647958.0196233,164.19088745117188
28,29,2,1631647958.0197825,1631647958.3552208,162.85516357421875
29,30,2,1631647958.3572066,1631647958.6022754,144.95790100097656
30,31,2,1631647958.6034722,1631647958.6123817,114.20104217529297
31,32,2,1631647958.6125515,1631647958.6172984,207.19479370117188
32,33,2,1631647958.617448,1631647958.6232843,164.5133819580078
33,34,2,1631647958.6234386,1631647958.6544714,164.33592224121094
34,35,2,1631647958.654721,1631647958.6739185,161.4856719970703
35,36,2,1631647958.674127,1631647958.840665,177.4586944580078
36,37,2,1631647958.841674,1631647958.8477645,155.67263793945312
37,38,2,1631647958.847913,1631647959.1997294,175.35482788085938
38,39,2,1631647959.20181,1631647959.2107387,110.83089447021484
39,40,2,1631647959.2109103,1631647959.2156858,149.92161560058594
