,function_evaluations,iteration,start_time,end_time,val_mse
0,1,1,1631643816.6332562,1631643816.7110527,160.31973266601562
1,2,1,1631643816.7114635,1631643816.7172108,166.93556213378906
2,3,1,1631643816.7173645,1631643816.8732684,149.6165008544922
3,4,1,1631643816.8740993,1631643817.0408766,156.96153259277344
4,5,1,1631643817.041885,1631643817.0498016,169.3263397216797
5,6,2,1631643817.0513806,1631643817.4620078,169.02671813964844
6,7,2,1631643817.4639654,1631643817.6204762,132.5771026611328
7,8,2,1631643817.6215572,1631643817.777065,126.01142883300781
8,9,2,1631643817.7779503,1631643817.7848125,164.6472930908203
9,10,2,1631643817.7849677,1631643817.792748,165.8022003173828
10,11,3,1631643817.7945793,1631643817.945475,169.35125732421875
11,12,3,1631643817.94625,1631643817.9529212,164.77694702148438
12,13,3,1631643817.9531524,1631643818.1198728,141.6248321533203
13,14,3,1631643818.1208649,1631643818.2762392,142.15606689453125
14,15,3,1631643818.2771082,1631643818.3530166,176.0084228515625
15,16,4,1631643818.3551633,1631643818.5718825,153.0889129638672
16,17,4,1631643818.5728898,1631643818.728638,136.59805297851562
17,18,4,1631643818.7295642,1631643818.8849928,134.0911407470703
18,19,4,1631643818.885878,1631643818.893806,168.1447296142578
19,20,4,1631643818.893963,1631643819.0494604,130.43704223632812
20,21,5,1631643819.051948,1631643819.2679846,139.46434020996094
21,22,5,1631643819.268997,1631643819.4245625,133.22232055664062
22,23,5,1631643819.4255028,1631643819.5812666,123.12792205810547
23,24,5,1631643819.5821474,1631643819.7366247,139.31619262695312
24,25,5,1631643819.7375083,1631643819.8934774,139.32858276367188
25,26,6,1631643819.8958797,1631643820.0505366,128.11184692382812
26,27,6,1631643820.0513291,1631643820.264499,137.93740844726562
27,28,6,1631643820.2655935,1631643820.3816664,148.44444274902344
28,29,6,1631643820.3822656,1631643820.5382044,134.5424346923828
29,30,6,1631643820.539076,1631643820.750942,138.5187530517578
30,31,7,1631643820.753672,1631643820.9093754,137.24163818359375
31,32,7,1631643820.9101527,1631643821.0607314,141.31838989257812
32,33,7,1631643821.0615983,1631643821.2169874,142.14019775390625
33,34,7,1631643821.2178648,1631643821.3733,134.4350128173828
34,35,7,1631643821.3741996,1631643821.5302396,131.78260803222656
35,36,8,1631643821.5327382,1631643821.6880724,140.24252319335938
36,37,8,1631643821.6888564,1631643821.844096,138.6080780029297
37,38,8,1631643821.8449852,1631643822.0003507,131.2979736328125
38,39,8,1631643822.0012534,1631643822.1558404,149.9060516357422
39,40,8,1631643822.156731,1631643822.3122034,140.79202270507812
40,41,9,1631643822.3146877,1631643822.469824,126.79393005371094
41,42,9,1631643822.4706092,1631643822.6260896,142.61068725585938
42,43,9,1631643822.626957,1631643822.7817328,146.74575805664062
43,44,9,1631643822.7826238,1631643822.9384685,140.89939880371094
44,45,9,1631643822.9393327,1631643823.0948505,137.0124053955078
45,46,10,1631643823.097231,1631643823.2526326,130.59463500976562
46,47,10,1631643823.2534146,1631643823.408608,137.30235290527344
47,48,10,1631643823.4094756,1631643823.5652556,153.18984985351562
48,49,10,1631643823.5661294,1631643823.722502,138.55873107910156
49,50,10,1631643823.7233746,1631643823.8790052,140.4339141845703
50,51,11,1631643823.8813906,1631643824.036702,150.3684844970703
51,52,11,1631643824.0374813,1631643824.1929924,130.21627807617188
52,53,11,1631643824.1938884,1631643824.3496103,145.85472106933594
53,54,11,1631643824.3504918,1631643824.5058708,150.48460388183594
54,55,11,1631643824.5067494,1631643824.6623895,128.1868896484375
55,56,12,1631643824.664774,1631643824.820113,139.85040283203125
56,57,12,1631643824.8208935,1631643824.9759698,152.84295654296875
57,58,12,1631643824.9768407,1631643825.1322489,136.09780883789062
58,59,12,1631643825.133145,1631643825.2883897,133.27293395996094
59,60,12,1631643825.2892787,1631643825.4445944,142.06411743164062
60,61,13,1631643825.447051,1631643825.6027489,146.87977600097656
61,62,13,1631643825.60354,1631643825.7589595,137.76434326171875
62,63,13,1631643825.7598536,1631643825.915412,139.98480224609375
63,64,13,1631643825.9162815,1631643826.0717297,134.7961883544922
64,65,13,1631643826.072629,1631643826.2279966,133.33816528320312
65,66,14,1631643826.2304666,1631643826.3858109,141.87863159179688
66,67,14,1631643826.3865929,1631643826.5421896,141.08253479003906
67,68,14,1631643826.5430849,1631643826.6983235,130.33840942382812
68,69,14,1631643826.6992183,1631643826.854602,128.5362548828125
69,70,14,1631643826.8554962,1631643827.0107338,135.66384887695312
70,71,15,1631643827.0132003,1631643827.1685364,124.81796264648438
71,72,15,1631643827.1693134,1631643827.3246558,130.9788055419922
72,73,15,1631643827.3255322,1631643827.4807565,141.86724853515625
73,74,15,1631643827.4816403,1631643827.6376524,138.5363311767578
74,75,15,1631643827.63853,1631643827.7937446,127.58544921875
75,76,16,1631643827.7961838,1631643827.9515772,144.46519470214844
76,77,16,1631643827.9523706,1631643828.1076415,150.38665771484375
77,78,16,1631643828.1085153,1631643828.2639685,130.68991088867188
78,79,16,1631643828.264867,1631643828.4226296,139.0146942138672
79,80,16,1631643828.4237475,1631643828.5793266,136.03343200683594
80,81,17,1631643828.5822277,1631643828.7375884,142.88522338867188
81,82,17,1631643828.7383666,1631643828.8940313,142.84732055664062
82,83,17,1631643828.8949516,1631643829.0505018,141.0435791015625
83,84,17,1631643829.051416,1631643829.2066638,136.04588317871094
84,85,17,1631643829.207568,1631643829.362844,127.32311248779297
85,86,18,1631643829.3652716,1631643829.5205302,139.86007690429688
86,87,18,1631643829.52132,1631643829.6768591,137.94740295410156
