,model,learning_rate,dropout,n_hidden,hidden_1,hidden_2,hidden_3,hidden_4,hidden_5
0,lstm,0.1,0.8,5,34,71,89,90,12
1,lstm,0.1,0.8,5,34,71,89,90,12
2,mlp,0.001,0.0,2,89,6,69,80,58
3,lstm,0.1,0.0,5,34,71,89,90,12
4,lstm,0.1,0.8,5,34,71,22,90,12
5,lstm,0.1,0.8,5,34,71,89,90,12
6,mlp,0.1,0.0,2,6,76,22,28,56
7,lstm,0.1,0.0,2,89,5,89,80,58
8,lstm,0.1,0.8,5,34,71,89,90,12
9,mlp,0.1,0.0,2,6,76,22,28,55
10,mlp,0.1,0.0,2,5,76,22,28,56
11,mlp,0.1,0.0,2,6,76,22,28,56
12,lstm,0.1,0.8,5,34,71,89,90,12
13,mlp,0.01,0.0,2,34,76,22,37,14
14,mlp,0.01,0.0,2,34,76,22,37,14
15,mlp,0.1,0.0,2,6,76,84,28,56
16,mlp,0.1,0.0,2,6,76,22,28,56
17,mlp,0.1,0.0,2,6,76,22,28,56
18,mlp,0.1,0.0,2,6,76,22,28,12
19,mlp,0.1,0.0,2,34,6,89,80,58
20,mlp,0.1,0.8,2,18,12,22,98,58
21,mlp,0.1,0.0,2,18,12,22,80,58
22,mlp,0.1,0.0,2,6,76,22,28,12
23,mlp,0.1,0.0,2,18,12,22,80,58
24,mlp,0.1,0.0,2,34,6,89,80,58
25,mlp,0.01,0.8,2,35,76,22,37,14
26,mlp,0.01,0.0,2,34,76,22,37,14
27,mlp,0.1,0.0,2,34,6,89,80,58
28,mlp,0.01,0.0,4,34,76,22,37,14
29,mlp,0.1,0.0,2,18,9,22,86,58
30,mlp,0.1,0.0,2,18,9,89,86,58
31,mlp,0.1,0.0,2,34,6,89,80,58
32,mlp,0.1,0.0,2,18,9,22,37,58
33,mlp,0.01,0.0,2,34,76,22,37,14
34,mlp,0.1,0.0,2,34,6,89,80,58
35,mlp,0.01,0.0,2,34,76,22,37,14
