,model,learning_rate,dropout,n_hidden,hidden_1,hidden_2,hidden_3,hidden_4,hidden_5
0,lstm,0.1,0.8,5,34,71,89,90,12
1,lstm,0.1,0.8,5,34,71,89,90,12
2,lstm,0.1,0.8,5,34,71,55,90,12
3,lstm,0.1,0.0,5,34,71,89,90,12
4,lstm,0.1,0.8,5,34,71,22,90,12
5,lstm,0.1,0.8,5,34,71,89,90,12
6,lstm,0.1,0.8,5,34,71,89,90,12
7,mlp,0.1,0.0,1,18,96,55,71,34
8,lstm,0.1,0.8,5,34,71,89,90,12
9,mlp,0.1,0.0,1,18,96,55,71,34
10,mlp,0.1,0.0,1,18,96,55,71,34
11,mlp,0.1,0.0,2,18,96,55,71,34
12,lstm,0.1,0.8,5,34,71,89,90,12
13,mlp,0.1,0.0,1,18,96,55,71,34
14,mlp,0.01,0.0,2,18,96,25,71,34
15,mlp,0.1,0.0,1,18,96,89,71,34
16,mlp,0.1,0.0,1,18,96,89,71,34
17,mlp,0.1,0.0,1,18,96,89,71,34
18,mlp,0.1,0.0,1,18,96,89,90,34
19,mlp,0.1,0.0,1,18,96,89,71,34
20,lstm,0.1,0.0,5,34,71,89,90,12
21,lstm,0.1,0.0,5,34,71,89,90,12
22,mlp,0.1,0.0,1,18,96,89,71,34
23,mlp,0.1,0.0,1,18,96,89,71,34
24,mlp,0.1,0.0,1,18,96,89,71,34
25,mlp,0.1,0.0,1,18,96,69,71,58
26,mlp,0.001,0.0,2,89,71,69,80,58
27,mlp,0.1,0.0,1,18,96,89,71,34
28,mlp,0.1,0.0,1,18,96,89,71,34
29,mlp,0.001,0.0,2,99,76,89,37,14
30,mlp,0.01,0.0,3,55,12,36,37,42
31,mlp,0.01,0.0,3,55,12,36,39,30
32,mlp,0.1,0.0,1,18,96,89,71,34
33,mlp,0.01,0.0,3,55,12,36,37,42
34,mlp,0.01,0.0,3,55,12,21,37,14
35,mlp,0.01,0.0,3,55,12,20,37,42
