,iteration,start_time,end_time,val_mse
0,1,1631650110.1314461,1631650113.4231176,2272.21240234375
1,2,1631650113.4249175,1631650118.1311345,2295.532958984375
2,3,1631650118.1330621,1631650120.1352077,2291.724365234375
3,4,1631650120.1369143,1631650124.9252005,2293.800048828125
4,5,1631650124.9278197,1631650135.1965718,2292.5546875
5,6,1631650135.1993492,1631650139.9583123,2294.837158203125
6,7,1631650139.960856,1631650143.6699674,2272.4541015625
7,8,1631650143.672509,1631650149.9225428,2272.656494140625
8,9,1631650149.9260347,1631650156.886772,2274.51953125
9,10,1631650156.8894167,1631650162.862916,2272.0302734375
10,11,1631650162.8654006,1631650170.6526144,2273.68701171875
11,12,1631650170.6556535,1631650177.8980956,2273.008544921875
12,13,1631650177.9012108,1631650185.0091743,2272.15771484375
13,14,1631650185.0120165,1631650191.2134762,2272.20458984375
14,15,1631650191.216204,1631650197.5358286,2273.36181640625
15,16,1631650197.5390003,1631650204.1289053,2273.41064453125
16,17,1631650204.132403,1631650211.4649222,2272.031005859375
17,18,1631650211.4678226,1631650218.75906,2272.56103515625
18,19,1631650218.7617116,1631650224.5967076,2272.046875
19,20,1631650224.5988767,1631650231.028709,2272.787109375
20,21,1631650231.031587,1631650236.2274144,2272.329833984375
21,22,1631650236.2304041,1631650241.4946685,2273.31298828125
22,23,1631650241.4975917,1631650247.602622,2272.358154296875
23,24,1631650247.6048877,1631650254.5311744,2272.212158203125
24,25,1631650254.5341904,1631650260.3897998,2272.74072265625
25,26,1631650260.3926668,1631650265.6658509,2272.215087890625
26,27,1631650265.6683257,1631650272.504695,2272.131103515625
27,28,1631650272.507546,1631650278.180695,2272.081298828125
28,29,1631650278.1834579,1631650284.9217532,2273.147705078125
29,30,1631650284.9245555,1631650291.3389404,2272.074462890625
30,31,1631650291.3419547,1631650295.231483,2272.08935546875
31,32,1631650295.2346363,1631650301.0444345,2272.646240234375
32,33,1631650301.0473835,1631650306.1907477,2272.020751953125
33,34,1631650306.1928277,1631650309.7170765,2272.16015625
34,35,1631650309.7189956,1631650314.0705311,2272.454345703125
35,36,1631650314.0724518,1631650320.748583,2272.0859375
36,37,1631650320.7556465,1631650325.157903,2272.01708984375
37,38,1631650325.1600344,1631650330.5516188,2272.089599609375
38,39,1631650330.553729,1631650335.1933062,2272.220458984375
39,40,1631650335.1950696,1631650342.426858,2272.04541015625
40,41,1631650342.429275,1631650349.7206314,2272.275146484375
41,42,1631650349.7235804,1631650354.85962,2272.22998046875
42,43,1631650354.8616931,1631650360.4873712,2272.2822265625
43,44,1631650360.490019,1631650364.8568146,2271.977294921875
44,45,1631650364.8588572,1631650369.6357408,2272.6357421875
45,46,1631650369.6377742,1631650377.1292558,2271.91162109375
46,47,1631650377.1320012,1631650383.718225,2272.352783203125
47,48,1631650383.7210693,1631650388.9856336,2272.506103515625
48,49,1631650388.9884508,1631650396.5509393,2272.20751953125
49,50,1631650396.5537124,1631650403.9096737,2272.4150390625
50,51,1631650403.912472,1631650408.9366276,2272.25341796875
51,52,1631650408.93851,1631650415.4621565,2272.65283203125
52,53,1631650415.4649255,1631650421.423928,2271.939697265625
53,54,1631650421.426255,1631650426.147493,2272.230712890625
54,55,1631650426.1500638,1631650432.1763446,2272.044921875
55,56,1631650432.1791532,1631650438.5748796,2272.0654296875
56,57,1631650438.577693,1631650443.7100835,2272.099365234375
57,58,1631650443.7120643,1631650450.7621653,2272.155029296875
58,59,1631650450.7653577,1631650457.2290597,2272.044921875
59,60,1631650457.231852,1631650462.1545846,2271.97802734375
60,61,1631650462.1566503,1631650468.5048501,2272.056396484375
61,62,1631650468.507699,1631650473.7167335,2271.931884765625
62,63,1631650473.7197008,1631650479.938501,2272.640869140625
63,64,1631650479.941304,1631650487.3932934,2272.127197265625
64,65,1631650487.396126,1631650493.4647439,2273.119140625
65,66,1631650493.4672344,1631650499.6151443,2272.052001953125
66,67,1631650499.6179862,1631650505.8940198,2272.51806640625
67,68,1631650505.897354,1631650512.8552392,2272.237548828125
68,69,1631650512.8581336,1631650519.6913037,2272.175537109375
69,70,1631650519.6938834,1631650525.8208504,2272.490234375
70,71,1631650525.823808,1631650532.5381792,2271.975341796875
71,72,1631650532.5409884,1631650538.463856,2272.02001953125
72,73,1631650538.4668891,1631650543.0263875,2272.039306640625
73,74,1631650543.0286498,1631650549.6458669,2272.01513671875
74,75,1631650549.6486802,1631650554.707846,2271.939208984375
75,76,1631650554.7098942,1631650560.7336152,2272.147705078125
76,77,1631650560.7365549,1631650567.80385,2272.2470703125
77,78,1631650567.8067617,1631650574.2990675,2272.146728515625
78,79,1631650574.301989,1631650581.2208147,2272.063232421875
79,80,1631650581.2237468,1631650588.2581527,2272.13818359375
80,81,1631650588.2610786,1631650594.2825067,2272.472900390625
81,82,1631650594.2854514,1631650601.777249,2272.11181640625
82,83,1631650601.7803714,1631650607.6674109,2272.557861328125
83,84,1631650607.6697965,1631650613.5940046,2272.330322265625
84,85,1631650613.5965662,1631650619.5029356,2273.22998046875
85,86,1631650619.505874,1631650626.48061,2271.941162109375
86,87,1631650626.4844058,1631650631.794335,2272.21337890625
87,88,1631650631.7971733,1631650639.1719477,2272.035888671875
88,89,1631650639.1746411,1631650644.9676347,2272.037353515625
89,90,1631650644.9706318,1631650651.3602216,2272.164306640625
