,function_evaluations,iteration,start_time,end_time,val_mse
0,1,1,1631651600.390069,1631651600.5786123,176.88343811035156
1,2,1,1631651600.579008,1631651600.5915184,136.16079711914062
2,3,1,1631651600.5917306,1631651600.9661553,104.27012634277344
3,4,1,1631651600.9669497,1631651601.3689497,153.20008850097656
4,5,1,1631651601.3699596,1631651601.3878362,171.96531677246094
5,6,2,1631651601.3895068,1631651602.3805506,171.59962463378906
6,7,2,1631651602.382299,1631651602.4020348,156.7309112548828
7,8,2,1631651602.4024518,1631651602.7796352,110.1447982788086
8,9,2,1631651602.780453,1631651602.7908123,139.60560607910156
9,10,2,1631651602.7909603,1631651602.8085923,170.90440368652344
10,11,3,1631651602.8104587,1631651603.79845,169.11766052246094
11,12,3,1631651603.8002608,1631651603.8170457,163.5299835205078
12,13,3,1631651603.8174698,1631651603.837781,153.86111450195312
13,14,3,1631651603.837964,1631651604.2956157,111.35700988769531
14,15,3,1631651604.296567,1631651604.310467,157.8792724609375
15,16,4,1631651604.3122344,1631651604.7062082,108.78987121582031
16,17,4,1631651604.7070458,1631651604.721282,157.6010284423828
17,18,4,1631651604.7214398,1631651604.7335963,143.90310668945312
18,19,4,1631651604.7337422,1631651605.6643665,170.1819610595703
19,20,4,1631651605.6664135,1631651606.0142093,168.34242248535156
20,21,5,1631651606.016892,1631651606.396111,112.04975891113281
21,22,5,1631651606.3968875,1631651607.293948,137.6832275390625
22,23,5,1631651607.2959762,1631651607.6604495,103.06512451171875
23,24,5,1631651607.6613543,1631651608.118321,118.43994903564453
24,25,5,1631651608.1193686,1631651608.133284,169.58522033691406
25,26,6,1631651608.1350849,1631651608.1544318,101.18087768554688
26,27,6,1631651608.1545916,1631651608.169114,168.88287353515625
27,28,6,1631651608.1692622,1631651608.5335398,127.54766082763672
28,29,6,1631651608.534401,1631651608.9910524,118.8384780883789
29,30,6,1631651608.9920878,1631651609.5774815,163.00831604003906
30,31,7,1631651609.580764,1631651609.5921652,110.98299407958984
31,32,7,1631651609.5923107,1631651609.6042557,151.98681640625
32,33,7,1631651609.6044052,1631651609.9679718,112.10206604003906
33,34,7,1631651609.968828,1631651610.4143527,125.84130859375
34,35,7,1631651610.415387,1631651610.4289725,169.8693389892578
35,36,8,1631651610.4306943,1631651610.4499998,105.6717300415039
36,37,8,1631651610.4501448,1631651610.462664,143.8867645263672
37,38,8,1631651610.4628067,1631651610.8269002,123.95254516601562
38,39,8,1631651610.82776,1631651611.747978,123.53298950195312
39,40,8,1631651611.7500067,1631651611.763672,101.00431060791016
40,41,9,1631651611.76546,1631651611.7848794,108.92646789550781
41,42,9,1631651611.7850327,1631651611.7973561,160.66796875
42,43,9,1631651611.797501,1631651612.144503,133.0775604248047
43,44,9,1631651612.1453626,1631651612.15777,145.36947631835938
44,45,9,1631651612.1579156,1631651612.5062203,114.8714828491211
45,46,10,1631651612.5087585,1631651612.8947177,105.31077575683594
46,47,10,1631651612.8955069,1631651612.9079478,148.064453125
47,48,10,1631651612.9080951,1631651613.2841713,106.00273132324219
48,49,10,1631651613.2850413,1631651613.7303722,119.89086151123047
49,50,10,1631651613.731421,1631651613.7448702,104.14762115478516
50,51,11,1631651613.746735,1631651614.3177476,102.23456573486328
51,52,11,1631651614.318814,1631651614.6843896,161.41844177246094
52,53,11,1631651614.6852696,1631651615.0488894,107.2497329711914
53,54,11,1631651615.0497646,1631651615.495103,139.7175750732422
54,55,11,1631651615.4961355,1631651615.5096262,101.92683410644531
55,56,12,1631651615.511647,1631651615.8880289,108.15830993652344
56,57,12,1631651615.8888571,1631651615.9027834,126.84730529785156
57,58,12,1631651615.9029346,1631651615.9238336,134.80899047851562
58,59,12,1631651615.923996,1631651616.2746122,111.14756774902344
59,60,12,1631651616.2754643,1631651616.633749,116.60523986816406
60,61,13,1631651616.636292,1631651616.6549833,147.9813232421875
61,62,13,1631651616.6551309,1631651616.6690059,109.08087158203125
62,63,13,1631651616.6691594,1631651617.032929,112.898193359375
63,64,13,1631651617.033788,1631651617.399502,126.93330383300781
64,65,13,1631651617.4005046,1631651617.4193087,100.55513000488281
65,66,14,1631651617.420927,1631651617.5765288,103.70988464355469
66,67,14,1631651617.5768828,1631651618.6336415,119.05260467529297
67,68,14,1631651618.635926,1631651619.0002043,104.84658813476562
68,69,14,1631651619.0010893,1631651619.2448514,115.95024871826172
69,70,14,1631651619.245437,1631651619.2597117,127.37800598144531
70,71,15,1631651619.261773,1631651619.417376,100.72781372070312
71,72,15,1631651619.417723,1631651619.7811742,111.97837829589844
72,73,15,1631651619.7820332,1631651620.1380951,106.63516235351562
73,74,15,1631651620.1389477,1631651620.4976234,124.8981704711914
74,75,15,1631651620.4984746,1631651620.5605032,102.36531066894531
75,76,16,1631651620.5624073,1631651620.717906,104.07734680175781
76,77,16,1631651620.7182536,1631651620.73222,110.56615447998047
77,78,16,1631651620.7323756,1631651621.0844378,124.53760528564453
78,79,16,1631651621.0852904,1631651621.4370463,111.66513061523438
79,80,16,1631651621.4378917,1631651621.4499075,166.18426513671875
80,81,17,1631651621.4516194,1631651621.6073213,101.34188079833984
81,82,17,1631651621.6076665,1631651621.6213727,96.43722534179688
82,83,17,1631651621.6215482,1631651621.9847522,125.00047302246094
83,84,17,1631651621.98562,1631651621.9990456,100.71810150146484
84,85,17,1631651621.9991982,1631651622.0129108,114.77806854248047
