,function_evaluations,iteration,start_time,end_time,val_mse
0,1,1,1631649317.91202,1631649318.53433,2290.618408203125
1,2,1,1631649318.5348475,1631649318.5746553,2303.520263671875
2,3,1,1631649318.574818,1631649319.8275185,2307.197265625
3,4,1,1631649319.8284173,1631649321.1670616,2272.332275390625
4,5,1,1631649321.1680496,1631649321.224637,2296.26220703125
5,6,1,1631649321.224809,1631649321.785338,2298.749755859375
6,7,1,1631649321.785763,1631649323.643404,2272.445556640625
7,8,1,1631649323.6449027,1631649325.6540089,2294.015625
8,9,1,1631649325.6552744,1631649328.496666,2291.81787109375
9,10,1,1631649328.4987628,1631649328.540513,2303.7255859375
10,11,1,1631649328.5406785,1631649330.0717778,2297.341552734375
11,12,1,1631649330.0728917,1631649330.1360922,2283.9130859375
12,13,1,1631649330.1362653,1631649330.1702995,2592.55078125
13,14,1,1631649330.170452,1631649330.2027194,2291.124755859375
14,15,1,1631649330.2028708,1631649330.244762,2296.88916015625
15,16,1,1631649330.2449188,1631649333.6006038,2297.19873046875
16,17,1,1631649333.6027365,1631649336.081474,2282.14501953125
17,18,1,1631649336.0828614,1631649337.9092953,2298.320556640625
18,19,1,1631649337.9106238,1631649337.9433355,2352.965576171875
19,20,1,1631649337.9434958,1631649337.9913363,2383.353515625
20,21,1,1631649337.991498,1631649338.0243447,2520.905517578125
21,22,1,1631649338.0245023,1631649338.0823634,2374.212158203125
22,23,1,1631649338.082529,1631649338.1310818,2319.845458984375
23,24,1,1631649338.131243,1631649338.1715162,2703.581787109375
24,25,1,1631649338.1716723,1631649338.8258557,2294.89697265625
25,26,1,1631649338.8263543,1631649338.8906631,2325.462890625
26,27,1,1631649338.890831,1631649340.7057285,2297.798095703125
27,28,1,1631649340.7067783,1631649342.0457625,2297.46630859375
28,29,1,1631649342.0468867,1631649344.2969642,2296.406005859375
29,30,1,1631649344.2983418,1631649344.3611019,2287.4150390625
30,31,1,1631649344.3612907,1631649347.7897422,2288.213134765625
31,32,1,1631649347.792306,1631649347.8488927,2297.773193359375
32,33,1,1631649347.8490772,1631649347.9038887,2294.484375
