,function_evaluations,iteration,start_time,end_time,val_mse
0,1,1,1631651577.286677,1631651577.4701858,173.08290100097656
1,2,1,1631651577.470701,1631651577.483099,147.67457580566406
2,3,1,1631651577.4832907,1631651577.8572729,104.81185913085938
3,4,1,1631651577.858096,1631651578.2604098,145.74887084960938
4,5,1,1631651578.2615278,1631651578.2792816,167.89846801757812
5,6,1,1631651578.279443,1631651578.4475226,165.07420349121094
6,7,1,1631651578.4479272,1631651579.003974,150.00436401367188
7,8,1,1631651579.0054574,1631651579.6009715,111.30816650390625
8,9,1,1631651579.6021898,1631651580.4453478,175.1208038330078
9,10,1,1631651580.447409,1631651580.4606805,157.9008331298828
10,11,1,1631651580.460834,1631651580.92048,162.10623168945312
11,12,1,1631651580.9214919,1631651580.9414186,102.79491424560547
12,13,1,1631651580.9416835,1631651580.952156,168.9918975830078
13,14,1,1631651580.9523082,1631651580.962205,163.52098083496094
14,15,1,1631651580.9623544,1631651580.9753468,164.13778686523438
15,16,1,1631651580.9754927,1631651581.9573312,168.82481384277344
16,17,1,1631651581.9591882,1631651582.693692,110.00517272949219
17,18,1,1631651582.695039,1631651583.2419207,162.3079071044922
18,19,1,1631651583.2432442,1631651583.253555,236.73680114746094
19,20,1,1631651583.253701,1631651583.2686405,126.42003631591797
20,21,1,1631651583.2687907,1631651583.2788553,126.66461181640625
21,22,1,1631651583.278997,1631651583.2967384,107.21646881103516
22,23,1,1631651583.2968903,1631651583.3120706,171.83253479003906
23,24,1,1631651583.3122184,1631651583.324623,190.2355194091797
24,25,1,1631651583.324768,1631651583.5214708,166.7020263671875
25,26,1,1631651583.5219686,1631651583.5422268,137.34954833984375
26,27,1,1631651583.5423942,1631651584.0874538,170.3195037841797
27,28,1,1631651584.0885193,1631651584.4903712,178.73370361328125
28,29,1,1631651584.491394,1631651585.1593137,164.10655212402344
29,30,1,1631651585.160654,1631651585.180606,168.04849243164062
30,31,1,1631651585.1807802,1631651586.1931438,155.9373016357422
31,32,1,1631651586.195393,1631651586.213446,168.63711547851562
32,33,1,1631651586.213617,1631651586.2305405,173.40806579589844
33,34,1,1631651586.2306938,1631651587.3570802,171.8296356201172
34,35,1,1631651587.3591998,1631651588.2867696,163.77064514160156
35,36,1,1631651588.2895172,1631651589.1873562,174.82235717773438
36,37,1,1631651589.1893353,1631651589.2073202,138.96075439453125
37,38,1,1631651589.2074893,1631651589.220113,161.92408752441406
38,39,1,1631651589.2202652,1631651589.237509,166.92164611816406
39,40,1,1631651589.2376645,1631651589.2557619,99.47288513183594
40,41,1,1631651589.255943,1631651590.2681978,112.675048828125
41,42,1,1631651590.2704766,1631651590.9546146,160.1968994140625
42,43,1,1631651590.9564018,1631651590.971063,120.28073120117188
43,44,1,1631651590.9712222,1631651591.785385,115.89335632324219
44,45,1,1631651591.7872517,1631651592.79461,173.70468139648438
45,46,2,1631651592.7978067,1631651592.8164942,103.87239074707031
46,47,2,1631651592.8169248,1631651593.2177203,158.25367736816406
47,48,2,1631651593.218918,1631651593.2372203,142.9180145263672
48,49,2,1631651593.2376385,1631651593.255717,134.56173706054688
49,50,2,1631651593.256099,1631651593.2741342,107.7059555053711
50,51,2,1631651593.274513,1631651593.2918932,101.51473236083984
51,52,2,1631651593.2922697,1631651593.3132062,99.80457305908203
52,53,2,1631651593.3135989,1631651593.3287048,104.46446228027344
53,54,2,1631651593.3290756,1631651593.347531,102.13752746582031
54,55,2,1631651593.347905,1631651593.3656461,103.38346862792969
55,56,2,1631651593.3660223,1631651593.3843088,97.92451477050781
56,57,2,1631651593.3846948,1631651593.4037042,102.90971374511719
57,58,2,1631651593.4040792,1631651593.421814,103.19930267333984
58,59,2,1631651593.4221947,1631651593.440476,98.38182830810547
59,60,2,1631651593.4413712,1631651593.4594152,101.25138092041016
60,61,2,1631651593.4597986,1631651593.4781396,105.83032989501953
61,62,2,1631651593.4785268,1631651593.4969122,108.6131820678711
62,63,2,1631651593.497345,1631651593.8953774,159.8699493408203
63,64,2,1631651593.8965347,1631651593.9149177,109.46078491210938
64,65,2,1631651593.9153159,1631651593.9336421,110.4747085571289
65,66,2,1631651593.9340236,1631651593.9522486,123.0429458618164
66,67,2,1631651593.9526327,1631651593.9702928,103.12339782714844
67,68,2,1631651593.9706733,1631651593.9890056,106.84657287597656
68,69,2,1631651593.9893937,1631651594.0048244,111.40581512451172
69,70,2,1631651594.0052028,1631651594.0262463,103.44740295410156
70,71,2,1631651594.0266354,1631651594.044522,102.86580657958984
71,72,2,1631651594.044902,1631651594.0635328,105.8421859741211
72,73,2,1631651594.0639155,1631651594.0821917,100.66927337646484
73,74,2,1631651594.082578,1631651594.100574,107.65641784667969
74,75,2,1631651594.100954,1631651594.1187074,102.61048889160156
75,76,2,1631651594.1190972,1631651594.1378503,108.86095428466797
76,77,2,1631651594.1382275,1631651594.156277,113.69424438476562
77,78,2,1631651594.1566677,1631651594.174898,102.05467224121094
78,79,2,1631651594.1752899,1631651594.193532,105.51121520996094
79,80,2,1631651594.1939106,1631651594.2122252,104.21698760986328
80,81,2,1631651594.2128956,1631651594.2311559,96.57202911376953
81,82,2,1631651594.231558,1631651594.2499537,103.34292602539062
82,83,2,1631651594.2503405,1631651594.2686956,116.27214813232422
83,84,2,1631651594.2690744,1631651594.28738,106.43154907226562
84,85,2,1631651594.2877598,1631651594.3053768,100.98478698730469
85,86,2,1631651594.3057606,1631651594.324036,103.13195037841797
86,87,2,1631651594.3244207,1631651594.3396378,116.2630844116211
87,88,2,1631651594.3400118,1631651594.3585174,106.91234588623047
88,89,2,1631651594.3588955,1631651594.3770933,104.25961303710938
89,90,2,1631651594.377482,1631651594.3955996,108.72371673583984
90,91,3,1631651594.395987,1631651594.414216,104.78345489501953
91,92,3,1631651594.41459,1631651594.4333968,105.01351928710938
92,93,3,1631651594.4337769,1631651594.4519353,102.1783676147461
93,94,3,1631651594.452335,1631651594.470941,101.45332336425781
94,95,3,1631651594.4713295,1631651594.4899466,104.67432403564453
95,96,3,1631651594.4903352,1631651594.5087125,109.81492614746094
96,97,3,1631651594.5090919,1631651594.52752,105.1659927368164
