,function_evaluations,iteration,start_time,end_time,val_mse
0,1,1,1631650664.996753,1631650665.4036915,1844.3927001953125
1,2,2,1631650665.4040635,1631650665.4385712,1895.11962890625
2,3,3,1631650665.4386609,1631650665.47344,1848.4388427734375
3,4,4,1631650665.4735296,1631650667.7335646,1850.7061767578125
4,5,5,1631650667.7353768,1631650667.7647638,1861.6124267578125
5,6,6,1631650667.7648537,1631650668.2649345,1842.90625
6,7,7,1631650668.265425,1631650668.3036926,1845.4371337890625
7,8,8,1631650668.3037853,1631650668.3427172,1853.1656494140625
8,9,9,1631650668.3428068,1631650668.3839672,1887.482421875
9,10,10,1631650668.3840551,1631650668.409094,1917.611572265625
10,11,11,1631650668.4091752,1631650670.4728608,1845.3421630859375
11,12,12,1631650670.4746196,1631650670.5920472,1852.4075927734375
12,13,13,1631650670.592207,1631650670.6315756,1843.25146484375
13,14,14,1631650670.6316652,1631650672.0362525,1844.6492919921875
14,15,15,1631650672.0376585,1631650672.0768077,1818.0921630859375
15,16,16,1631650672.0768998,1631650672.1160548,1823.486083984375
16,17,17,1631650672.1161444,1631650674.1268497,1837.9622802734375
17,18,18,1631650674.1283906,1631650675.2484703,1808.8402099609375
18,19,19,1631650675.24974,1631650675.8408077,1853.5035400390625
19,20,20,1631650675.841307,1631650677.607971,1842.27587890625
20,21,21,1631650677.6096876,1631650677.6425364,1826.794189453125
21,22,22,1631650677.6426249,1631650677.6623666,1944.979736328125
22,23,23,1631650677.6624465,1631650677.6826317,3772.06298828125
23,24,24,1631650677.6827116,1631650677.723328,1849.7218017578125
24,25,25,1631650677.7234166,1631650679.8296852,1854.3792724609375
25,26,26,1631650679.8314562,1631650679.8552108,1830.0811767578125
26,27,27,1631650679.855302,1631650679.887449,1866.1719970703125
27,28,28,1631650679.8875358,1631650681.5430799,1854.4686279296875
28,29,29,1631650681.544428,1631650681.8861718,1853.8978271484375
29,30,30,1631650681.8865018,1631650682.7911482,1854.745361328125
30,31,31,1631650682.791965,1631650682.8149536,1881.6236572265625
31,32,32,1631650682.8150368,1631650682.8353593,2155.538818359375
32,33,33,1631650682.8354392,1631650682.8557806,1886.0750732421875
33,34,34,1631650682.855859,1631650683.8840725,1849.2940673828125
34,35,35,1631650683.8849704,1631650683.9155505,1872.526611328125
35,36,36,1631650683.9156368,1631650684.1933143,1845.8109130859375
36,37,37,1631650684.1935847,1631650684.4796019,1850.793212890625
37,38,38,1631650684.479873,1631650686.056488,1852.7999267578125
38,39,39,1631650686.058109,1631650687.5488267,1809.771484375
39,40,40,1631650687.550434,1631650689.1628811,1804.3099365234375
40,41,41,1631650689.1644964,1631650690.2405581,1843.2415771484375
41,42,42,1631650690.2416284,1631650690.2617655,1838.3302001953125
42,43,43,1631650690.261846,1631650691.5163915,1847.576904296875
43,44,44,1631650691.5176456,1631650691.9069319,1844.630859375
44,45,45,1631650691.9072785,1631650691.9317386,1857.6827392578125
45,46,46,1631650691.9318197,1631650691.9522147,7313.05419921875
46,47,47,1631650691.9522996,1631650691.97965,1819.9432373046875
