,model,learning_rate,dropout,n_hidden,hidden_1,hidden_2,hidden_3,hidden_4,hidden_5
0,lstm,0.1,0.1,3,70,54,27,97,34
1,lstm,0.001,0.1,3,30,48,75,84,57
2,mlp,0.1,0.5,1,21,50,91,42,23
3,mlp,0.1,0.3,3,32,45,96,54,44
4,mlp,0.01,0.4,2,85,80,32,18,6
5,lstm,0.001,0.6,2,21,93,23,71,90
6,lstm,0.1,0.4,1,55,40,39,60,24
7,lstm,1e-05,0.5,3,60,99,64,22,7
8,lstm,0.1,0.8,2,14,68,4,43,95
9,mlp,0.0001,0.1,2,11,50,100,66,96
10,lstm,0.001,0.8,4,94,38,97,51,29
11,lstm,0.001,0.0,4,47,7,6,29,98
12,mlp,1e-05,0.0,1,35,68,23,82,17
13,mlp,0.0001,0.3,1,33,97,37,75,40
14,mlp,0.01,0.8,2,33,20,91,47,40
15,mlp,0.0001,0.1,5,79,8,36,28,41
16,mlp,0.01,0.8,5,54,89,71,64,86
17,lstm,0.001,0.2,2,87,74,11,93,29
18,mlp,0.0001,0.7,2,92,26,66,29,15
19,mlp,0.1,0.4,5,59,78,54,51,97
20,mlp,0.001,0.3,2,76,98,24,88,68
21,mlp,0.0001,0.0,3,75,58,29,24,50
22,mlp,1e-05,0.8,5,90,79,62,78,39
23,lstm,0.0001,0.6,1,36,16,13,70,52
24,mlp,0.1,0.3,3,7,66,17,62,61
25,mlp,0.1,0.0,4,89,86,36,85,20
26,mlp,1e-05,0.5,4,16,95,10,64,58
27,lstm,0.001,0.1,2,41,71,25,59,23
28,lstm,0.001,0.2,3,70,78,41,18,38
29,lstm,1e-05,0.5,1,46,86,94,89,64
30,mlp,0.0001,0.7,3,90,74,99,10,67
31,mlp,0.0001,0.9,1,10,57,96,98,21
32,lstm,0.1,0.8,1,52,95,9,30,20
33,lstm,0.01,0.2,4,24,10,47,8,51
34,mlp,1e-05,0.1,4,29,91,78,66,60
35,lstm,0.001,0.1,1,65,33,73,53,28
36,mlp,0.0001,0.3,5,34,38,24,69,5
37,mlp,0.0001,0.0,5,80,13,75,49,49
38,mlp,0.001,0.1,1,32,68,45,59,62
39,lstm,0.0001,0.7,5,79,12,29,66,83
40,lstm,0.001,0.2,3,89,80,67,54,23
41,lstm,0.01,0.3,5,22,45,42,82,90
42,mlp,0.001,0.9,3,32,91,63,17,59
43,mlp,0.01,0.6,4,51,70,87,4,12
44,mlp,0.0001,0.9,5,41,93,56,51,35
45,lstm,1e-05,0.0,4,35,49,74,77,14
46,lstm,1e-05,0.7,4,53,89,41,49,40
47,mlp,0.0001,0.9,2,94,12,92,50,33
48,mlp,0.0001,0.3,5,31,5,29,86,94
49,lstm,0.01,0.6,2,60,39,22,6,72
50,mlp,1e-05,0.1,5,48,54,25,44,69
51,mlp,0.0001,0.6,1,91,22,73,58,50
52,mlp,0.01,0.4,4,46,36,20,79,29
53,mlp,0.0001,0.4,3,19,38,15,38,9
54,mlp,0.0001,0.4,5,32,75,31,41,47
55,lstm,0.0001,0.9,5,78,95,69,66,9
56,lstm,0.0001,0.8,3,45,14,73,52,76
57,lstm,0.001,0.1,1,9,39,27,73,91
58,lstm,0.0001,0.3,1,62,51,55,98,52
59,lstm,1e-05,0.2,4,5,66,69,65,11
60,mlp,0.001,0.4,2,7,46,60,96,45
61,lstm,0.1,0.0,2,12,27,97,73,59
62,mlp,0.001,0.3,4,99,57,54,38,35
63,mlp,0.01,0.1,1,76,99,100,66,37
64,lstm,0.0001,0.3,2,15,84,31,21,8
65,mlp,1e-05,0.9,5,67,59,9,45,38
66,mlp,0.0001,0.8,5,48,89,66,73,26
67,lstm,0.01,0.6,1,99,37,51,47,18
68,lstm,0.1,0.4,1,97,57,51,75,6
69,lstm,0.01,0.4,3,85,97,98,98,66
70,mlp,1e-05,0.9,4,19,61,31,82,81
71,mlp,0.1,0.7,4,22,85,65,100,58
72,mlp,1e-05,0.6,5,81,60,12,62,54
73,mlp,0.01,0.8,5,44,90,72,47,87
74,lstm,0.1,0.7,3,92,86,95,14,37
75,mlp,0.01,0.1,4,31,86,31,42,37
76,lstm,0.1,0.3,2,55,92,76,77,75
77,mlp,0.1,0.9,4,35,5,67,22,97
78,mlp,0.0001,0.7,2,26,25,53,35,83
79,lstm,0.01,0.6,5,76,98,38,34,86
80,mlp,0.1,0.8,5,67,44,40,57,70
81,mlp,0.01,0.3,4,42,86,4,52,47
82,mlp,1e-05,0.6,4,19,66,12,4,63
83,mlp,1e-05,0.3,2,75,45,16,84,17
84,mlp,0.0001,0.3,5,74,57,76,11,77
85,mlp,0.001,0.0,1,52,75,68,14,12
86,lstm,0.01,0.6,5,91,23,63,28,99
87,mlp,0.0001,0.2,1,80,75,48,50,69
88,mlp,0.1,0.0,5,40,86,29,60,93
89,mlp,0.1,0.9,2,65,16,46,92,84
90,lstm,0.01,0.3,4,26,95,45,25,48
91,mlp,0.001,0.4,3,86,18,13,68,54
92,lstm,0.0001,0.2,3,11,49,99,68,45
93,mlp,0.01,0.2,4,96,45,49,31,42
94,lstm,1e-05,0.3,1,68,92,28,58,34
95,mlp,0.1,0.5,4,91,90,17,76,81
96,mlp,0.0001,0.9,5,23,20,45,10,24
97,lstm,0.01,0.7,1,80,47,10,69,75
98,lstm,0.001,0.6,3,61,59,87,5,59
99,lstm,0.001,0.4,5,97,21,27,99,53
100,lstm,0.0001,0.5,2,62,66,61,70,39
101,lstm,0.01,0.9,3,62,50,50,79,25
102,lstm,0.01,0.4,2,69,12,28,80,80
103,mlp,1e-05,0.1,3,20,58,23,51,42
104,lstm,0.0001,0.1,2,75,62,32,32,58
105,lstm,0.0001,0.1,3,51,64,14,40,96
106,mlp,0.01,0.1,5,79,20,62,63,5
107,lstm,0.0001,0.2,1,80,23,6,94,49
108,mlp,0.0001,0.9,5,94,74,55,31,14
109,lstm,0.01,0.0,2,34,90,87,65,95
110,mlp,0.001,0.2,1,71,96,92,18,49
111,mlp,0.001,0.7,5,100,91,80,35,9
112,mlp,1e-05,0.3,1,25,56,57,78,71
113,lstm,0.0001,0.4,4,78,69,80,7,82
114,mlp,0.01,0.6,5,81,100,92,40,22
115,mlp,0.0001,0.6,4,12,13,68,51,81
116,lstm,0.01,0.3,4,61,56,40,83,34
117,mlp,0.001,0.6,3,15,93,88,36,70
118,lstm,0.001,0.6,4,43,92,64,95,92
119,mlp,1e-05,0.7,4,45,90,43,78,10
120,mlp,0.1,0.7,2,13,75,19,67,52
121,mlp,0.1,0.4,2,85,48,43,26,58
122,mlp,1e-05,0.7,1,32,89,16,57,23
123,mlp,0.0001,0.2,5,72,22,39,17,6
124,lstm,0.1,0.0,3,65,45,85,56,54
125,mlp,0.01,0.6,1,60,9,15,44,97
126,lstm,0.001,0.6,2,95,37,26,27,20
127,lstm,1e-05,0.7,4,47,67,57,68,4
128,mlp,0.01,0.0,2,70,87,33,66,40
129,mlp,0.01,0.7,1,22,31,100,41,54
130,mlp,0.1,0.1,5,29,24,99,77,41
131,lstm,1e-05,0.2,2,89,28,40,69,59
132,lstm,0.001,0.3,5,80,61,16,26,32
133,mlp,0.01,0.5,5,68,5,100,50,47
134,mlp,1e-05,0.1,2,49,32,65,91,46
135,lstm,0.01,0.4,3,95,94,12,76,55
136,mlp,0.001,0.1,5,41,59,75,88,9
137,lstm,0.01,0.8,1,77,71,95,59,15
138,lstm,0.1,0.5,1,8,95,17,21,25
139,mlp,1e-05,0.2,4,12,73,5,49,43
140,lstm,1e-05,0.2,1,62,22,36,41,13
141,lstm,0.001,0.2,5,45,92,9,95,25
142,mlp,0.01,0.2,4,41,20,17,89,73
143,lstm,0.1,0.5,2,6,91,99,94,88
144,lstm,0.1,0.8,5,80,99,40,32,69
145,lstm,0.001,0.2,3,21,70,41,36,74
146,mlp,0.01,0.2,5,71,99,85,6,16
147,mlp,0.01,0.9,3,64,46,33,39,22
148,mlp,0.01,0.2,2,6,18,83,18,20
149,lstm,0.01,0.8,5,94,94,48,91,85
150,mlp,0.001,0.9,3,23,6,91,41,79
151,lstm,0.0001,0.0,1,15,20,54,63,58
152,lstm,0.001,0.4,3,94,89,53,58,24
153,lstm,0.0001,0.6,5,98,31,79,25,7
154,lstm,0.01,0.3,5,6,10,23,66,66
155,lstm,0.0001,0.3,1,9,70,58,54,28
156,lstm,0.001,0.5,3,93,57,87,100,43
157,mlp,0.1,0.7,5,25,52,91,13,16
158,lstm,1e-05,0.0,3,48,68,20,59,50
159,mlp,0.0001,0.3,3,5,95,26,22,98
160,mlp,0.0001,0.4,5,92,6,81,72,52
161,mlp,1e-05,0.8,3,19,89,5,59,79
162,mlp,0.1,0.0,4,69,73,85,11,31
163,mlp,1e-05,0.2,1,63,60,32,100,68
164,mlp,0.0001,0.2,4,73,41,38,44,14
165,mlp,0.0001,0.7,3,32,95,90,51,81
166,lstm,0.0001,0.2,4,14,10,38,71,86
167,mlp,1e-05,0.2,1,95,65,25,64,19
168,lstm,0.0001,0.7,3,41,92,79,63,84
169,mlp,0.0001,0.6,5,91,65,76,40,44
170,mlp,0.1,0.7,2,66,19,34,75,18
171,mlp,0.0001,0.1,4,8,4,11,69,9
172,mlp,0.01,0.2,5,37,99,11,96,12
173,mlp,0.1,0.9,5,13,87,78,90,28
