,iteration,start_time,end_time,val_mse
0,1,1631648831.3419805,1631648834.2805393,2275.457763671875
1,2,1631648834.282041,1631648835.3565257,2293.51025390625
2,3,1631648835.3572257,1631648835.4083776,2793.926025390625
3,4,1631648835.4086652,1631648835.4707963,2306.354736328125
4,5,1631648835.4708915,1631648835.51501,2548.07861328125
5,6,1631648835.5151024,1631648836.2629323,2297.712646484375
6,7,1631648836.2633696,1631648838.0008533,2283.438720703125
7,8,1631648838.0020545,1631648840.148046,2299.1953125
8,9,1631648840.1494086,1631648840.6548362,2275.963623046875
9,10,1631648840.6551478,1631648840.6952796,2351.333984375
10,11,1631648840.6953757,1631648844.1531625,2295.599365234375
11,12,1631648844.1560807,1631648846.1943552,2298.041259765625
12,13,1631648846.1954432,1631648846.2274203,2476.283935546875
13,14,1631648846.2275143,1631648846.2612145,2506.541259765625
14,15,1631648846.2613072,1631648846.3018904,2309.709228515625
15,16,1631648846.3019845,1631648846.3631637,2295.183349609375
16,17,1631648846.363259,1631648846.4327085,2336.64306640625
17,18,1631648846.4328063,1631648849.5814567,2291.72021484375
18,19,1631648849.5835185,1631648849.6248753,2341.764404296875
19,20,1631648849.6249707,1631648849.6936462,2326.401611328125
20,21,1631648849.6937444,1631648849.7369843,2463.137939453125
21,22,1631648849.737075,1631648849.7840645,2293.7236328125
22,23,1631648849.784163,1631648849.8519893,2297.321533203125
23,24,1631648849.8520846,1631648850.9915938,2291.760498046875
24,25,1631648850.9924047,1631648851.039597,2283.72119140625
25,26,1631648851.0396912,1631648851.0986106,2289.927001953125
26,27,1631648851.098713,1631648851.1543827,2298.249755859375
27,28,1631648851.1544774,1631648852.7014334,2296.401123046875
28,29,1631648852.702331,1631648855.49654,2294.499755859375
29,30,1631648855.4981763,1631648856.9440773,2298.63037109375
30,31,1631648856.9450755,1631648856.9976385,2322.045654296875
31,32,1631648856.9977396,1631648857.0308619,2583.861328125
32,33,1631648857.0309498,1631648858.6634908,2272.992431640625
