,model,learning_rate,dropout,n_hidden,hidden_1,hidden_2,hidden_3,hidden_4,hidden_5
0,mlp,0.001,0.6,2,89,6,69,44,58
1,mlp,0.001,0.6,5,34,6,89,44,58
2,mlp,0.0001,0.0,3,93,6,34,84,58
3,mlp,0.001,0.8,1,34,96,55,44,34
4,mlp,0.001,0.8,5,33,71,55,90,34
5,mlp,0.0001,0.0,3,90,96,55,90,34
6,mlp,0.0001,0.6,3,33,71,72,90,12
7,mlp,0.0001,0.6,3,33,71,72,90,12
8,mlp,0.001,0.8,1,90,96,79,44,7
9,mlp,0.001,0.8,1,34,96,17,44,34
10,mlp,0.001,0.8,1,33,71,55,44,34
11,mlp,0.001,0.5,1,33,96,34,91,34
12,mlp,0.001,0.8,1,34,96,55,44,34
13,mlp,0.001,0.8,1,55,96,64,44,7
14,mlp,0.001,0.8,1,34,96,64,44,7
15,mlp,0.001,0.7,1,33,96,64,72,7
16,mlp,0.001,0.8,1,34,96,64,44,7
17,mlp,0.001,0.6,1,33,69,28,43,12
18,mlp,0.001,0.8,1,55,96,64,44,7
19,mlp,0.001,0.8,1,55,92,64,44,7
20,mlp,0.001,0.8,1,33,68,32,43,12
21,mlp,0.001,0.8,1,33,67,79,44,33
22,mlp,0.001,0.8,1,33,68,79,44,12
23,mlp,0.001,0.8,1,33,78,79,43,34
24,mlp,0.001,0.6,1,33,69,95,43,31
25,mlp,0.001,0.8,1,55,96,64,44,7
26,mlp,0.001,0.8,1,33,68,32,43,34
27,mlp,0.001,0.8,1,55,96,64,44,7
28,mlp,0.001,0.8,1,55,96,26,44,7
29,mlp,0.001,0.7,1,33,73,64,43,24
30,mlp,0.001,0.8,1,43,67,55,43,12
31,mlp,0.001,0.6,1,36,67,41,43,34
32,mlp,0.001,0.8,1,55,96,64,43,12
33,mlp,0.001,0.8,1,43,67,55,43,12
34,mlp,0.001,0.6,1,33,69,28,42,37
35,mlp,0.001,0.8,1,55,96,64,44,7
36,mlp,0.001,0.8,1,43,67,55,43,12
37,mlp,0.001,0.6,1,52,80,82,43,12
38,mlp,0.001,0.8,1,57,92,33,43,10
39,mlp,0.001,0.8,1,53,86,14,43,10
40,mlp,0.001,0.8,1,58,95,32,44,7
41,mlp,0.001,0.7,1,51,86,51,43,8
42,mlp,0.001,0.8,1,55,59,26,42,13
43,mlp,0.001,0.8,1,43,81,55,43,12
44,mlp,0.001,0.8,1,43,67,55,43,12
