,iteration,start_time,end_time,val_mse
0,1,1630895921.6295624,1630895961.0360117,1822.45556640625
1,2,1630895961.0386736,1630896022.6896358,1794.79052734375
2,3,1630896022.692583,1630896101.446716,1833.5908203125
3,4,1630896101.450402,1630896158.7621453,1775.12158203125
4,5,1630896158.7648346,1630896271.6540513,1785.927978515625
5,6,1630896271.6566586,1630896351.851987,1817.943603515625
6,7,1630896351.8541486,1630896354.955804,1811.2723388671875
7,8,1630896354.9582062,1630896377.1483412,1817.4830322265625
8,9,1630896377.1503894,1630896398.7903569,1783.8701171875
9,10,1630896398.792736,1630896440.3003712,1777.8427734375
10,11,1630896440.303505,1630896443.2478507,1776.0540771484375
11,12,1630896443.250492,1630896446.1753983,1778.5457763671875
12,13,1630896446.1771584,1630896449.2249923,1780.5008544921875
13,14,1630896449.2267895,1630896452.2698524,1773.0848388671875
14,15,1630896452.2715988,1630896455.1731658,1777.3746337890625
15,16,1630896455.1748686,1630896458.2151625,1774.0325927734375
16,17,1630896458.2167432,1630896460.9523542,1775.6973876953125
17,18,1630896460.953994,1630896463.4739566,1773.3629150390625
18,19,1630896463.475901,1630896465.6949608,1769.6402587890625
19,20,1630896465.696596,1630896467.9104264,1772.2822265625
20,21,1630896467.9121127,1630896470.128689,1776.4798583984375
21,22,1630896470.1303797,1630896472.3466148,1777.3289794921875
22,23,1630896472.348292,1630896474.5673916,1775.5302734375
23,24,1630896474.5698092,1630896476.787574,1772.2484130859375
24,25,1630896476.7892487,1630896479.0049028,1774.877685546875
25,26,1630896479.0065854,1630896481.2215343,1768.7098388671875
26,27,1630896481.2232108,1630896483.44028,1774.623779296875
27,28,1630896483.4420235,1630896485.658287,1771.327880859375
28,29,1630896485.660092,1630896487.87841,1772.0499267578125
29,30,1630896487.8800318,1630896490.0996246,1774.131103515625
30,31,1630896490.1013262,1630896492.314779,1773.5263671875
31,32,1630896492.3164878,1630896494.52973,1775.2349853515625
32,33,1630896494.5313454,1630896496.754599,1775.8250732421875
33,34,1630896496.756223,1630896498.9830651,1771.4676513671875
34,35,1630896498.9847589,1630896501.2065685,1773.830810546875
35,36,1630896501.2082531,1630896503.4282367,1768.9345703125
36,37,1630896503.4305,1630896505.6610358,1772.06103515625
37,38,1630896505.6626651,1630896507.8983986,1774.8873291015625
38,39,1630896507.9000266,1630896510.124905,1773.19775390625
39,40,1630896510.1265783,1630896512.366191,1770.99267578125
40,41,1630896512.367978,1630896514.6009037,1770.5191650390625
41,42,1630896514.6025383,1630896516.8395858,1770.9151611328125
42,43,1630896516.841258,1630896519.0745249,1774.04541015625
43,44,1630896519.076083,1630896521.3077586,1776.7294921875
44,45,1630896521.309374,1630896523.5347657,1775.514404296875
