,function_evaluations,iteration,start_time,end_time,val_mse
0,1,1,1630895921.6295624,1630895928.8962634,1857.56103515625
1,2,1,1630895928.8967273,1630895929.3346066,1822.45556640625
2,3,1,1630895929.3348134,1630895944.2339206,2048.315673828125
3,4,1,1630895944.2361856,1630895960.3682334,2001.0191650390625
4,5,1,1630895960.3693395,1630895961.0360117,1850.6295166015625
5,6,2,1630895961.0386736,1630896000.573831,1846.552001953125
6,7,2,1630896000.5765815,1630896001.2632382,1794.79052734375
7,8,2,1630896001.2641373,1630896021.3759632,2054.07373046875
8,9,2,1630896021.3775358,1630896021.8258145,2051.05810546875
9,10,2,1630896021.8260283,1630896022.6896358,1846.0074462890625
10,11,3,1630896022.692583,1630896078.050648,1844.0743408203125
11,12,3,1630896078.0534518,1630896078.7457426,1833.5908203125
12,13,3,1630896078.747951,1630896099.8308995,2049.84814453125
13,14,3,1630896099.832289,1630896100.753572,2042.4947509765625
14,15,3,1630896100.753772,1630896101.446716,1836.408935546875
15,16,4,1630896101.450402,1630896155.6285126,1852.4967041015625
16,17,4,1630896155.630785,1630896156.070639,1775.12158203125
17,18,4,1630896156.0714586,1630896157.1014633,2047.145263671875
18,19,4,1630896157.101673,1630896157.7932942,2042.776611328125
19,20,4,1630896157.7934856,1630896158.7621453,1834.855712890625
20,21,5,1630896158.7648346,1630896213.5252056,1845.23291015625
21,22,5,1630896213.5273087,1630896214.4775882,1785.927978515625
22,23,5,1630896214.4785151,1630896215.2474577,2037.89306640625
23,24,5,1630896215.2476575,1630896270.6588676,1844.2139892578125
24,25,5,1630896270.6617143,1630896271.6540513,1843.4166259765625
25,26,6,1630896271.6566586,1630896324.739657,1822.7193603515625
26,27,6,1630896324.7419071,1630896325.4931335,1817.943603515625
27,28,6,1630896325.4941077,1630896326.2336955,2038.505859375
28,29,6,1630896326.2338915,1630896350.8796089,2047.0330810546875
29,30,6,1630896350.8807411,1630896351.851987,1840.153076171875
30,31,7,1630896351.8541486,1630896352.5837035,1827.989013671875
31,32,7,1630896352.5841253,1630896353.0278215,1919.7933349609375
32,33,7,1630896353.0279932,1630896353.7803388,2045.9049072265625
33,34,7,1630896353.7805264,1630896354.2340298,1826.5540771484375
34,35,7,1630896354.2342157,1630896354.955804,1811.2723388671875
35,36,8,1630896354.9582062,1630896374.5298252,1819.372314453125
36,37,8,1630896374.5306466,1630896374.9668684,1956.779052734375
37,38,8,1630896374.9670422,1630896375.683715,1821.064697265625
38,39,8,1630896375.6838958,1630896376.4264584,1834.5146484375
39,40,8,1630896376.4266446,1630896377.1483412,1817.4830322265625
40,41,9,1630896377.1503894,1630896396.7152393,1844.834228515625
41,42,9,1630896396.7162774,1630896397.4393826,1815.635498046875
42,43,9,1630896397.4399552,1630896397.894699,1821.437255859375
43,44,9,1630896397.894874,1630896398.3496816,1783.8701171875
44,45,9,1630896398.349867,1630896398.7903569,1833.476318359375
45,46,10,1630896398.792736,1630896399.4993038,1785.495849609375
46,47,10,1630896399.499485,1630896399.9413896,1777.8427734375
47,48,10,1630896399.941574,1630896420.0937908,1828.643798828125
48,49,10,1630896420.0951614,1630896420.7242982,1804.4957275390625
49,50,10,1630896420.7244852,1630896440.3003712,1845.5816650390625
50,51,11,1630896440.303505,1630896440.740483,1808.06982421875
51,52,11,1630896440.740654,1630896441.1829982,1776.0540771484375
52,53,11,1630896441.18319,1630896441.905589,1842.692626953125
53,54,11,1630896441.905771,1630896442.521603,1790.966552734375
54,55,11,1630896442.5217838,1630896443.2478507,1824.0284423828125
55,56,12,1630896443.250492,1630896443.9547546,1783.316162109375
56,57,12,1630896443.95493,1630896444.3975542,1778.5457763671875
57,58,12,1630896444.397734,1630896445.1242409,1814.02197265625
58,59,12,1630896445.1244226,1630896445.5807662,1787.7974853515625
59,60,12,1630896445.5809453,1630896446.1753983,1824.30419921875
60,61,13,1630896446.1771584,1630896446.882906,1783.9571533203125
61,62,13,1630896446.88308,1630896447.3251438,1780.5008544921875
62,63,13,1630896447.3253243,1630896448.0435507,1821.4482421875
63,64,13,1630896448.043734,1630896448.5008254,1802.7532958984375
64,65,13,1630896448.5009973,1630896449.2249923,1812.4072265625
65,66,14,1630896449.2267895,1630896449.969115,1805.1138916015625
66,67,14,1630896449.9692924,1630896450.4112275,1779.865966796875
67,68,14,1630896450.4114034,1630896451.117235,1839.709228515625
68,69,14,1630896451.1174161,1630896451.5669577,1773.0848388671875
69,70,14,1630896451.567132,1630896452.2698524,1825.8232421875
70,71,15,1630896452.2715988,1630896452.976359,1782.99658203125
71,72,15,1630896452.976539,1630896453.6913466,1793.16455078125
72,73,15,1630896453.6915343,1630896454.140442,1829.7550048828125
73,74,15,1630896454.1406205,1630896454.582268,1777.3746337890625
74,75,15,1630896454.5824459,1630896455.1731658,1826.34375
75,76,16,1630896455.1748686,1630896455.9002128,1830.0489501953125
76,77,16,1630896455.900387,1630896456.3472614,1777.3638916015625
77,78,16,1630896456.3474362,1630896457.0706723,1807.6241455078125
78,79,16,1630896457.0708525,1630896457.5124626,1774.0325927734375
79,80,16,1630896457.5126429,1630896458.2151625,1783.744384765625
80,81,17,1630896458.2167432,1630896458.9206188,1782.367431640625
81,82,17,1630896458.9208415,1630896459.3627396,1781.57958984375
82,83,17,1630896459.3629158,1630896459.8057725,1775.9847412109375
83,84,17,1630896459.8059452,1630896460.247678,1775.6973876953125
84,85,17,1630896460.247852,1630896460.9523542,1789.8795166015625
85,86,18,1630896460.953994,1630896461.3961086,1773.3629150390625
86,87,18,1630896461.396277,1630896461.837134,1783.380126953125
87,88,18,1630896461.837304,1630896462.4283528,1809.0428466796875
88,89,18,1630896462.4285352,1630896462.8767173,1781.20458984375
89,90,18,1630896462.8768883,1630896463.4739566,1855.0294189453125
90,91,19,1630896463.475901,1630896463.918672,1778.126220703125
91,92,19,1630896463.9188406,1630896464.3616843,1780.51611328125
92,93,19,1630896464.3618546,1630896464.8042846,1776.9891357421875
93,94,19,1630896464.8044598,1630896465.2544413,1769.6402587890625
94,95,19,1630896465.2546198,1630896465.6949608,1778.61376953125
95,96,20,1630896465.696596,1630896466.1384566,1774.1524658203125
96,97,20,1630896466.1386335,1630896466.5808856,1774.060302734375
97,98,20,1630896466.5810583,1630896467.0237894,1782.078125
98,99,20,1630896467.0239623,1630896467.4732146,1772.2822265625
99,100,20,1630896467.4733872,1630896467.9104264,1806.556640625
100,101,21,1630896467.9121127,1630896468.3543038,1776.5604248046875
101,102,21,1630896468.3544793,1630896468.7957988,1778.8363037109375
102,103,21,1630896468.795968,1630896469.2376935,1780.454345703125
103,104,21,1630896469.2378645,1630896469.6864192,1777.1015625
104,105,21,1630896469.686597,1630896470.128689,1776.4798583984375
105,106,22,1630896470.1303797,1630896470.5725255,1782.156005859375
106,107,22,1630896470.572695,1630896471.0146723,1783.9427490234375
107,108,22,1630896471.0148447,1630896471.4567153,1777.3289794921875
108,109,22,1630896471.4568875,1630896471.9048395,1781.812255859375
109,110,22,1630896471.9050128,1630896472.3466148,1780.2198486328125
110,111,23,1630896472.348292,1630896472.7991557,1775.6156005859375
111,112,23,1630896472.7995613,1630896473.2416584,1775.5302734375
112,113,23,1630896473.2418423,1630896473.6837032,1781.793701171875
113,114,23,1630896473.6838796,1630896474.1253293,1779.051513671875
114,115,23,1630896474.125507,1630896474.5673916,1778.1439208984375
115,116,24,1630896474.5698092,1630896475.0120797,1779.4437255859375
116,117,24,1630896475.0122485,1630896475.454043,1772.2484130859375
117,118,24,1630896475.4542139,1630896475.8961697,1778.8486328125
118,119,24,1630896475.8963456,1630896476.3451684,1782.6373291015625
119,120,24,1630896476.3453395,1630896476.787574,1781.517822265625
120,121,25,1630896476.7892487,1630896477.2309406,1774.877685546875
121,122,25,1630896477.2311072,1630896477.672845,1776.083740234375
122,123,25,1630896477.673015,1630896478.1143534,1777.8748779296875
123,124,25,1630896478.1145296,1630896478.562906,1776.1893310546875
124,125,25,1630896478.5630774,1630896479.0049028,1785.580810546875
125,126,26,1630896479.0065854,1630896479.4454448,1794.4510498046875
126,127,26,1630896479.4456286,1630896479.8878233,1779.6595458984375
127,128,26,1630896479.8879967,1630896480.3303726,1784.520263671875
128,129,26,1630896480.3305511,1630896480.7789538,1768.7098388671875
129,130,26,1630896480.7791278,1630896481.2215343,1780.1278076171875
130,131,27,1630896481.2232108,1630896481.6651983,1781.0819091796875
131,132,27,1630896481.6653657,1630896482.1071281,1783.787353515625
132,133,27,1630896482.107302,1630896482.555497,1778.2098388671875
133,134,27,1630896482.5556707,1630896482.99811,1777.5899658203125
134,135,27,1630896482.9982815,1630896483.44028,1774.623779296875
135,136,28,1630896483.4420235,1630896483.8850467,1789.369140625
136,137,28,1630896483.8852153,1630896484.3276148,1779.5546875
137,138,28,1630896484.3277907,1630896484.77013,1776.8173828125
138,139,28,1630896484.7703013,1630896485.218695,1771.327880859375
139,140,28,1630896485.2188673,1630896485.658287,1776.105712890625
140,141,29,1630896485.660092,1630896486.1028218,1777.43212890625
141,142,29,1630896486.102989,1630896486.545227,1778.134765625
142,143,29,1630896486.5453982,1630896486.9864428,1784.7413330078125
143,144,29,1630896486.9866202,1630896487.4358861,1772.0499267578125
144,145,29,1630896487.4360607,1630896487.87841,1776.6658935546875
145,146,30,1630896487.8800318,1630896488.3228803,1778.0985107421875
146,147,30,1630896488.323049,1630896488.7650476,1777.279296875
147,148,30,1630896488.7652192,1630896489.2148697,1774.4697265625
148,149,30,1630896489.2150443,1630896489.6575456,1774.131103515625
149,150,30,1630896489.6577203,1630896490.0996246,1782.3365478515625
150,151,31,1630896490.1013262,1630896490.5431092,1783.9599609375
151,152,31,1630896490.5432765,1630896490.9851785,1786.1651611328125
152,153,31,1630896490.9853504,1630896491.4298096,1773.5263671875
153,154,31,1630896491.4299824,1630896491.8722396,1779.9757080078125
154,155,31,1630896491.8724105,1630896492.314779,1779.0009765625
155,156,32,1630896492.3164878,1630896492.7582245,1775.2349853515625
156,157,32,1630896492.7583935,1630896493.1993575,1780.4051513671875
157,158,32,1630896493.199535,1630896493.6441095,1778.20556640625
158,159,32,1630896493.6442807,1630896494.0854812,1779.23583984375
159,160,32,1630896494.085677,1630896494.52973,1776.582275390625
160,161,33,1630896494.5313454,1630896494.974325,1778.701904296875
161,162,33,1630896494.974499,1630896495.4169672,1778.992431640625
162,163,33,1630896495.4171379,1630896495.862585,1776.9373779296875
163,164,33,1630896495.862759,1630896496.3122122,1775.8250732421875
164,165,33,1630896496.3123848,1630896496.754599,1782.49072265625
165,166,34,1630896496.756223,1630896497.1990454,1783.1962890625
166,167,34,1630896497.199214,1630896497.640623,1779.8638916015625
167,168,34,1630896497.6407962,1630896498.0858827,1771.4676513671875
168,169,34,1630896498.0860567,1630896498.5346205,1779.8408203125
169,170,34,1630896498.5347927,1630896498.9830651,1776.9989013671875
170,171,35,1630896498.9847589,1630896499.426331,1773.830810546875
171,172,35,1630896499.4265044,1630896499.8650508,1790.0467529296875
172,173,35,1630896499.8652236,1630896500.3095298,1779.09521484375
173,174,35,1630896500.3097022,1630896500.7578812,1775.8651123046875
174,175,35,1630896500.758057,1630896501.2065685,1773.8480224609375
175,176,36,1630896501.2082531,1630896501.64713,1791.6290283203125
176,177,36,1630896501.6472998,1630896502.0948806,1770.637939453125
177,178,36,1630896502.0950565,1630896502.5396252,1775.5166015625
178,179,36,1630896502.5397978,1630896502.9903505,1768.9345703125
179,180,36,1630896502.9907653,1630896503.4282367,1784.9244384765625
180,181,37,1630896503.4305,1630896503.8750415,1774.0853271484375
181,182,37,1630896503.8752098,1630896504.3192704,1775.2899169921875
182,183,37,1630896504.3194413,1630896504.764229,1772.06103515625
183,184,37,1630896504.7644095,1630896505.2135985,1776.338134765625
184,185,37,1630896505.213772,1630896505.6610358,1778.4959716796875
185,186,38,1630896505.6626651,1630896506.1103756,1774.8873291015625
186,187,38,1630896506.1105525,1630896506.5556593,1776.0205078125
187,188,38,1630896506.5558329,1630896507.0010335,1777.485595703125
188,189,38,1630896507.0012054,1630896507.4495559,1778.2740478515625
189,190,38,1630896507.4497304,1630896507.8983986,1778.2236328125
190,191,39,1630896507.9000266,1630896508.34503,1775.5418701171875
191,192,39,1630896508.345205,1630896508.7929485,1773.19775390625
192,193,39,1630896508.7931216,1630896509.2343009,1775.2830810546875
193,194,39,1630896509.234479,1630896509.6831987,1781.262939453125
194,195,39,1630896509.6833708,1630896510.124905,1779.316650390625
195,196,40,1630896510.1265783,1630896510.5760026,1785.3927001953125
196,197,40,1630896510.5761786,1630896511.0234687,1770.99267578125
197,198,40,1630896511.023648,1630896511.4681122,1773.557373046875
198,199,40,1630896511.4683282,1630896511.9172378,1779.20849609375
199,200,40,1630896511.9174106,1630896512.366191,1774.5889892578125
200,201,41,1630896512.367978,1630896512.8095562,1775.4774169921875
201,202,41,1630896512.8097255,1630896513.2573276,1779.1912841796875
202,203,41,1630896513.2575076,1630896513.7050912,1774.6822509765625
203,204,41,1630896513.7052643,1630896514.1531427,1778.655029296875
204,205,41,1630896514.1533158,1630896514.6009037,1770.5191650390625
205,206,42,1630896514.6025383,1630896515.0505428,1778.6326904296875
206,207,42,1630896515.050713,1630896515.4982047,1770.9151611328125
207,208,42,1630896515.4983795,1630896515.9465768,1777.4967041015625
208,209,42,1630896515.9467502,1630896516.3951688,1772.0360107421875
209,210,42,1630896516.3953419,1630896516.8395858,1780.5391845703125
210,211,43,1630896516.841258,1630896517.2829447,1777.9769287109375
211,212,43,1630896517.2831142,1630896517.7320385,1777.6844482421875
212,213,43,1630896517.732212,1630896518.1800818,1782.2828369140625
213,214,43,1630896518.1802576,1630896518.6286328,1774.04541015625
214,215,43,1630896518.6288056,1630896519.0745249,1778.458251953125
215,216,44,1630896519.076083,1630896519.5179014,1779.0474853515625
216,217,44,1630896519.5180721,1630896519.9655979,1780.4971923828125
217,218,44,1630896519.9657712,1630896520.4097922,1776.7294921875
