,model,learning_rate,dropout,n_hidden,hidden_1,hidden_2,hidden_3,hidden_4,hidden_5
0,mlp,0.001,0.6,2,89,6,69,44,58
1,mlp,1e-05,0.0,4,99,76,31,80,14
2,mlp,0.0001,0.0,3,93,6,34,84,58
3,lstm,0.0001,0.8,5,90,71,55,90,12
4,mlp,0.0001,0.0,3,90,71,28,90,14
5,mlp,0.0001,0.8,5,90,6,55,90,58
6,mlp,0.0001,0.8,5,90,96,55,90,58
7,mlp,0.01,0.8,3,90,6,45,74,44
8,mlp,0.0001,0.8,5,90,71,55,90,58
9,mlp,0.0001,0.0,2,90,71,11,45,14
10,mlp,0.0001,0.8,4,90,71,55,81,58
11,mlp,0.0001,0.8,3,90,71,60,98,58
12,mlp,0.0001,0.0,2,90,71,11,38,14
13,mlp,0.0001,0.8,3,90,71,55,81,58
14,mlp,0.0001,0.1,2,91,71,27,83,57
15,mlp,0.0001,0.8,4,89,71,51,89,58
16,mlp,0.0001,0.7,3,89,80,52,90,12
17,mlp,0.01,0.8,3,90,6,45,74,44
18,mlp,0.0001,0.1,2,91,71,11,83,14
19,mlp,0.0001,0.0,4,91,71,55,80,11
20,mlp,0.01,0.8,3,90,6,45,74,44
21,mlp,0.0001,0.1,2,90,71,11,83,14
22,mlp,0.0001,0.7,4,90,80,55,81,58
23,mlp,0.0001,0.1,2,89,71,30,83,4
24,mlp,0.0001,0.8,4,90,71,55,81,58
25,mlp,0.0001,0.0,2,90,99,15,38,20
26,mlp,0.0001,0.0,2,90,99,55,38,20
27,mlp,0.0001,0.6,4,91,71,57,83,79
28,mlp,0.0001,0.8,4,90,71,55,81,58
29,mlp,0.0001,0.8,4,90,73,67,80,58
30,mlp,0.0001,0.7,4,90,71,56,82,78
31,mlp,0.0001,0.7,2,90,94,55,81,63
32,mlp,0.0001,0.7,4,90,80,55,81,58
33,mlp,0.0001,0.1,2,89,94,54,85,51
34,mlp,0.0001,0.0,2,90,99,15,38,20
35,mlp,0.0001,0.0,2,90,99,15,38,20
36,mlp,0.0001,0.8,2,90,98,22,84,78
37,mlp,0.0001,0.0,2,91,99,31,85,20
38,mlp,0.0001,0.8,2,90,89,27,81,58
39,mlp,0.0001,0.7,4,90,71,55,81,58
40,mlp,0.0001,0.6,2,90,99,15,38,79
41,mlp,0.0001,0.2,4,91,71,57,83,59
42,mlp,0.0001,0.0,2,90,86,29,85,20
43,mlp,0.0001,0.0,2,90,88,15,82,67
44,mlp,0.0001,0.6,4,90,80,56,81,58
