,iteration,start_time,end_time,val_mse
0,1,1630904784.503075,1630904850.264875,2279.8037109375
1,2,1630904850.2675006,1630904948.0782173,2293.60107421875
2,3,1630904948.0818002,1630905078.967912,2283.77978515625
3,4,1630905078.9710286,1630905177.6660752,2290.912353515625
4,5,1630905177.668652,1630905368.4230778,2283.250732421875
5,6,1630905368.426057,1630905560.126682,2277.220947265625
6,7,1630905560.1292284,1630905738.5969288,2276.164794921875
7,8,1630905738.5994604,1630905834.9832458,2275.977783203125
8,9,1630905834.9857967,1630905841.3375363,2274.846435546875
9,10,1630905841.339345,1630905847.7709265,2275.633544921875
10,11,1630905847.7734773,1630905853.8643034,2272.944091796875
11,12,1630905853.8659947,1630905859.8769357,2274.24853515625
12,13,1630905859.878746,1630905865.82256,2274.961181640625
13,14,1630905865.8243756,1630905871.9279108,2274.808837890625
14,15,1630905871.9297152,1630905877.71694,2277.122314453125
15,16,1630905877.719492,1630905883.825975,2273.4228515625
16,17,1630905883.8277094,1630905889.5209935,2277.003662109375
17,18,1630905889.5226924,1630905895.1859572,2276.55224609375
18,19,1630905895.1876383,1630905900.290179,2276.068359375
19,20,1630905900.2919133,1630905906.1718974,2273.713134765625
20,21,1630905906.173831,1630905912.2877822,2274.7197265625
21,22,1630905912.29008,1630905917.3831847,2275.18212890625
22,23,1630905917.3848917,1630905923.525246,2272.55712890625
23,24,1630905923.526983,1630905929.4127562,2275.181640625
24,25,1630905929.4145336,1630905935.9936104,2273.723388671875
25,26,1630905935.9953876,1630905941.7308478,2272.972900390625
26,27,1630905941.7331312,1630905947.4484572,2272.611572265625
27,28,1630905947.450083,1630905953.9279656,2272.923828125
28,29,1630905953.9296966,1630905960.0175586,2272.67578125
29,30,1630905960.0192394,1630905966.4831257,2273.18701171875
30,31,1630905966.4847593,1630905972.24465,2273.313232421875
31,32,1630905972.246668,1630905978.273297,2273.543701171875
32,33,1630905978.2750201,1630905985.1157603,2273.36328125
33,34,1630905985.1173913,1630905991.1868548,2273.103271484375
34,35,1630905991.1886353,1630905996.54626,2272.635009765625
35,36,1630905996.5480058,1630906003.0662084,2272.978759765625
36,37,1630906003.068425,1630906009.158971,2273.06201171875
37,38,1630906009.1606667,1630906015.6385517,2273.30322265625
38,39,1630906015.64012,1630906022.4404037,2273.792236328125
39,40,1630906022.4421248,1630906028.9226549,2272.35498046875
40,41,1630906028.9251075,1630906035.0073166,2273.432861328125
41,42,1630906035.0089438,1630906041.101967,2272.938232421875
42,43,1630906041.1035268,1630906047.1789672,2273.308349609375
43,44,1630906047.180744,1630906053.6270084,2273.44873046875
44,45,1630906053.6287456,1630906059.3897069,2274.444580078125
