,function_evaluations,iteration,start_time,end_time,val_mse
0,1,1,1630904784.503075,1630904796.6383271,2297.6083984375
1,2,1,1630904796.638887,1630904797.3794112,2279.8037109375
2,3,1,1630904797.3796585,1630904822.2954526,2378.652099609375
3,4,1,1630904822.2972903,1630904849.1561902,2379.879150390625
4,5,1,1630904849.158735,1630904850.264875,2289.92919921875
5,6,2,1630904850.2675006,1630904915.9767134,2295.25830078125
6,7,2,1630904915.978814,1630904917.1299016,2326.267578125
7,8,2,1630904917.1301384,1630904945.895623,2378.649658203125
8,9,2,1630904945.8968685,1630904946.647748,2547.624755859375
9,10,2,1630904946.6479578,1630904948.0782173,2293.60107421875
10,11,3,1630904948.0818002,1630905040.754499,2293.495361328125
11,12,3,1630905040.7574334,1630905041.9145381,2283.77978515625
12,13,3,1630905041.9162757,1630905077.0646317,2378.16455078125
13,14,3,1630905077.066102,1630905077.8136797,2645.343994140625
14,15,3,1630905077.8138697,1630905078.967912,2288.9345703125
15,16,4,1630905078.9710286,1630905172.383785,2290.912353515625
16,17,4,1630905172.3861337,1630905173.1460123,2318.4951171875
17,18,4,1630905173.146226,1630905174.9242566,2377.204833984375
18,19,4,1630905174.9244635,1630905176.0738318,2534.294189453125
19,20,4,1630905176.0740187,1630905177.6660752,2291.618896484375
20,21,5,1630905177.668652,1630905271.132856,2295.660888671875
21,22,5,1630905271.1352973,1630905272.3120642,2301.95751953125
22,23,5,1630905272.312288,1630905273.4063752,2361.291015625
23,24,5,1630905273.4065702,1630905367.1926804,2298.142578125
24,25,5,1630905367.1955829,1630905368.4230778,2283.250732421875
25,26,6,1630905368.426057,1630905462.3058088,2345.317138671875
26,27,6,1630905462.3082075,1630905463.881551,2277.220947265625
27,28,6,1630905463.8820808,1630905464.990185,2364.487548828125
28,29,6,1630905464.9903743,1630905558.8991654,2378.1650390625
29,30,6,1630905558.9018219,1630905560.126682,2283.273193359375
30,31,7,1630905560.1292284,1630905649.0850003,2298.62548828125
31,32,7,1630905649.0873537,1630905650.6149728,2285.833740234375
32,33,7,1630905650.6154509,1630905735.784167,2379.62158203125
33,34,7,1630905735.7865536,1630905737.455224,2276.164794921875
34,35,7,1630905737.455481,1630905738.5969288,2464.19970703125
35,36,8,1630905738.5994604,1630905829.7212272,2296.68701171875
36,37,8,1630905829.7235847,1630905830.8943598,2275.977783203125
37,38,8,1630905830.8948522,1630905832.0703495,2405.458251953125
38,39,8,1630905832.0705483,1630905833.7298293,2278.38623046875
39,40,8,1630905833.7300313,1630905834.9832458,2285.219482421875
40,41,9,1630905834.9857967,1630905836.2341983,2278.58984375
41,42,9,1630905836.2343798,1630905837.2894826,2957.7587890625
42,43,9,1630905837.289731,1630905838.4517474,2392.923828125
43,44,9,1630905838.4519348,1630905840.108142,2274.846435546875
44,45,9,1630905840.1083367,1630905841.3375363,2284.55078125
45,46,10,1630905841.339345,1630905842.5909607,2277.7236328125
46,47,10,1630905842.591139,1630905843.7488089,2430.000244140625
47,48,10,1630905843.7489939,1630905845.0732324,2369.12646484375
48,49,10,1630905845.0734162,1630905846.7309,2276.141357421875
49,50,10,1630905846.7310944,1630905847.7709265,2275.633544921875
50,51,11,1630905847.7734773,1630905848.937152,2282.1259765625
51,52,11,1630905848.9373317,1630905850.1015296,2274.563720703125
52,53,11,1630905850.101717,1630905851.3654394,2755.538330078125
53,54,11,1630905851.365633,1630905852.8248167,2272.944091796875
54,55,11,1630905852.8250048,1630905853.8643034,2278.714599609375
55,56,12,1630905853.8659947,1630905855.1778862,2290.99462890625
56,57,12,1630905855.178153,1630905856.5823128,2371.479248046875
57,58,12,1630905856.582524,1630905857.5926747,2306.0546875
58,59,12,1630905857.5928574,1630905858.8368235,2274.24853515625
59,60,12,1630905858.837018,1630905859.8769357,2275.272705078125
60,61,13,1630905859.878746,1630905861.0985477,2567.764892578125
61,62,13,1630905861.0987284,1630905862.3054397,2806.684814453125
62,63,13,1630905862.3056335,1630905863.3167267,2526.9697265625
63,64,13,1630905863.3169167,1630905864.7815979,2275.1884765625
64,65,13,1630905864.7817905,1630905865.82256,2274.961181640625
65,66,14,1630905865.8243756,1630905867.0790026,2277.50927734375
66,67,14,1630905867.079188,1630905868.3611798,3049.144287109375
67,68,14,1630905868.3613672,1630905869.5337303,2324.884765625
68,69,14,1630905869.533917,1630905870.787246,2274.808837890625
69,70,14,1630905870.7874372,1630905871.9279108,2366.32373046875
70,71,15,1630905871.9297152,1630905873.1213217,2373.697265625
71,72,15,1630905873.1215057,1630905874.2891886,2330.82958984375
72,73,15,1630905874.2893748,1630905875.334313,2277.122314453125
73,74,15,1630905875.334507,1630905876.6805804,2278.8466796875
74,75,15,1630905876.6807723,1630905877.71694,2375.283203125
75,76,16,1630905877.719492,1630905879.0049062,2699.9794921875
76,77,16,1630905879.005089,1630905880.2878177,3083.353759765625
