,model,learning_rate,dropout,n_hidden,hidden_1,hidden_2,hidden_3,hidden_4,hidden_5
0,lstm,0.1,0.8,1,44,96,55,71,34
1,mlp,0.001,0.6,5,34,6,89,44,58
2,lstm,0.1,0.8,5,34,71,55,90,12
3,mlp,0.1,0.6,5,34,71,89,44,12
4,mlp,0.001,0.6,5,33,71,89,90,58
5,lstm,0.01,0.0,3,90,71,28,90,12
6,lstm,0.1,0.8,5,34,71,28,90,12
7,mlp,0.001,0.6,5,34,6,89,44,58
8,lstm,0.01,0.0,4,35,5,81,90,64
9,mlp,0.001,0.0,5,34,99,89,98,58
10,lstm,0.01,0.0,5,34,99,89,98,12
11,lstm,0.1,0.8,1,36,71,89,90,12
12,lstm,0.01,0.0,4,35,5,81,90,64
13,mlp,0.001,0.0,5,35,5,89,98,64
14,lstm,0.01,0.0,5,90,71,89,90,64
15,lstm,0.01,0.0,5,90,71,89,90,12
16,lstm,0.01,0.0,5,35,5,81,98,58
17,lstm,0.01,0.0,3,28,8,81,90,12
18,mlp,0.001,0.0,5,34,99,89,98,58
19,lstm,0.01,0.0,4,35,5,89,90,64
20,mlp,0.001,0.0,5,36,99,89,98,58
21,lstm,0.01,0.0,4,35,5,81,94,60
22,lstm,0.01,0.0,4,35,5,89,90,60
23,lstm,0.01,0.0,4,35,5,89,90,64
24,mlp,0.001,0.0,5,34,99,89,98,58
25,lstm,0.01,0.0,4,35,5,89,90,64
26,lstm,0.01,0.8,4,36,5,81,71,4
27,lstm,0.01,0.0,4,35,5,89,90,64
28,lstm,0.01,0.0,4,35,99,89,90,58
29,lstm,0.01,0.0,4,36,5,81,90,4
30,mlp,0.001,0.0,5,35,99,89,98,62
31,lstm,0.01,0.0,4,35,99,89,98,58
32,lstm,0.01,0.0,4,36,5,89,98,64
33,lstm,0.01,0.8,4,35,99,89,71,4
34,lstm,0.01,0.0,4,35,5,89,98,64
35,lstm,0.01,0.0,4,35,5,89,98,64
36,lstm,0.01,0.0,4,35,5,89,90,64
37,lstm,0.01,0.8,4,36,5,81,71,4
38,lstm,0.01,0.6,4,35,99,82,82,64
39,mlp,0.001,0.0,5,35,5,89,98,58
40,lstm,0.01,0.0,4,35,99,89,87,36
41,lstm,0.01,0.6,4,35,99,82,82,64
42,lstm,0.01,0.0,4,36,5,89,71,4
43,lstm,0.01,0.8,4,35,99,81,71,4
44,lstm,0.01,0.0,4,35,99,89,71,4
