,model,learning_rate,dropout,n_hidden,hidden_1,hidden_2,hidden_3,hidden_4,hidden_5
0,mlp,0.001,0.6,2,89,6,69,44,58
1,mlp,0.001,0.3,1,93,33,76,47,89
2,mlp,0.001,0.3,2,90,33,76,47,58
3,mlp,0.001,0.6,2,92,63,51,44,85
4,mlp,0.001,0.3,2,89,32,76,47,58
5,mlp,0.001,0.2,2,90,33,82,47,60
6,mlp,0.001,0.3,1,70,32,83,47,89
7,mlp,0.001,0.3,1,65,33,83,47,91
8,mlp,0.001,0.6,2,90,32,77,47,51
9,mlp,0.001,0.2,2,90,33,88,47,87
10,mlp,0.001,0.3,1,64,32,76,47,56
11,mlp,0.001,0.2,1,62,54,83,47,90
12,mlp,0.001,0.3,1,71,53,83,47,90
13,mlp,0.001,0.3,1,64,32,83,47,89
14,mlp,0.001,0.3,1,66,33,88,47,89
15,mlp,0.001,0.6,2,92,59,50,47,88
16,mlp,0.001,0.3,1,64,9,83,47,89
17,mlp,0.001,0.2,1,65,33,83,10,88
18,mlp,0.001,0.3,1,45,33,83,47,89
19,mlp,0.001,0.3,1,41,32,78,47,89
20,mlp,0.001,0.7,1,45,33,83,58,89
21,mlp,0.001,0.7,1,45,33,83,59,89
22,mlp,0.001,0.6,2,92,59,56,47,88
23,mlp,0.001,0.3,1,46,33,83,47,91
24,mlp,0.001,0.3,1,49,33,83,47,89
