,iteration,start_time,end_time,val_mse
0,1,1630890803.7065156,1630890930.7439437,1823.407470703125
1,2,1630890930.75013,1630891104.0420096,1795.4366455078125
2,3,1630891104.0453885,1630891172.0230408,1777.8104248046875
3,4,1630891172.0286098,1630891206.5267677,1772.79443359375
4,5,1630891206.5296147,1630891210.245637,1776.728271484375
5,6,1630891210.2475076,1630891214.082907,1773.2196044921875
6,7,1630891214.0847142,1630891217.9043434,1769.631103515625
7,8,1630891217.9111044,1630891221.6563745,1769.9639892578125
8,9,1630891221.6581726,1630891225.3509629,1775.17529296875
9,10,1630891225.352744,1630891228.928294,1775.259521484375
10,11,1630891228.9306426,1630891232.5359066,1775.0968017578125
11,12,1630891232.5376964,1630891236.3286664,1772.0963134765625
12,13,1630891236.3311255,1630891239.760013,1774.2421875
13,14,1630891239.7617812,1630891266.7390363,1771.1221923828125
14,15,1630891266.7418153,1630891270.675488,1771.3182373046875
15,16,1630891270.677299,1630891274.1737268,1775.124755859375
16,17,1630891274.1761158,1630891277.552416,1775.483154296875
17,18,1630891277.554187,1630891306.214208,1772.6436767578125
18,19,1630891306.2195108,1630891309.6153767,1768.0035400390625
19,20,1630891309.617742,1630891313.0977678,1773.4072265625
20,21,1630891313.1006992,1630891316.6346161,1770.1063232421875
21,22,1630891316.6363719,1630891320.0181847,1771.8447265625
22,23,1630891320.020492,1630891323.4209661,1774.2806396484375
23,24,1630891323.4227302,1630891326.7818174,1772.8251953125
24,25,1630891326.7843237,1630891353.5926354,1771.614501953125
