,function_evaluations,iteration,start_time,end_time,val_mse
0,1,1,1630890803.7065156,1630890810.9812012,1853.0284423828125
1,2,1,1630890810.982023,1630890811.4205701,1823.407470703125
2,3,1,1630890811.4208436,1630890826.4135482,2037.4940185546875
3,4,1,1630890826.4145613,1630890842.6005442,1999.6973876953125
4,5,1,1630890842.604167,1630890843.2752101,1845.8521728515625
5,6,1,1630890843.2754388,1630890849.9757767,1849.7861328125
6,7,1,1630890849.9762678,1630890872.3535194,1998.49462890625
7,8,1,1630890872.355103,1630890896.6648762,2047.0894775390625
8,9,1,1630890896.6671271,1630890930.7439437,1858.753662109375
9,10,2,1630890930.75013,1630890964.7096689,1847.0638427734375
10,11,2,1630890964.7118542,1630890965.5855958,2036.06005859375
11,12,2,1630890965.5858088,1630891009.4272003,1852.20361328125
12,13,2,1630891009.429952,1630891045.7657743,1856.0447998046875
13,14,2,1630891045.7683244,1630891046.2552228,1843.3917236328125
14,15,2,1630891046.256292,1630891053.5246193,1854.1243896484375
15,16,2,1630891053.5253792,1630891081.2943673,1828.145263671875
16,17,2,1630891081.2960246,1630891103.6703086,2000.9249267578125
17,18,2,1630891103.6721969,1630891104.0420096,1795.4366455078125
18,19,3,1630891104.0453885,1630891104.526464,1840.0177001953125
19,20,3,1630891104.526634,1630891104.8921196,1792.7083740234375
20,21,3,1630891104.892286,1630891131.6328027,1849.616943359375
21,22,3,1630891131.635114,1630891132.0755513,1842.504638671875
22,23,3,1630891132.0757291,1630891132.561673,1841.6766357421875
23,24,3,1630891132.5618398,1630891133.1174064,1849.2784423828125
24,25,3,1630891133.1175816,1630891133.5672708,1777.8104248046875
25,26,3,1630891133.5674355,1630891134.0912168,1841.437744140625
26,27,3,1630891134.0913844,1630891172.0230408,1848.8896484375
27,28,4,1630891172.0286098,1630891203.2006948,1829.7313232421875
28,29,4,1630891203.2026074,1630891203.5676737,1775.9627685546875
29,30,4,1630891203.568342,1630891203.9379263,1790.46728515625
30,31,4,1630891203.9383452,1630891204.3070562,1791.4390869140625
31,32,4,1630891204.3072233,1630891204.7855139,1847.19775390625
32,33,4,1630891204.7856905,1630891205.1522985,1790.23193359375
33,34,4,1630891205.1524575,1630891205.5197997,1793.7921142578125
34,35,4,1630891205.5199592,1630891206.0613806,1822.708251953125
35,36,4,1630891206.061555,1630891206.5267677,1772.79443359375
36,37,5,1630891206.5296147,1630891206.895801,1817.152099609375
37,38,5,1630891206.895959,1630891207.2610703,1786.7362060546875
38,39,5,1630891207.26123,1630891207.6304398,1797.3040771484375
39,40,5,1630891207.6306038,1630891207.9960742,1788.9022216796875
40,41,5,1630891207.9962356,1630891208.4599109,1779.0791015625
41,42,5,1630891208.4600728,1630891208.9029121,1783.9923095703125
42,43,5,1630891208.9030735,1630891209.3523598,1776.728271484375
43,44,5,1630891209.3525288,1630891209.7115493,1789.2999267578125
44,45,5,1630891209.7117066,1630891210.245637,1821.5321044921875
45,46,6,1630891210.2475076,1630891210.6190748,1907.1341552734375
46,47,6,1630891210.6192288,1630891211.0710568,1778.472412109375
47,48,6,1630891211.0712702,1630891211.539951,1787.2100830078125
48,49,6,1630891211.5401144,1630891212.006422,1780.2060546875
49,50,6,1630891212.006593,1630891212.370036,1785.236328125
50,51,6,1630891212.370195,1630891212.8213124,1773.2196044921875
51,52,6,1630891212.8214817,1630891213.1766367,1904.2860107421875
52,53,6,1630891213.1767943,1630891213.6381524,1783.5355224609375
53,54,6,1630891213.6383517,1630891214.082907,1848.14013671875
54,55,7,1630891214.0847142,1630891214.5348616,1779.498779296875
55,56,7,1630891214.535018,1630891214.9849145,1778.7994384765625
56,57,7,1630891214.9850776,1630891215.435079,1774.1427001953125
57,58,7,1630891215.4352417,1630891215.802062,1826.81298828125
58,59,7,1630891215.8022192,1630891216.2526553,1775.7213134765625
59,60,7,1630891216.2528176,1630891216.6149938,1769.631103515625
60,61,7,1630891216.615156,1630891217.079485,1790.1519775390625
61,62,7,1630891217.0796485,1630891217.4421735,1781.26806640625
62,63,7,1630891217.4423347,1630891217.9043434,1771.81689453125
63,64,8,1630891217.9111044,1630891218.346015,1781.2005615234375
64,65,8,1630891218.3461692,1630891218.8024604,1770.791748046875
65,66,8,1630891218.8026285,1630891219.2455595,1772.4228515625
66,67,8,1630891219.2457187,1630891219.6897063,1777.3204345703125
67,68,8,1630891219.6898642,1630891220.0501032,1784.588134765625
68,69,8,1630891220.0502586,1630891220.49372,1783.007568359375
69,70,8,1630891220.4938788,1630891220.8547275,1852.2396240234375
70,71,8,1630891220.8548849,1630891221.2994347,1776.3480224609375
71,72,8,1630891221.299604,1630891221.6563745,1769.9639892578125
72,73,9,1630891221.6581726,1630891222.1001563,1775.17529296875
73,74,9,1630891222.1003091,1630891222.5711236,1802.8619384765625
74,75,9,1630891222.5712821,1630891223.0082128,1782.9638671875
75,76,9,1630891223.008374,1630891223.36464,1780.0509033203125
76,77,9,1630891223.3647933,1630891223.809444,1776.1363525390625
77,78,9,1630891223.809612,1630891224.1701572,1793.662109375
78,79,9,1630891224.1703112,1630891224.5298624,1791.7689208984375
79,80,9,1630891224.5300157,1630891224.8927894,1797.0614013671875
80,81,9,1630891224.892944,1630891225.3509629,1785.6995849609375
81,82,10,1630891225.352744,1630891225.7980042,1775.259521484375
82,83,10,1630891225.798159,1630891226.2414143,1788.5162353515625
83,84,10,1630891226.2415774,1630891226.6805696,1780.2958984375
84,85,10,1630891226.6807327,1630891227.1231005,1786.0224609375
85,86,10,1630891227.1232595,1630891227.4855478,1794.45166015625
86,87,10,1630891227.4857259,1630891227.8440216,1786.0565185546875
87,88,10,1630891227.8441765,1630891228.2083251,1787.7528076171875
88,89,10,1630891228.2084863,1630891228.571257,1791.4259033203125
89,90,10,1630891228.5714138,1630891228.928294,1785.0291748046875
90,91,11,1630891228.9306426,1630891229.2857614,1775.0968017578125
91,92,11,1630891229.2859132,1630891229.6470718,1789.220458984375
92,93,11,1630891229.6472266,1630891230.1039143,1787.1756591796875
93,94,11,1630891230.104073,1630891230.5486357,1782.7666015625
94,95,11,1630891230.5487945,1630891230.9057336,1785.3494873046875
95,96,11,1630891230.9058886,1630891231.362394,1793.7669677734375
96,97,11,1630891231.3625586,1630891231.820703,1776.479248046875
97,98,11,1630891231.8208613,1630891232.178589,1829.458984375
98,99,11,1630891232.1787431,1630891232.5359066,1776.4072265625
99,100,12,1630891232.5376964,1630891232.894949,1783.9927978515625
100,101,12,1630891232.8951004,1630891233.2512963,1772.0963134765625
101,102,12,1630891233.2514536,1630891233.7239766,1792.9307861328125
102,103,12,1630891233.724137,1630891234.1613345,1836.73095703125
103,104,12,1630891234.1617541,1630891234.5205855,1846.3514404296875
