,model,learning_rate,dropout,n_hidden,hidden_1,hidden_2,hidden_3,hidden_4,hidden_5
0,mlp,0.001,0.6,2,89,6,69,44,58
1,mlp,0.001,0.2,2,87,6,69,26,29
2,mlp,0.001,0.2,2,84,6,36,26,30
3,mlp,0.001,0.2,2,89,6,36,27,30
4,mlp,0.001,0.2,2,90,6,27,27,30
5,mlp,0.001,0.6,2,89,6,51,38,58
6,mlp,0.001,0.6,2,83,6,50,38,63
7,mlp,0.001,0.6,2,87,12,34,28,73
8,mlp,0.001,0.6,2,83,13,34,28,64
9,mlp,0.001,0.1,2,83,12,36,28,64
10,mlp,0.001,0.6,2,64,13,48,28,64
11,mlp,0.001,0.6,2,83,16,34,28,50
12,mlp,0.001,0.6,2,73,9,34,28,51
13,mlp,0.001,0.6,2,72,13,47,28,64
14,mlp,0.001,0.3,2,72,13,47,28,64
15,mlp,0.001,0.1,2,82,13,37,37,64
16,mlp,0.001,0.2,2,69,13,37,78,64
17,mlp,0.001,0.4,2,82,13,46,37,64
18,mlp,0.001,0.3,2,35,13,47,28,9
19,mlp,0.001,0.6,2,34,10,34,28,51
20,mlp,0.001,0.6,2,34,13,34,28,53
21,mlp,0.001,0.6,2,34,13,34,28,66
22,mlp,0.001,0.2,2,34,13,58,28,6
23,mlp,0.001,0.3,2,35,13,35,28,12
24,mlp,0.001,0.6,2,34,13,38,28,50
