,iteration,start_time,end_time,val_mse
0,1,1630902225.0899124,1630902435.6513476,2283.06396484375
1,2,1630902435.657892,1630902684.3639035,2280.09326171875
2,3,1630902684.368303,1630902798.9200666,2278.347900390625
3,4,1630902798.9226246,1630902922.446257,2277.182861328125
4,5,1630902922.4494143,1630902929.5883305,2275.83251953125
5,6,1630902929.5907469,1630902936.0854745,2277.66064453125
6,7,1630902936.0878184,1630902942.6308963,2275.06689453125
7,8,1630902942.6327417,1630902949.1831834,2275.1298828125
8,9,1630902949.1878364,1630902955.9439304,2275.411865234375
9,10,1630902955.9462368,1630903015.2722032,2274.8779296875
10,11,1630903015.2747679,1630903021.8723953,2273.3046875
11,12,1630903021.8748257,1630903028.7832882,2275.041748046875
12,13,1630903028.785658,1630903035.4022248,2274.18505859375
13,14,1630903035.4040833,1630903041.9291806,2273.595947265625
14,15,1630903041.9324617,1630903048.5071123,2272.527587890625
15,16,1630903048.5094082,1630903054.9622788,2273.07958984375
16,17,1630903054.96459,1630903061.5395617,2274.155517578125
17,18,1630903061.5413048,1630903068.2766867,2273.70703125
18,19,1630903068.2784317,1630903074.9195333,2273.36572265625
19,20,1630903074.921856,1630903123.0897112,2272.91015625
20,21,1630903123.0921874,1630903129.61793,2272.0302734375
21,22,1630903129.6197336,1630903169.7382858,2272.14013671875
22,23,1630903169.7408473,1630903176.3235168,2273.116943359375
23,24,1630903176.32591,1630903182.899894,2272.283935546875
24,25,1630903182.9017122,1630903189.4933941,2271.89697265625
