,function_evaluations,iteration,start_time,end_time,val_mse
0,1,1,1630902225.0899124,1630902237.1991353,2294.2919921875
1,2,1,1630902237.1996624,1630902237.9363728,2283.06396484375
2,3,1,1630902237.9366205,1630902262.9843981,2379.519287109375
3,4,1,1630902262.9864898,1630902289.8247762,2379.860595703125
4,5,1,1630902289.8266847,1630902290.9386756,2292.86865234375
5,6,1,1630902290.9388828,1630902302.134201,2299.5751953125
6,7,1,1630902302.1347632,1630902339.160712,2379.88232421875
7,8,1,1630902339.1628518,1630902379.476765,2378.646484375
8,9,1,1630902379.480265,1630902435.6513476,2294.759033203125
9,10,2,1630902435.657892,1630902445.7446811,2296.210693359375
10,11,2,1630902445.745302,1630902446.833124,2364.487060546875
11,12,2,1630902446.8333082,1630902522.7259326,2293.00341796875
12,13,2,1630902522.7282946,1630902535.1475143,2294.566162109375
13,14,2,1630902535.148094,1630902535.9419978,2292.9736328125
14,15,2,1630902535.9427395,1630902598.7775288,2296.466796875
15,16,2,1630902598.780123,1630902646.4140294,2289.61083984375
16,17,2,1630902646.4159894,1630902683.6382573,2379.138671875
17,18,2,1630902683.6397436,1630902684.3639035,2280.09326171875
18,19,3,1630902684.368303,1630902685.4638994,2292.861083984375
19,20,3,1630902685.4640706,1630902686.1871116,2278.96435546875
20,21,3,1630902686.187275,1630902733.3492622,2296.611328125
21,22,3,1630902733.3514476,1630902734.20886,2279.89892578125
22,23,3,1630902734.2090352,1630902735.3456566,2293.99365234375
23,24,3,1630902735.3458261,1630902735.9459224,2294.1787109375
24,25,3,1630902735.9460797,1630902736.545302,2315.52734375
25,26,3,1630902736.54546,1630902798.1964464,2282.594482421875
26,27,3,1630902798.1993206,1630902798.9200666,2278.347900390625
27,28,4,1630902798.9226246,1630902857.2494578,2280.6474609375
28,29,4,1630902857.2514145,1630902858.096903,2281.00146484375
29,30,4,1630902858.0970917,1630902918.2225208,2294.5244140625
30,31,4,1630902918.2249718,1630902918.9440725,2282.165771484375
31,32,4,1630902918.9442747,1630902919.6663637,2281.732666015625
32,33,4,1630902919.6665404,1630902920.3876314,2277.182861328125
33,34,4,1630902920.3886316,1630902921.108853,2279.98193359375
34,35,4,1630902921.1090107,1630902921.7063458,2299.74853515625
35,36,4,1630902921.7065065,1630902922.446257,2292.035888671875
36,37,5,1630902922.4494143,1630902923.1729774,2293.61328125
37,38,5,1630902923.1731305,1630902924.0199103,2283.03662109375
38,39,5,1630902924.0200722,1630902924.7416363,2275.83251953125
39,40,5,1630902924.7417974,1630902925.59528,2280.465087890625
40,41,5,1630902925.5954413,1630902926.3194222,2278.189697265625
41,42,5,1630902926.319586,1630902927.0400887,2280.03076171875
42,43,5,1630902927.0402465,1630902927.891814,2299.822265625
43,44,5,1630902927.8922088,1630902928.7419808,2310.130126953125
44,45,5,1630902928.7421424,1630902929.5883305,2286.07275390625
45,46,6,1630902929.5907469,1630902930.3102937,2297.383056640625
46,47,6,1630902930.3104477,1630902931.0332139,2278.615966796875
47,48,6,1630902931.0333734,1630902931.7562249,2291.785400390625
48,49,6,1630902931.7564278,1630902932.481522,2277.66064453125
49,50,6,1630902932.4816906,1630902933.1997044,2282.397705078125
50,51,6,1630902933.1998641,1630902933.9210482,2290.26513671875
51,52,6,1630902933.9212072,1630902934.6404452,2279.621826171875
52,53,6,1630902934.64061,1630902935.3617182,2281.52783203125
53,54,6,1630902935.3618765,1630902936.0854745,2281.778564453125
54,55,7,1630902936.0878184,1630902936.8149335,2276.22998046875
55,56,7,1630902936.8150861,1630902937.5360386,2280.10791015625
56,57,7,1630902937.5361955,1630902938.2571323,2281.720458984375
57,58,7,1630902938.25729,1630902939.003577,2292.19091796875
58,59,7,1630902939.003736,1630902939.7238004,2277.2724609375
59,60,7,1630902939.7239575,1630902940.444363,2276.7216796875
60,61,7,1630902940.4445264,1630902941.1647696,2276.170654296875
61,62,7,1630902941.164928,1630902941.8867762,2280.254150390625
62,63,7,1630902941.8869348,1630902942.6308963,2275.06689453125
63,64,8,1630902942.6327417,1630902943.3696792,2280.947265625
64,65,8,1630902943.3698328,1630902944.0938578,2281.758056640625
65,66,8,1630902944.0940146,1630902944.823754,2277.0029296875
66,67,8,1630902944.8239174,1630902945.5592363,2285.90478515625
67,68,8,1630902945.5593946,1630902946.2846806,2276.2177734375
68,69,8,1630902946.2848403,1630902947.0137577,2275.1298828125
69,70,8,1630902947.013917,1630902947.7363036,2279.997314453125
70,71,8,1630902947.736463,1630902948.4594123,2282.860107421875
71,72,8,1630902948.4595768,1630902949.1831834,2282.09228515625
72,73,9,1630902949.1878364,1630902949.9323332,2278.279052734375
73,74,9,1630902949.9324963,1630902950.667657,2275.411865234375
74,75,9,1630902950.66782,1630902951.2768128,2309.13427734375
75,76,9,1630902951.2769697,1630902952.0083566,2279.543701171875
76,77,9,1630902952.0085232,1630902953.016786,2291.041748046875
77,78,9,1630902953.016957,1630902953.7491,2280.238525390625
78,79,9,1630902953.7492614,1630902954.4786353,2279.697265625
79,80,9,1630902954.4787972,1630902955.2145839,2277.361328125
80,81,9,1630902955.2147465,1630902955.9439304,2280.28369140625
81,82,10,1630902955.9462368,1630902956.683685,2279.894287109375
82,83,10,1630902956.6838427,1630902957.4144933,2280.4052734375
83,84,10,1630902957.4146547,1630903011.0031996,2284.734130859375
84,85,10,1630903011.0054476,1630903011.7314668,2277.785888671875
85,86,10,1630903011.7316813,1630903012.4621725,2281.30517578125
86,87,10,1630903012.4623377,1630903013.1936352,2279.888427734375
87,88,10,1630903013.1937976,1630903013.9281192,2274.8779296875
88,89,10,1630903013.9283288,1630903014.5371585,2315.7822265625
89,90,10,1630903014.5373185,1630903015.2722032,2275.497314453125
90,91,11,1630903015.2747679,1630903016.0100029,2274.77734375
91,92,11,1630903016.0101597,1630903016.7445145,2278.1728515625
92,93,11,1630903016.7446773,1630903017.4845264,2277.52685546875
93,94,11,1630903017.484689,1630903018.2175133,2279.029052734375
94,95,11,1630903018.2179034,1630903018.9415073,2273.3046875
95,96,11,1630903018.9416878,1630903019.6718554,2276.707275390625
96,97,11,1630903019.6720238,1630903020.4075348,2276.335205078125
97,98,11,1630903020.4076984,1630903021.1388736,2283.643310546875
98,99,11,1630903021.1390355,1630903021.8723953,2280.025634765625
99,100,12,1630903021.8748257,1630903022.9160793,2289.24267578125
100,101,12,1630903022.9162464,1630903023.637721,2278.510986328125
101,102,12,1630903023.6378872,1630903024.3736768,2278.973388671875
102,103,12,1630903024.3738394,1630903025.1026528,2287.52490234375
103,104,12,1630903025.102816,1630903025.8399265,2275.960205078125
104,105,12,1630903025.8400905,1630903026.5718145,2279.597412109375
105,106,12,1630903026.5719764,1630903027.3091488,2275.73486328125
106,107,12,1630903027.309314,1630903028.0472028,2275.69580078125
107,108,12,1630903028.0473673,1630903028.7832882,2275.041748046875
108,109,13,1630903028.785658,1630903029.5220215,2274.609130859375
109,110,13,1630903029.5221784,1630903030.2572849,2275.54248046875
110,111,13,1630903030.257446,1630903030.992375,2281.49365234375
111,112,13,1630903030.992541,1630903031.731083,2275.818603515625
112,113,13,1630903031.7312477,1630903032.4668539,2276.566162109375
