,model,learning_rate,dropout,n_hidden,hidden_1,hidden_2,hidden_3,hidden_4,hidden_5
0,lstm,0.1,0.8,1,44,96,55,71,34
1,lstm,0.1,0.5,1,93,34,75,44,89
2,lstm,0.1,0.8,1,51,96,55,71,35
3,lstm,0.1,0.8,1,46,96,55,68,34
4,lstm,0.1,0.8,1,54,97,55,68,5
5,lstm,0.1,0.8,1,48,96,55,79,39
6,lstm,0.1,0.8,1,48,96,55,72,35
7,lstm,0.1,0.8,1,48,96,55,79,38
8,lstm,0.1,0.9,1,49,96,52,80,35
9,lstm,0.1,0.8,1,48,100,55,70,35
10,lstm,0.1,0.8,1,48,97,55,80,35
11,lstm,0.1,0.6,1,48,97,53,80,34
12,lstm,0.1,0.6,1,48,96,55,80,37
13,lstm,0.1,0.8,1,48,96,39,100,25
14,lstm,0.1,0.8,1,48,100,55,79,35
15,lstm,0.1,0.6,1,48,97,51,85,34
16,lstm,0.1,0.6,1,48,97,55,79,38
17,lstm,0.1,0.6,1,48,97,53,80,35
18,lstm,0.1,0.6,1,48,97,53,80,8
19,lstm,0.1,0.6,1,48,96,59,80,37
20,lstm,0.1,0.6,1,45,97,67,80,37
21,lstm,0.1,0.6,1,52,97,54,80,37
22,lstm,0.1,0.5,1,48,97,53,80,35
23,lstm,0.1,0.8,1,48,98,53,80,35
24,lstm,0.1,0.6,1,32,97,55,79,28
