,iteration,start_time,end_time,val_mse
0,1,1630883277.6520972,1630883354.9087782,100.61901092529297
1,2,1630883354.9170601,1630883472.6614134,100.61915588378906
2,3,1630883472.6655602,1630883622.2771204,100.61833190917969
3,4,1630883622.2830474,1630883774.572,100.61853790283203
4,5,1630883774.5779855,1630883922.2966495,100.61795043945312
5,6,1630883922.3016176,1630884060.7232556,100.61774444580078
6,7,1630884060.7270916,1630884176.336601,100.6163101196289
7,8,1630884176.3405926,1630884298.8658385,100.61559295654297
8,9,1630884298.8707082,1630884404.1983092,100.61842346191406
9,10,1630884404.2025347,1630884512.5690465,100.6165542602539
10,11,1630884512.576299,1630884588.8607147,99.86860656738281
11,12,1630884588.8652315,1630884673.0638692,99.54895782470703
12,13,1630884673.067761,1630884761.7053428,100.6183853149414
13,14,1630884761.7098107,1630884843.84405,100.6173324584961
14,15,1630884843.8484921,1630884927.904338,100.6183090209961
15,16,1630884927.908803,1630884992.2460227,100.61830139160156
16,17,1630884992.2497828,1630885070.794018,100.61579895019531
17,18,1630885070.7987785,1630885149.353651,100.07828521728516
18,19,1630885149.3582554,1630885218.8195417,100.61856079101562
19,20,1630885218.824275,1630885297.3350337,100.0063247680664
20,21,1630885297.3399155,1630885366.3112378,100.61701965332031
21,22,1630885366.3137991,1630885456.544713,100.61860656738281
22,23,1630885456.5509632,1630885535.112411,100.61539459228516
23,24,1630885535.1169388,1630885614.5999799,100.61688995361328
24,25,1630885614.6061969,1630885693.7649767,100.61676788330078
