,function_evaluations,iteration,start_time,end_time,val_mse
0,1,1,1630883277.6520972,1630883281.3105624,159.3116455078125
1,2,1,1630883281.311017,1630883281.5324476,153.18722534179688
2,3,1,1630883281.5326731,1630883289.0920649,100.6222915649414
3,4,1,1630883289.092977,1630883297.2122636,100.61901092529297
4,5,1,1630883297.2134905,1630883297.544203,167.54922485351562
5,6,1,1630883297.5443785,1630883300.9178555,173.24017333984375
6,7,1,1630883300.9183125,1630883312.1947918,100.61930847167969
7,8,1,1630883312.1966546,1630883329.3055959,100.62352752685547
8,9,1,1630883329.30713,1630883354.9087782,158.00296020507812
9,10,2,1630883354.9170601,1630883355.2237616,100.6307601928711
10,11,2,1630883355.2239547,1630883355.6748524,100.656494140625
11,12,2,1630883355.6750417,1630883372.5048616,160.20628356933594
12,13,2,1630883372.5079665,1630883384.5591016,155.03659057617188
13,14,2,1630883384.5602167,1630883407.997789,169.29647827148438
14,15,2,1630883408.0002072,1630883423.9842122,151.88894653320312
15,16,2,1630883423.9859147,1630883446.7930584,178.3814697265625
16,17,2,1630883446.7956793,1630883472.337829,100.61915588378906
17,18,2,1630883472.3401265,1630883472.6614134,100.65172576904297
18,19,3,1630883472.6655602,1630883483.3887494,100.62301635742188
19,20,3,1630883483.3896527,1630883507.0291278,100.6192398071289
20,21,3,1630883507.0314271,1630883521.2913294,100.62165832519531
21,22,3,1630883521.2927563,1630883532.879862,104.14737701416016
22,23,3,1630883532.8812068,1630883547.6690454,100.62161254882812
23,24,3,1630883547.6703572,1630883563.8539815,100.62059783935547
24,25,3,1630883563.8556983,1630883577.8362315,100.61833190917969
25,26,3,1630883577.8377833,1630883596.6993215,100.62176513671875
26,27,3,1630883596.7012694,1630883622.2771204,100.61858367919922
27,28,4,1630883622.2830474,1630883636.8040237,100.61876678466797
28,29,4,1630883636.805318,1630883643.3456016,100.61946105957031
29,30,4,1630883643.346204,1630883657.866877,100.6202621459961
30,31,4,1630883657.8683934,1630883670.2550125,100.61853790283203
31,32,4,1630883670.2562187,1630883687.732276,100.6200942993164
32,33,4,1630883687.734229,1630883710.0781345,100.62039184570312
33,34,4,1630883710.0804465,1630883735.5766072,100.61920928955078
34,35,4,1630883735.579027,1630883748.5430663,100.6211166381836
35,36,4,1630883748.5444357,1630883774.572,100.62191772460938
36,37,5,1630883774.5779855,1630883788.3020682,120.95642852783203
37,38,5,1630883788.3032658,1630883811.386749,100.61918640136719
38,39,5,1630883811.3891568,1630883825.9167628,100.61991882324219
39,40,5,1630883825.918211,1630883838.3952544,100.61971282958984
40,41,5,1630883838.3966691,1630883855.0806923,100.62042236328125
41,42,5,1630883855.0823731,1630883866.944634,100.61888122558594
42,43,5,1630883866.9461114,1630883894.416579,100.61933135986328
43,44,5,1630883894.4194016,1630883907.7602792,100.62142944335938
44,45,5,1630883907.7614508,1630883922.2966495,100.61795043945312
45,46,6,1630883922.3016176,1630883933.897914,117.04801177978516
46,47,6,1630883933.8988874,1630883959.3974621,100.62007141113281
47,48,6,1630883959.400047,1630883973.923777,155.82693481445312
48,49,6,1630883973.925082,1630883982.3460803,100.61957550048828
49,50,6,1630883982.3474236,1630883996.6060262,111.99736785888672
50,51,6,1630883996.607303,1630884022.1869986,100.61972045898438
51,52,6,1630884022.1895423,1630884035.1199687,100.61774444580078
52,53,6,1630884035.1212685,1630884048.8549762,100.61944580078125
53,54,6,1630884048.8564887,1630884060.7232556,100.61965942382812
54,55,7,1630884060.7270916,1630884074.461255,100.61922454833984
55,56,7,1630884074.4627192,1630884086.3230178,100.61978149414062
56,57,7,1630884086.324121,1630884095.7995083,100.61939239501953
57,58,7,1630884095.8004613,1630884109.5348825,100.619384765625
58,59,7,1630884109.5363455,1630884123.2700093,100.61835479736328
59,60,7,1630884123.2713008,1630884136.2089937,100.6163101196289
60,61,7,1630884136.2104304,1630884148.607136,100.61759185791016
61,62,7,1630884148.60827,1630884161.8054945,100.61813354492188
62,63,7,1630884161.806919,1630884176.336601,100.61924743652344
63,64,8,1630884176.3405926,1630884188.7373228,100.61993408203125
64,65,8,1630884188.7383485,1630884201.666713,100.61927032470703
65,66,8,1630884201.6681426,1630884214.5953457,100.61559295654297
66,67,8,1630884214.5966368,1630884227.789896,100.61731719970703
67,68,8,1630884227.7913265,1630884240.1980522,100.61862182617188
68,69,8,1630884240.1991928,1630884254.7263842,100.6200180053711
69,70,8,1630884254.7280014,1630884269.2491074,100.61943817138672
70,71,8,1630884269.2505434,1630884282.1802487,100.61661529541016
71,72,8,1630884282.1818476,1630884298.8658385,100.62068939208984
72,73,9,1630884298.8707082,1630884312.2790833,100.61842346191406
73,74,9,1630884312.280459,1630884325.2042847,100.61962890625
74,75,9,1630884325.2054956,1630884338.3917525,100.62066650390625
75,76,9,1630884338.3931787,1630884350.52148,100.61927795410156
76,77,9,1630884350.5228817,1630884364.6628008,100.62085723876953
77,78,9,1630884364.6640737,1630884377.8520918,100.61888122558594
78,79,9,1630884377.8535666,1630884378.0801516,205.76844787597656
79,80,9,1630884378.08033,1630884391.0111766,100.62057495117188
80,81,9,1630884391.0125546,1630884404.1983092,100.61912536621094
81,82,10,1630884404.2025347,1630884410.2238739,100.6203384399414
82,83,10,1630884410.2244663,1630884423.1436753,100.61935424804688
83,84,10,1630884423.1447961,1630884436.0700114,100.61909484863281
84,85,10,1630884436.0714583,1630884448.4671419,100.61904907226562
85,86,10,1630884448.4683154,1630884461.3916883,100.61994171142578
86,87,10,1630884461.3928688,1630884473.788293,100.61876678466797
87,88,10,1630884473.7897344,1630884486.7138028,100.6189956665039
88,89,10,1630884486.7150888,1630884499.643184,100.6165542602539
89,90,10,1630884499.6447062,1630884512.5690465,100.61944580078125
90,91,11,1630884512.576299,1630884521.29301,110.58563232421875
91,92,11,1630884521.2940395,1630884529.9979892,100.6199722290039
