,function_evaluations,iteration,start_time,end_time,val_mse
0,1,1,1630891353.9006183,1630891361.1794152,1857.5245361328125
1,2,1,1630891361.1801047,1630891361.617543,1827.9925537109375
2,3,1,1630891361.6178112,1630891376.5274243,2048.349853515625
3,4,1,1630891376.5283694,1630891392.700866,2000.6182861328125
4,5,1,1630891392.7024298,1630891393.3673346,1850.68603515625
5,6,1,1630891393.367529,1630891400.0750353,1857.86865234375
6,7,1,1630891400.075574,1630891422.4606779,1999.2637939453125
7,8,1,1630891422.4626958,1630891446.944736,2048.378173828125
8,9,1,1630891446.946592,1630891480.9235902,1847.34423828125
9,10,1,1630891480.9265494,1630891481.3797345,1825.0999755859375
10,11,1,1630891481.379938,1630891499.5779643,1853.26220703125
11,12,1,1630891499.5791142,1630891500.2923565,2079.117431640625
12,13,1,1630891500.2925448,1630891500.6571848,1844.169677734375
13,14,1,1630891500.6573462,1630891501.0037348,1847.8975830078125
14,15,1,1630891501.003892,1630891501.5210795,1845.9029541015625
15,16,1,1630891501.521341,1630891550.360931,1847.716796875
16,17,1,1630891550.363675,1630891590.455136,2038.311279296875
17,18,1,1630891590.458991,1630891622.83766,1787.7459716796875
18,19,1,1630891622.8392107,1630891623.2763531,1848.434814453125
19,20,1,1630891623.2765522,1630891623.997345,1787.0924072265625
20,21,1,1630891623.997978,1630891624.4381373,1828.6400146484375
21,22,1,1630891624.4383144,1630891625.3054426,1782.91162109375
22,23,1,1630891625.3056376,1630891626.0403717,1847.89404296875
23,24,1,1630891626.040562,1630891626.6318712,1847.8438720703125
24,25,1,1630891626.6320484,1630891638.1282802,1854.4090576171875
25,26,1,1630891638.1288369,1630891639.079934,1782.5208740234375
26,27,1,1630891639.0801246,1630891668.6353724,1823.3734130859375
27,28,1,1630891668.6369762,1630891692.4107597,1856.0977783203125
28,29,1,1630891692.4118545,1630891729.7350457,1845.910888671875
29,30,1,1630891729.7371097,1630891730.6658385,1835.2734375
30,31,1,1630891730.6660542,1630891788.5925062,1785.308349609375
31,32,1,1630891788.595708,1630891789.4158165,1850.040771484375
32,33,1,1630891789.4162984,1630891790.2248943,1842.777587890625
33,34,1,1630891790.2250953,1630891851.0517483,1852.82666015625
34,35,1,1630891851.0546508,1630891904.4495456,1781.4482421875
35,36,1,1630891904.4518166,1630891955.354445,1847.955078125
36,37,1,1630891955.3569412,1630891956.1849205,1842.70263671875
37,38,1,1630891956.1851423,1630891956.8081481,1816.5062255859375
38,39,1,1630891956.808339,1630891957.6482112,1854.988037109375
39,40,1,1630891957.6484025,1630891958.5004246,1990.279052734375
40,41,1,1630891958.5006206,1630892016.1563237,2047.1356201171875
41,42,1,1630892016.1591809,1630892056.1984475,1789.5640869140625
42,43,1,1630892056.2005734,1630892056.9395144,2026.3291015625
43,44,1,1630892056.9397209,1630892103.960287,2039.844970703125
44,45,1,1630892103.9627092,1630892161.2590737,1846.8170166015625
45,46,2,1630892161.2633975,1630892214.5554018,1781.47314453125
46,47,2,1630892214.559511,1630892267.894328,1781.3319091796875
47,48,2,1630892267.8975823,1630892321.2277093,1836.3751220703125
48,49,2,1630892321.2310154,1630892374.674936,2038.7381591796875
49,50,2,1630892374.6782537,1630892428.0926368,1781.4012451171875
50,51,2,1630892428.0959883,1630892482.6215017,1781.3907470703125
51,52,2,1630892482.6248097,1630892537.1255627,1787.1715087890625
52,53,2,1630892537.1288395,1630892586.5236475,1785.1444091796875
53,54,2,1630892586.5269246,1630892644.5582864,1781.4156494140625
54,55,2,1630892644.5618715,1630892684.0172722,1781.6767578125
55,56,2,1630892684.0198905,1630892737.4175444,1781.3348388671875
56,57,2,1630892737.4209826,1630892790.7498136,1781.3638916015625
57,58,2,1630892790.7528489,1630892844.2085714,1781.3707275390625
58,59,2,1630892844.2118824,1630892897.5309992,1781.373779296875
59,60,2,1630892897.5341136,1630892950.8557208,1781.3328857421875
60,61,2,1630892950.8587456,1630893004.292842,1781.349365234375
61,62,2,1630893004.2961452,1630893057.6320486,1781.3514404296875
62,63,2,1630893057.6351047,1630893110.959817,1781.3577880859375
63,64,2,1630893110.9629726,1630893164.285176,1781.3524169921875
64,65,2,1630893164.2884748,1630893217.620886,1781.5301513671875
65,66,2,1630893217.6239183,1630893270.9799523,2039.955810546875
66,67,2,1630893270.983254,1630893324.4865372,1840.3682861328125
67,68,2,1630893324.4896066,1630893378.9782798,1781.3348388671875
68,69,2,1630893378.981464,1630893432.2902653,1781.3502197265625
69,70,2,1630893432.293304,1630893481.7160254,1784.8521728515625
70,71,2,1630893481.719233,1630893536.1845508,1786.6619873046875
71,72,2,1630893536.1878483,1630893575.6491451,1781.3284912109375
72,73,2,1630893575.6518564,1630893615.332271,1781.693359375
73,74,2,1630893615.3349261,1630893654.7930932,1781.5711669921875
74,75,2,1630893654.7956827,1630893694.247966,1781.3463134765625
75,76,2,1630893694.250518,1630893733.7000253,1781.324951171875
76,77,2,1630893733.7026772,1630893773.1394436,1781.5411376953125
77,78,2,1630893773.1419704,1630893812.679452,1781.4010009765625
78,79,2,1630893812.6820211,1630893852.1281462,1781.3671875
79,80,2,1630893852.1306982,1630893891.581177,1781.314453125
80,81,2,1630893891.5843093,1630893917.2470949,1781.308837890625
81,82,2,1630893917.249283,1630893942.8515284,2038.7847900390625
82,83,2,1630893942.8534515,1630893968.4207616,1836.786376953125
83,84,2,1630893968.4226668,1630893995.3786557,1781.3582763671875
84,85,2,1630893995.3805358,1630894020.9458182,1781.32861328125
85,86,2,1630894020.9476976,1630894044.6547148,1792.5145263671875
86,87,2,1630894044.6560652,1630894070.8849,1784.8580322265625
87,88,2,1630894070.8867888,1630894082.6980293,1781.361328125
88,89,2,1630894082.6993375,1630894122.1417873,1781.4140625
89,90,2,1630894122.144345,1630894147.720998,1781.3236083984375
90,91,3,1630894147.7229173,1630894173.3073995,1781.5579833984375
91,92,3,1630894173.3091533,1630894198.8908494,1781.5216064453125
92,93,3,1630894198.892759,1630894224.5810776,1781.3770751953125
93,94,3,1630894224.5826032,1630894250.2494643,1781.3160400390625
94,95,3,1630894250.2515023,1630894275.841927,1781.330322265625
95,96,3,1630894275.8438945,1630894301.435248,1781.4830322265625
96,97,3,1630894301.4371657,1630894327.0178776,1781.3837890625
97,98,3,1630894327.0202453,1630894338.8324924,1781.343994140625
98,99,3,1630894338.8333132,1630894350.6450953,1781.4132080078125
99,100,3,1630894350.6463919,1630894362.4578795,2038.969970703125
100,101,3,1630894362.4586828,1630894374.2660723,1825.2342529296875
101,102,3,1630894374.2668712,1630894386.0916708,1781.3687744140625
102,103,3,1630894386.0929594,1630894397.9031224,1781.3482666015625
103,104,3,1630894397.9039025,1630894408.861583,1792.1005859375
104,105,3,1630894408.8628654,1630894420.8594942,1784.5709228515625
105,106,3,1630894420.860413,1630894423.5428877,1781.326171875
106,107,3,1630894423.5433886,1630894449.1406379,1781.3419189453125
107,108,3,1630894449.1426528,1630894460.9539928,1781.3402099609375
108,109,3,1630894460.9547906,1630894472.7622075,1781.342529296875
109,110,3,1630894472.7636175,1630894484.5781963,1781.3692626953125
110,111,3,1630894484.578983,1630894496.387277,1781.3583984375
111,112,3,1630894496.3880622,1630894508.2682266,1781.444091796875
112,113,3,1630894508.2698042,1630894520.0846028,1781.522216796875
113,114,3,1630894520.0854118,1630894531.8915079,1781.3760986328125
114,115,3,1630894531.8927991,1630894543.7029226,1781.3341064453125
115,116,3,1630894543.7044463,1630894569.2993166,1781.3486328125
116,117,3,1630894569.3011997,1630894594.9005244,1781.3494873046875
117,118,3,1630894594.9023924,1630894620.500723,1781.468994140625
118,119,3,1630894620.5026226,1630894646.1156695,2040.4443359375
119,120,3,1630894646.1170352,1630894671.701236,1781.3115234375
120,121,3,1630894671.7031589,1630894697.755534,1781.3612060546875
121,122,3,1630894697.7573996,1630894723.428398,1781.36865234375
122,123,3,1630894723.4303038,1630894747.1656258,1789.6143798828125
123,124,3,1630894747.1674635,1630894779.688322,1781.4278564453125
124,125,3,1630894779.6904485,1630894798.4110746,1781.568115234375
125,126,3,1630894798.4122322,1630894824.0711958,1781.3704833984375
126,127,3,1630894824.0732222,1630894849.6482813,1781.4962158203125
127,128,3,1630894849.6501956,1630894875.2361004,1781.34326171875
128,129,3,1630894875.238131,1630894900.8179984,1781.326171875
129,130,3,1630894900.8200164,1630894926.3982463,1781.3756103515625
130,131,3,1630894926.4003284,1630894951.985903,1781.3792724609375
131,132,3,1630894951.987926,1630894977.5668929,1781.59228515625
132,133,3,1630894977.5683851,1630895003.151611,1781.4210205078125
133,134,3,1630895003.15424,1630895028.7443266,1781.36669921875
134,135,3,1630895028.746323,1630895054.3372297,1781.4168701171875
135,136,4,1630895054.3392277,1630895079.936057,2038.862548828125
