,function_evaluations,iteration,start_time,end_time,val_mse
0,1,1,1630903189.7602887,1630903201.97383,2295.50537109375
1,2,1,1630903201.9746344,1630903202.7205033,2278.277587890625
2,3,1,1630903202.7209911,1630903227.511137,2378.171630859375
3,4,1,1630903227.512046,1630903254.261332,2379.863525390625
4,5,1,1630903254.262915,1630903255.3601863,2292.3564453125
5,6,1,1630903255.36037,1630903266.4780319,2295.490234375
6,7,1,1630903266.4785185,1630903303.4716082,2379.85986328125
7,8,1,1630903303.4736593,1630903343.7740557,2378.652587890625
8,9,1,1630903343.7757597,1630903399.8829758,2294.1162109375
9,10,1,1630903399.8859007,1630903400.6384811,2282.060546875
10,11,1,1630903400.6386611,1630903430.856762,2299.944091796875
11,12,1,1630903430.858277,1630903432.0580857,2279.493408203125
12,13,1,1630903432.0582643,1630903432.663017,2297.30322265625
13,14,1,1630903432.6631782,1630903433.2392716,2293.09375
14,15,1,1630903433.2394307,1630903434.0062656,2287.579345703125
15,16,1,1630903434.0064309,1630903499.9192853,2295.7421875
16,17,1,1630903499.9217916,1630903549.1185448,2379.133544921875
17,18,1,1630903549.120523,1630903585.4578645,2279.3681640625
18,19,1,1630903585.459784,1630903586.035052,2291.65283203125
19,20,1,1630903586.0352268,1630903586.9216814,2284.3681640625
20,21,1,1630903586.9218504,1630903587.5059807,2397.939697265625
21,22,1,1630903587.5061808,1630903588.6133435,2308.971923828125
22,23,1,1630903588.6135213,1630903589.5191236,2292.943115234375
23,24,1,1630903589.5192926,1630903590.259366,2294.031494140625
24,25,1,1630903590.259535,1630903603.3929672,2302.7353515625
25,26,1,1630903603.3934877,1630903604.5944622,2287.81005859375
26,27,1,1630903604.5946436,1630903640.5760863,2278.585693359375
27,28,1,1630903640.5776439,1630903667.3133895,2296.42724609375
28,29,1,1630903667.3145103,1630903711.7088962,2297.140625
29,30,1,1630903711.7109146,1630903712.8657315,2282.59521484375
30,31,1,1630903712.865923,1630903779.877094,2316.918212890625
31,32,1,1630903779.880214,1630903780.9535913,2296.633544921875
32,33,1,1630903780.9538014,1630903781.9811425,2293.873779296875
33,34,1,1630903781.9813216,1630903857.3608806,2293.646484375
34,35,1,1630903857.363714,1630903918.95658,2295.360595703125
35,36,1,1630903918.9593086,1630903978.863797,2298.056396484375
36,37,1,1630903978.866441,1630903979.909659,2304.343505859375
37,38,1,1630903979.9098506,1630903980.6903543,2274.064697265625
38,39,1,1630903980.6905506,1630903981.7628677,2294.59326171875
39,40,1,1630903981.763049,1630903982.8484845,2463.210693359375
40,41,1,1630903982.8486564,1630904050.0456462,2379.137939453125
41,42,1,1630904050.0486913,1630904095.4219418,2280.00146484375
42,43,1,1630904095.4242704,1630904096.3482695,2374.3251953125
43,44,1,1630904096.3484478,1630904150.5260677,2379.622802734375
44,45,1,1630904150.5286553,1630904217.3697789,2298.37646484375
45,46,2,1630904217.3737607,1630904218.1550515,2274.14501953125
46,47,2,1630904218.1555147,1630904279.6505718,2293.598876953125
47,48,2,1630904279.6537185,1630904280.4409163,2293.129638671875
48,49,2,1630904280.4413562,1630904281.226012,2346.52783203125
49,50,2,1630904281.2264295,1630904282.009642,2275.08642578125
50,51,2,1630904282.010038,1630904282.7981079,2274.725830078125
51,52,2,1630904282.7985053,1630904283.7299178,2277.252197265625
52,53,2,1630904283.7303135,1630904284.3342583,2277.461669921875
53,54,2,1630904284.3346562,1630904285.131452,2273.43408203125
54,55,2,1630904285.131861,1630904285.9394557,2273.1787109375
55,56,2,1630904285.939851,1630904286.7412565,2273.572509765625
56,57,2,1630904286.7416523,1630904287.5456839,2273.091552734375
57,58,2,1630904287.5460753,1630904288.3457022,2273.919677734375
58,59,2,1630904288.3460886,1630904289.149351,2273.4755859375
