,function_evaluations,iteration,start_time,end_time,val_mse
0,1,1,1630885694.167049,1630885697.7849395,164.6497802734375
1,2,1,1630885697.7856612,1630885698.0054553,148.2993621826172
2,3,1,1630885698.0057309,1630885705.4383702,100.62266540527344
3,4,1,1630885705.439203,1630885713.458153,100.61660766601562
4,5,1,1630885713.459237,1630885713.7873762,162.20420837402344
5,6,1,1630885713.787563,1630885717.117849,177.08883666992188
6,7,1,1630885717.1183932,1630885728.2449968,100.6192398071289
7,8,1,1630885728.249048,1630885740.2086484,100.62525177001953
8,9,1,1630885740.2101414,1630885757.0170026,158.71250915527344
9,10,1,1630885757.0191615,1630885757.244321,149.4132843017578
10,11,1,1630885757.2445016,1630885766.3273005,168.9480743408203
11,12,1,1630885766.328774,1630885766.6818144,100.61798095703125
12,13,1,1630885766.682002,1630885766.8632493,168.20533752441406
13,14,1,1630885766.863502,1630885767.0362606,167.04946899414062
14,15,1,1630885767.0364141,1630885767.265283,158.5619659423828
15,16,1,1630885767.2654426,1630885786.7563894,164.7872772216797
16,17,1,1630885786.7588537,1630885801.2508304,100.62188720703125
17,18,1,1630885801.2523644,1630885812.3674545,108.58633422851562
18,19,1,1630885812.3693304,1630885812.5516596,168.68284606933594
19,20,1,1630885812.5518346,1630885812.8352206,110.6761245727539
20,21,1,1630885812.8353922,1630885813.019209,126.0323257446289
21,22,1,1630885813.0193727,1630885813.3576448,100.30393981933594
22,23,1,1630885813.3583307,1630885813.627713,169.85133361816406
23,24,1,1630885813.6278799,1630885813.8501852,163.09341430664062
24,25,1,1630885813.8503463,1630885817.7638402,157.71273803710938
25,26,1,1630885817.7643833,1630885818.126134,110.80523681640625
26,27,1,1630885818.126307,1630885828.824572,145.32301330566406
27,28,1,1630885828.8256764,1630885836.8477163,169.5724639892578
28,29,1,1630885836.8492427,1630885850.1379523,169.19813537597656
29,30,1,1630885850.1394928,1630885850.4897285,149.7386474609375
30,31,1,1630885850.4899154,1630885870.516241,99.0656509399414
31,32,1,1630885870.5186377,1630885870.8311787,161.3710479736328
32,33,1,1630885870.831364,1630885871.136399,160.45571899414062
33,34,1,1630885871.136576,1630885893.5481062,168.53025817871094
34,35,1,1630885893.5506527,1630885911.933491,102.6323013305664
35,36,1,1630885911.9358406,1630885929.8173661,159.07568359375
36,37,1,1630885929.8196316,1630885930.134586,98.42829132080078
37,38,1,1630885930.1356332,1630885930.3673964,132.72528076171875
38,39,1,1630885930.367567,1630885930.686686,168.3338165283203
39,40,1,1630885930.6868603,1630885931.0088224,100.6228256225586
40,41,1,1630885931.0089905,1630885951.0179899,100.62124633789062
41,42,1,1630885951.0206301,1630885964.5504246,116.65177154541016
42,43,1,1630885964.5523238,1630885964.8237047,100.6381607055664
43,44,1,1630885964.8238776,1630885981.038774,100.61875915527344
44,45,1,1630885981.0410905,1630886000.967055,173.32998657226562
45,46,2,1630886000.970772,1630886001.2880566,98.78572082519531
46,47,2,1630886001.2885177,1630886015.4605746,143.99066162109375
47,48,2,1630886015.4627461,1630886015.7771323,148.6345672607422
48,49,2,1630886015.777553,1630886016.0905929,100.62066650390625
49,50,2,1630886016.0909896,1630886016.4088435,98.45343017578125
50,51,2,1630886016.4092708,1630886016.7227304,98.83064270019531
51,52,2,1630886016.7231216,1630886017.0724857,113.44225311279297
52,53,2,1630886017.0729377,1630886017.3385167,121.255859375
53,54,2,1630886017.3389075,1630886017.6566749,98.76055145263672
54,55,2,1630886017.6570828,1630886017.9635258,98.25741577148438
55,56,2,1630886017.9639227,1630886018.2750914,99.1949691772461
56,57,2,1630886018.2754872,1630886018.5763185,98.24696350097656
57,58,2,1630886018.5767202,1630886018.8861463,98.33589172363281
58,59,2,1630886018.8865504,1630886019.1831932,97.69719696044922
59,60,2,1630886019.1835914,1630886019.4827452,99.0617904663086
60,61,2,1630886019.483136,1630886019.7778375,98.55592346191406
61,62,2,1630886019.778227,1630886020.0761244,97.6688003540039
62,63,2,1630886020.0766106,1630886021.9056404,143.30242919921875
63,64,2,1630886021.9061716,1630886022.1950676,97.64324188232422
64,65,2,1630886022.1954656,1630886022.4842563,97.75287628173828
65,66,2,1630886022.4846537,1630886022.772096,151.9003448486328
66,67,2,1630886022.772501,1630886023.0608253,98.15796661376953
67,68,2,1630886023.061214,1630886023.3483562,98.29627990722656
68,69,2,1630886023.3487504,1630886023.592527,150.08743286132812
69,70,2,1630886023.592921,1630886023.9312105,98.38932800292969
70,71,2,1630886023.9316092,1630886024.2185054,98.02471160888672
71,72,2,1630886024.2188938,1630886024.5119522,97.82534790039062
72,73,2,1630886024.5123427,1630886024.7989507,97.53588104248047
73,74,2,1630886024.7993443,1630886025.0849988,97.38684844970703
74,75,2,1630886025.085386,1630886025.3671103,99.86647033691406
75,76,2,1630886025.3675103,1630886025.653475,98.60131072998047
76,77,2,1630886025.6538644,1630886025.9383743,97.46675109863281
77,78,2,1630886025.9387698,1630886026.2237637,97.60519409179688
78,79,2,1630886026.224524,1630886027.2298098,139.78533935546875
79,80,2,1630886027.2302701,1630886027.5147223,97.77477264404297
80,81,2,1630886027.5151079,1630886027.7997816,99.23885345458984
81,82,2,1630886027.800167,1630886028.0861883,152.68601989746094
82,83,2,1630886028.0865812,1630886028.3716607,97.45586395263672
83,84,2,1630886028.3720498,1630886028.6566935,97.56356048583984
84,85,2,1630886028.6570787,1630886028.8975801,157.7394561767578
85,86,2,1630886028.8979652,1630886029.237686,99.96841430664062
86,87,2,1630886029.2380803,1630886029.5232947,97.48787689208984
87,88,2,1630886029.523696,1630886029.8128507,97.71408081054688
88,89,2,1630886029.8132389,1630886030.097844,97.60059356689453
89,90,2,1630886030.0982294,1630886030.3868127,97.90801239013672
90,91,3,1630886030.3872092,1630886030.6721528,97.5340805053711
91,92,3,1630886030.672564,1630886030.9655173,98.9736328125
92,93,3,1630886030.965907,1630886031.248025,99.0084457397461
93,94,3,1630886031.2484148,1630886031.5343707,98.74440002441406
94,95,3,1630886031.5347645,1630886031.819173,97.56016540527344
95,96,3,1630886031.819567,1630886032.1043754,97.67152404785156
96,97,3,1630886032.1051204,1630886032.3913913,97.55909729003906
97,98,3,1630886032.391782,1630886034.2185643,145.99557495117188
98,99,3,1630886034.2190974,1630886034.5059752,97.46967315673828
99,100,3,1630886034.5063639,1630886034.792943,98.71256256103516
100,101,3,1630886034.7933276,1630886035.079728,97.43824005126953
101,102,3,1630886035.0801213,1630886035.3662162,97.38951110839844
102,103,3,1630886035.3666155,1630886035.6525712,97.4406509399414
103,104,3,1630886035.6529658,1630886035.894658,164.70840454101562
104,105,3,1630886035.8950384,1630886036.1867867,97.55130004882812
105,106,3,1630886036.1871843,1630886036.4718423,97.5608901977539
106,107,3,1630886036.472227,1630886036.759271,97.65771484375
107,108,3,1630886036.7596707,1630886037.0458424,97.36268615722656
108,109,3,1630886037.0462592,1630886037.336352,98.73560333251953
109,110,3,1630886037.336752,1630886037.623083,97.81062316894531
110,111,3,1630886037.6234756,1630886037.9087603,97.9250717163086
111,112,3,1630886037.9091508,1630886038.1943326,97.55086517333984
112,113,3,1630886038.1947265,1630886038.4807422,97.4637680053711
113,114,3,1630886038.4811308,1630886038.7670615,97.61453247070312
114,115,3,1630886038.7674928,1630886040.6967306,139.25584411621094
115,116,3,1630886040.6973577,1630886040.986977,97.66259765625
116,117,3,1630886040.9878874,1630886041.2751951,101.79359436035156
117,118,3,1630886041.2756002,1630886041.561824,97.44520568847656
118,119,3,1630886041.562223,1630886041.8479762,97.58948516845703
119,120,3,1630886041.8483648,1630886042.1342826,97.41143798828125
120,121,3,1630886042.1346798,1630886042.3758345,138.57928466796875
121,122,3,1630886042.3762171,1630886042.6618233,97.54346466064453
122,123,3,1630886042.6622157,1630886042.9465635,97.69412231445312
123,124,3,1630886042.9469507,1630886043.2342026,97.84031677246094
124,125,3,1630886043.2345974,1630886043.5199125,97.55331420898438
125,126,3,1630886043.520299,1630886043.8068624,97.65137481689453
126,127,3,1630886043.8072634,1630886044.092687,97.58120727539062
127,128,3,1630886044.0930803,1630886044.3821182,99.24185180664062
128,129,3,1630886044.3825192,1630886044.6714976,97.46991729736328
129,130,3,1630886044.6719153,1630886044.9649575,97.93810272216797
130,131,3,1630886044.9653988,1630886045.2511227,97.69723510742188
131,132,3,1630886045.2515254,1630886045.5384014,97.51007080078125
132,133,3,1630886045.5393584,1630886045.8248677,97.75254821777344
133,134,3,1630886045.8252633,1630886047.6599362,155.97059631347656
134,135,3,1630886047.6605504,1630886047.948828,97.46158599853516
135,136,4,1630886047.9492345,1630886048.2409291,97.12940979003906
136,137,4,1630886048.2413177,1630886048.5286167,103.90556335449219
137,138,4,1630886048.5290143,1630886048.8146517,141.8465576171875
138,139,4,1630886048.815045,1630886049.1010447,97.853271484375
139,140,4,1630886049.1014414,1630886049.3446589,97.385009765625
140,141,4,1630886049.3450487,1630886049.6317174,96.62812805175781
141,142,4,1630886049.632116,1630886049.920225,115.41862487792969
142,143,4,1630886049.9206321,1630886050.207802,97.84156036376953
143,144,4,1630886050.2082002,1630886050.4967563,102.43426513671875
144,145,4,1630886050.4971552,1630886050.7840447,103.03335571289062
145,146,4,1630886050.7844408,1630886051.0718613,98.98600006103516
146,147,4,1630886051.0722587,1630886051.359366,99.86188507080078
147,148,4,1630886051.3597698,1630886051.6479855,97.57881164550781
148,149,4,1630886051.6483839,1630886051.9352279,97.63753509521484
149,150,4,1630886051.935687,1630886056.455813,100.62249755859375
150,151,4,1630886056.4567103,1630886056.746272,139.54132080078125
151,152,4,1630886056.7466772,1630886057.0356805,204.3804931640625
152,153,4,1630886057.0360763,1630886057.3277402,120.54362487792969
153,154,4,1630886057.328136,1630886057.618323,142.80673217773438
154,155,4,1630886057.6187284,1630886057.908187,142.08529663085938
155,156,4,1630886057.9085934,1630886058.1544654,100.62240600585938
156,157,4,1630886058.1548655,1630886058.4443095,116.13957214355469
157,158,4,1630886058.4447129,1630886058.735372,110.41236877441406
158,159,4,1630886058.7357755,1630886059.0246506,132.28050231933594
159,160,4,1630886059.0250514,1630886059.314682,177.27191162109375
160,161,4,1630886059.3150814,1630886059.6057053,100.60643005371094
161,162,4,1630886059.6061087,1630886059.8954072,176.77737426757812
162,163,4,1630886059.8958097,1630886060.1878545,129.05490112304688
163,164,4,1630886060.1882505,1630886060.477907,124.87673950195312
164,165,4,1630886060.478304,1630886060.7682586,165.4196014404297
165,166,4,1630886060.7686605,1630886061.0582833,144.68275451660156
166,167,4,1630886061.058687,1630886061.351079,111.81163024902344
167,168,4,1630886061.3519485,1630886061.6402626,97.41380310058594
168,169,4,1630886061.640668,1630886064.7031465,97.43511199951172
169,170,4,1630886064.7038996,1630886064.991765,136.03350830078125
170,171,4,1630886064.9921904,1630886065.280344,124.30461883544922
171,172,4,1630886065.2807488,1630886065.567349,106.39917755126953
172,173,4,1630886065.5677533,1630886065.8546236,100.89759826660156
173,174,4,1630886065.8550222,1630886066.1417892,137.22784423828125
174,175,4,1630886066.1421874,1630886066.3853586,97.36636352539062
175,176,4,1630886066.385757,1630886066.6726544,101.25910186767578
176,177,4,1630886066.6730502,1630886066.9610302,104.85489654541016
177,178,4,1630886066.9614265,1630886067.2500286,100.20997619628906
178,179,4,1630886067.2504318,1630886067.5385315,116.3160171508789
179,180,4,1630886067.5389295,1630886067.827824,112.12779235839844
180,181,5,1630886067.828227,1630886068.1172667,98.899169921875
181,182,5,1630886068.1176593,1630886068.4063582,99.59349822998047
182,183,5,1630886068.4067628,1630886068.6947224,148.7041473388672
183,184,5,1630886068.6951182,1630886068.9823327,99.63359832763672
184,185,5,1630886068.9827363,1630886069.2716143,121.86602783203125
