,model,learning_rate,dropout,n_hidden,hidden_1,hidden_2,hidden_3,hidden_4,hidden_5
0,lstm,1e-05,0.1,2,36,72,45,46,6
1,lstm,0.01,0.2,2,21,23,91,20,77
2,lstm,0.1,0.2,2,11,17,15,13,87
3,mlp,0.0001,0.5,4,26,75,30,100,7
4,lstm,1e-05,0.0,4,4,70,93,69,11
5,lstm,0.01,0.7,2,90,94,69,12,91
6,lstm,0.001,0.1,1,51,17,60,54,42
7,mlp,0.0001,0.8,2,46,21,68,25,52
8,lstm,0.0001,0.6,3,90,25,37,87,82
9,lstm,0.0001,0.7,1,23,25,92,83,10
10,lstm,0.1,0.1,4,12,17,67,82,93
11,mlp,1e-05,0.7,4,40,84,49,68,21
12,lstm,0.1,0.5,5,35,88,46,70,64
13,lstm,0.01,0.4,5,18,34,98,7,45
14,lstm,0.0001,0.1,3,95,65,30,87,73
15,mlp,0.0001,0.1,1,58,14,62,33,93
16,mlp,0.1,0.5,1,62,65,99,33,49
17,lstm,0.0001,0.1,1,65,65,12,39,35
18,mlp,0.1,0.1,4,21,52,13,33,24
19,lstm,0.01,0.7,3,19,80,38,6,93
20,lstm,0.0001,0.2,1,51,23,44,6,17
21,lstm,0.0001,0.4,2,11,7,11,12,34
22,mlp,1e-05,0.2,2,37,40,36,73,38
23,mlp,1e-05,0.2,4,96,95,16,24,51
24,mlp,0.0001,0.0,5,39,32,52,15,87
25,mlp,0.1,0.3,3,97,16,54,46,80
26,lstm,0.001,0.5,4,83,67,16,75,95
27,mlp,0.1,0.7,2,15,74,45,9,68
28,mlp,0.1,0.9,5,11,7,44,53,4
29,lstm,0.0001,0.6,5,99,91,36,43,69
30,mlp,0.1,0.4,2,33,42,11,37,83
31,mlp,0.0001,0.6,5,88,41,42,78,90
32,mlp,0.001,0.0,5,98,58,36,91,50
33,mlp,1e-05,0.4,1,60,55,33,84,17
34,mlp,0.001,0.3,4,57,30,46,67,11
35,lstm,1e-05,0.7,1,96,98,60,50,24
36,mlp,1e-05,0.5,3,19,92,33,35,98
37,lstm,0.001,0.6,3,68,9,62,37,4
38,mlp,1e-05,0.6,3,43,52,43,29,97
39,lstm,0.01,0.5,5,73,12,35,38,5
40,mlp,0.0001,0.6,1,63,80,86,69,16
41,lstm,0.1,0.4,3,43,70,39,48,84
42,lstm,0.01,0.9,1,33,32,67,19,67
43,lstm,0.0001,0.5,2,36,68,10,14,95
44,mlp,0.001,0.3,2,70,34,25,24,74
45,mlp,0.0001,0.1,5,83,84,6,73,87
