,iteration,start_time,end_time,val_mse
0,1,1630887458.317068,1630887473.578352,1845.88330078125
1,2,1630887473.5792809,1630887482.4334254,1781.3411865234375
2,3,1630887482.4338763,1630887487.2402675,2038.486328125
3,4,1630887487.2405593,1630887487.9347668,1819.9239501953125
4,5,1630887487.9348788,1630887489.9449036,1847.703369140625
5,6,1630887489.9451463,1630887527.5421588,1781.3153076171875
6,7,1630887527.544853,1630887546.8815618,1834.7720947265625
7,8,1630887546.882636,1630887547.3240724,1838.7950439453125
8,9,1630887547.3241706,1630887585.683474,1841.5823974609375
9,10,1630887585.686393,1630887594.486791,1839.029296875
10,11,1630887594.4872675,1630887599.9552977,2048.38720703125
11,12,1630887599.9555945,1630887600.6128957,1847.579345703125
12,13,1630887600.6129985,1630887619.6234455,2048.343505859375
13,14,1630887619.62444,1630887627.8379564,1811.5091552734375
14,15,1630887627.8383565,1630887672.2935581,1844.0020751953125
15,16,1630887672.2966518,1630887672.659849,1834.004150390625
16,17,1630887672.6599562,1630887673.0306258,2122.276123046875
17,18,1630887673.030723,1630887697.734049,1859.4493408203125
18,19,1630887697.7356253,1630887698.3584363,2042.12939453125
19,20,1630887698.3585472,1630887706.5978146,1785.2947998046875
20,21,1630887706.5983284,1630887725.6010447,1838.9140625
21,22,1630887725.602051,1630887730.2783706,1856.3031005859375
22,23,1630887730.2786493,1630887730.707867,1845.7989501953125
23,24,1630887730.707965,1630887731.3530583,1848.26513671875
24,25,1630887731.353153,1630887732.0330846,1823.9637451171875
25,26,1630887732.0332725,1630887732.58009,2039.068115234375
26,27,1630887732.5801923,1630887769.209305,1816.12841796875
27,28,1630887769.2114081,1630887769.6553383,2113.633056640625
28,29,1630887769.6554396,1630887770.3061523,1866.15673828125
29,30,1630887770.3062587,1630887815.2495577,1843.5008544921875
30,31,1630887815.2525957,1630887815.695959,2416.515380859375
31,32,1630887815.696057,1630887816.4220104,1806.7852783203125
32,33,1630887816.4221196,1630887817.1487038,1782.368408203125
33,34,1630887817.1488016,1630887817.504829,1849.1920166015625
34,35,1630887817.5049214,1630887818.1236358,1815.7152099609375
35,36,1630887818.1237311,1630887853.6205742,1848.8438720703125
36,37,1630887853.622853,1630887854.1493351,1849.2484130859375
37,38,1630887854.1494412,1630887882.4777777,1825.462158203125
38,39,1630887882.479354,1630887882.999998,1854.272216796875
39,40,1630887883.0001767,1630887919.106778,1813.1185302734375
40,41,1630887919.1087646,1630887919.4695587,1824.1590576171875
41,42,1630887919.4696622,1630887938.960732,2047.27294921875
42,43,1630887938.9616594,1630887951.2538562,1789.0140380859375
43,44,1630887951.254691,1630887965.9840078,1848.46728515625
44,45,1630887965.984815,1630887966.4292405,1779.1724853515625
45,46,1630887966.4293501,1630887967.1724546,1810.9765625
46,47,1630887967.1725686,1630887999.4754555,1786.1641845703125
47,48,1630887999.4775286,1630888000.1556299,1852.3740234375
48,49,1630888000.1557412,1630888000.9010355,1826.55517578125
49,50,1630888000.9011388,1630888026.6983726,1820.45947265625
50,51,1630888026.6996896,1630888027.3788373,1848.03564453125
51,52,1630888027.378947,1630888027.938528,2048.352783203125
52,53,1630888027.9386258,1630888055.4553735,1781.3463134765625
53,54,1630888055.4568264,1630888056.0885289,1844.6683349609375
54,55,1630888056.0886376,1630888056.7450497,1942.4376220703125
55,56,1630888056.7451534,1630888104.2704463,2048.392333984375
56,57,1630888104.2736359,1630888147.530379,1847.3681640625
57,58,1630888147.5334687,1630888148.0568159,1845.239013671875
58,59,1630888148.0569215,1630888148.7628648,1834.453125
59,60,1630888148.7629707,1630888149.2209828,2048.34228515625
60,61,1630888149.2210815,1630888149.676405,2479.355224609375
61,62,1630888149.6765046,1630888150.1869357,1871.2440185546875
62,63,1630888150.187031,1630888180.9837105,1809.9180908203125
63,64,1630888180.9859347,1630888181.3646648,2208.32568359375
64,65,1630888181.3647678,1630888197.2994611,1799.5040283203125
65,66,1630888197.3003983,1630888198.05504,1851.0841064453125
66,67,1630888198.0551505,1630888230.3399167,1787.510498046875
67,68,1630888230.3421912,1630888241.5759003,1781.529541015625
68,69,1630888241.576455,1630888249.9235437,1843.7822265625
69,70,1630888249.9240558,1630888255.446752,1850.0902099609375
70,71,1630888255.4470558,1630888264.275607,2040.1915283203125
71,72,1630888264.2760565,1630888264.8528805,1850.3509521484375
72,73,1630888264.8529878,1630888265.2949696,1845.2158203125
73,74,1630888265.2950687,1630888276.1143293,1810.954345703125
74,75,1630888276.114938,1630888311.7214408,1848.3291015625
75,76,1630888311.7237945,1630888312.40849,1847.0714111328125
76,77,1630888312.4086058,1630888338.553586,1781.3394775390625
77,78,1630888338.555114,1630888362.4829822,1850.1842041015625
78,79,1630888362.4846106,1630888363.121799,1848.8111572265625
79,80,1630888363.1219118,1630888363.5629766,1771.6966552734375
80,81,1630888363.5630765,1630888364.216249,1786.2552490234375
81,82,1630888364.2164319,1630888364.9157577,1849.5584716796875
82,83,1630888364.9158597,1630888392.5739856,1842.4588623046875
83,84,1630888392.5751874,1630888393.1825817,1814.6534423828125
84,85,1630888393.1826875,1630888393.7515025,2041.27294921875
85,86,1630888393.751602,1630888394.3478036,1808.0706787109375
86,87,1630888394.347982,1630888409.6209202,1842.488037109375
87,88,1630888409.6217606,1630888410.2580407,1851.829833984375
88,89,1630888410.258147,1630888441.699617,1843.4827880859375
89,90,1630888441.7009828,1630888445.3561547,1843.3076171875
90,91,1630888445.3563917,1630888445.9684298,1801.468994140625
91,92,1630888445.9685397,1630888446.6603036,1843.4859619140625
92,93,1630888446.6604114,1630888488.5159795,1849.7496337890625
93,94,1630888488.518507,1630888491.4224281,2048.373046875
94,95,1630888491.4226372,1630888529.5882223,1786.150146484375
