,model,learning_rate,dropout,n_hidden,hidden_1,hidden_2,hidden_3,hidden_4,hidden_5
0,mlp,0.1,0.8,3,89,16,35,58,73
1,lstm,0.01,0.0,2,87,53,56,94,90
2,lstm,0.1,0.1,3,74,76,82,81,99
3,mlp,0.01,0.1,2,27,57,92,74,70
4,lstm,0.001,0.1,1,6,84,64,56,68
5,mlp,0.1,0.8,3,47,10,95,81,17
6,mlp,1e-05,0.7,4,91,55,62,21,87
7,mlp,0.001,0.4,1,53,84,39,87,81
8,mlp,0.1,0.3,1,65,86,40,79,4
9,lstm,1e-05,0.0,1,43,6,68,44,22
10,mlp,1e-05,0.8,1,10,86,59,27,30
11,mlp,0.0001,0.6,3,56,16,69,4,30
12,lstm,0.0001,0.6,1,49,39,20,76,4
13,lstm,0.01,0.3,2,76,47,56,42,75
14,mlp,0.1,0.8,2,28,36,12,94,27
15,lstm,0.1,0.6,2,45,97,29,79,35
16,mlp,0.001,0.7,1,24,34,80,56,31
17,lstm,0.0001,0.4,4,40,18,43,17,52
18,lstm,1e-05,0.6,2,41,95,73,41,28
19,lstm,1e-05,0.5,3,82,20,70,60,20
20,lstm,0.01,0.6,3,69,21,16,64,15
21,mlp,0.1,0.0,4,48,90,84,87,58
22,lstm,0.01,0.3,5,20,24,32,11,83
23,mlp,0.1,0.2,4,99,42,38,81,27
24,lstm,0.01,0.1,5,85,51,17,93,63
25,lstm,0.01,0.5,1,21,62,99,70,45
26,lstm,1e-05,0.3,1,40,93,30,68,67
27,mlp,0.01,0.3,5,20,56,64,43,69
28,lstm,0.1,0.4,1,73,38,35,33,18
29,lstm,1e-05,0.0,4,89,45,67,9,74
30,mlp,1e-05,0.3,4,99,13,93,22,25
31,lstm,0.001,0.4,3,7,88,98,91,60
32,mlp,0.001,0.4,2,30,12,4,4,69
33,mlp,1e-05,0.0,3,50,17,37,97,73
34,mlp,0.0001,0.3,3,17,97,46,52,60
35,lstm,0.01,0.1,1,92,40,65,84,47
36,lstm,0.1,0.3,2,10,54,21,66,90
37,lstm,0.01,0.5,5,37,92,53,6,80
38,lstm,0.01,0.5,4,51,54,100,18,17
39,lstm,1e-05,0.1,1,27,37,96,43,40
40,mlp,0.01,0.0,5,54,16,42,32,88
41,mlp,0.01,0.1,5,12,98,27,89,81
42,lstm,0.001,0.8,2,28,14,31,28,80
43,lstm,0.1,0.0,3,69,42,53,35,13
44,mlp,0.01,0.4,5,61,32,89,93,30
45,lstm,0.001,0.7,4,41,21,36,53,94
46,lstm,1e-05,0.2,5,35,93,9,56,6
47,mlp,0.1,0.3,3,64,14,94,15,98
48,lstm,0.001,0.7,3,83,17,52,86,50
49,mlp,0.0001,0.2,5,61,68,73,97,31
50,mlp,0.001,0.3,5,44,30,93,9,75
51,mlp,0.1,0.1,4,95,56,43,87,44
52,lstm,1e-05,0.1,4,92,40,27,68,46
53,mlp,0.01,0.5,5,87,25,58,45,34
54,mlp,1e-05,0.8,2,66,97,39,23,21
55,lstm,0.01,0.7,4,94,61,32,50,36
56,mlp,0.001,0.1,5,44,61,71,84,25
57,lstm,0.1,0.6,1,85,48,37,66,85
58,mlp,0.01,0.3,3,72,35,11,21,24
59,lstm,0.1,0.4,5,30,95,46,44,27
60,mlp,1e-05,0.7,3,91,26,79,13,97
61,mlp,0.01,0.3,4,11,81,78,60,94
62,lstm,0.001,0.7,1,15,87,89,92,39
63,lstm,0.001,0.3,5,90,7,34,46,9
64,lstm,0.01,0.8,1,14,85,9,72,88
65,mlp,1e-05,0.3,2,56,19,69,51,28
66,lstm,0.0001,0.0,4,29,12,7,72,75
67,lstm,0.1,0.9,5,92,4,68,27,38
68,lstm,0.1,0.1,1,32,8,94,28,90
69,mlp,1e-05,0.8,5,49,8,82,65,31
70,lstm,0.1,0.5,1,71,71,4,24,23
71,lstm,0.1,0.1,1,95,53,95,9,90
72,mlp,0.01,0.6,5,38,34,74,99,80
73,mlp,1e-05,0.4,2,14,17,5,29,35
74,lstm,0.01,0.2,4,68,35,54,10,98
75,mlp,0.001,0.4,4,51,14,40,81,72
76,mlp,0.1,0.9,1,21,68,61,36,23
77,mlp,0.01,0.9,4,58,92,67,79,36
78,lstm,1e-05,0.5,4,17,90,45,65,100
79,lstm,0.0001,0.1,4,81,80,35,26,29
80,mlp,1e-05,0.8,3,100,72,81,19,55
81,mlp,0.001,0.6,2,81,33,28,54,85
82,lstm,1e-05,0.1,1,100,98,95,69,29
83,lstm,0.001,0.9,4,37,91,7,42,20
84,lstm,0.0001,0.7,4,82,53,14,21,87
85,lstm,0.1,0.7,1,38,42,45,28,22
86,lstm,0.1,0.1,3,99,40,60,54,22
87,lstm,1e-05,0.8,3,8,4,55,38,90
88,mlp,0.001,0.0,5,97,67,57,19,4
89,lstm,0.001,0.9,3,71,66,6,46,34
90,mlp,1e-05,0.3,1,70,60,75,53,5
91,lstm,1e-05,0.4,2,51,23,52,27,87
92,lstm,0.1,0.0,3,75,92,55,43,56
93,lstm,0.0001,0.6,4,64,74,50,94,31
94,lstm,0.1,0.7,5,21,6,97,80,67
95,mlp,0.1,0.5,3,65,60,47,22,58
96,lstm,0.1,0.4,4,91,53,78,99,21
97,mlp,1e-05,0.8,4,31,10,7,82,6
98,mlp,1e-05,0.3,5,14,98,94,17,70
99,mlp,0.0001,0.3,3,69,45,83,96,95
100,mlp,0.1,0.2,4,84,85,30,65,84
101,mlp,0.01,0.9,3,85,68,51,31,29
102,mlp,0.001,0.4,3,20,97,55,81,89
103,mlp,0.1,0.0,4,42,22,80,88,28
104,lstm,0.001,0.2,3,54,94,19,85,37
105,lstm,0.0001,0.2,1,92,58,48,84,13
106,lstm,0.01,0.8,1,69,40,88,71,86
107,mlp,1e-05,0.5,1,49,62,88,17,47
108,lstm,0.1,0.6,4,9,31,20,71,97
109,lstm,0.1,0.2,2,88,89,5,86,8
110,lstm,0.01,0.8,1,31,45,24,90,43
111,lstm,0.1,0.5,4,64,53,77,23,18
112,lstm,0.0001,0.4,4,82,22,93,91,99
113,lstm,0.1,0.9,3,26,44,25,45,91
114,lstm,0.01,0.5,2,67,13,55,63,20
115,lstm,0.1,0.2,5,65,12,70,12,57
116,lstm,1e-05,0.7,4,76,17,73,63,81
117,lstm,0.01,0.9,3,61,63,28,88,17
118,mlp,1e-05,0.2,3,96,84,84,83,74
119,lstm,0.01,0.9,2,79,39,31,93,38
120,mlp,0.001,0.8,5,56,96,51,61,83
121,mlp,0.0001,0.3,5,45,65,66,57,32
122,lstm,0.1,0.9,3,85,13,92,26,58
123,mlp,0.0001,0.0,3,10,74,38,47,27
124,mlp,0.01,0.9,3,22,95,13,76,29
125,lstm,0.0001,0.9,2,34,88,29,49,46
126,lstm,0.001,0.2,5,35,58,47,80,27
127,mlp,0.01,0.2,5,78,44,23,34,63
128,lstm,0.01,0.6,2,18,7,38,29,36
129,lstm,1e-05,0.8,1,40,11,45,93,13
130,lstm,0.1,0.8,4,93,4,83,47,60
131,mlp,0.01,0.8,5,39,81,57,45,73
132,lstm,0.0001,0.1,4,18,30,21,35,33
133,mlp,0.1,0.2,4,57,60,68,91,7
134,lstm,0.001,0.0,3,65,91,28,47,59
135,mlp,0.01,0.3,5,15,76,30,100,7
136,mlp,1e-05,0.8,4,66,78,22,99,94
137,lstm,0.0001,0.3,3,4,76,5,57,35
138,lstm,0.001,0.0,4,72,59,74,73,22
139,lstm,0.1,0.1,2,24,91,51,54,26
140,lstm,0.001,0.5,4,29,93,33,16,87
141,lstm,1e-05,0.3,2,22,56,11,70,81
142,lstm,1e-05,0.3,4,9,18,32,62,21
143,mlp,0.01,0.8,3,72,81,7,86,39
144,mlp,0.1,0.6,3,60,61,26,74,64
145,mlp,0.1,0.8,4,13,17,63,42,96
146,mlp,1e-05,0.8,2,98,84,11,11,22
147,mlp,0.001,0.9,5,40,57,54,51,64
148,lstm,0.001,0.6,5,26,72,86,78,38
149,lstm,1e-05,0.8,5,74,58,89,18,20
150,lstm,0.01,0.5,1,30,59,30,84,98
151,lstm,0.0001,0.3,5,11,5,69,59,93
152,mlp,0.001,0.7,4,27,62,56,98,25
153,lstm,0.1,0.7,3,72,72,25,93,28
154,mlp,0.0001,0.4,1,65,8,91,28,89
155,mlp,0.001,0.2,4,55,81,64,11,98
156,mlp,1e-05,0.0,2,88,74,69,51,54
157,mlp,1e-05,0.7,3,92,45,23,85,47
158,lstm,0.01,0.1,1,44,7,12,74,95
159,lstm,0.0001,0.5,1,52,58,18,92,87
160,lstm,0.001,0.5,3,91,51,97,14,91
161,lstm,0.1,0.8,4,62,79,73,88,11
162,mlp,0.01,0.8,1,27,14,73,34,44
163,mlp,0.01,0.5,2,83,41,45,72,32
164,mlp,1e-05,0.7,3,21,10,16,58,49
165,lstm,0.001,0.8,3,41,57,76,35,51
166,mlp,0.1,0.7,4,83,75,99,62,78
167,lstm,0.001,0.4,4,19,59,21,30,80
168,lstm,0.0001,0.1,3,98,64,15,14,66
169,lstm,0.1,0.5,2,78,57,15,88,18
170,mlp,1e-05,0.5,1,34,85,52,70,47
171,lstm,1e-05,0.5,1,12,36,12,11,27
172,lstm,0.001,0.2,3,70,73,93,67,60
173,lstm,1e-05,0.9,5,84,56,76,60,9
174,lstm,1e-05,0.4,1,71,82,10,21,76
175,mlp,0.01,0.8,1,34,35,65,98,4
176,lstm,0.0001,0.7,4,55,48,33,15,86
177,mlp,1e-05,0.3,5,30,95,50,85,83
178,mlp,1e-05,0.1,4,86,55,81,89,38
179,lstm,0.0001,0.7,1,5,8,10,36,70
180,mlp,1e-05,0.3,5,66,19,87,28,72
181,mlp,1e-05,0.3,2,100,67,33,30,78
182,mlp,1e-05,0.0,5,98,88,99,81,50
183,lstm,0.0001,0.6,2,16,79,70,44,46
184,mlp,0.01,0.0,2,96,98,39,18,52
185,mlp,0.01,0.8,5,46,63,88,58,56
186,lstm,0.01,0.8,4,68,91,63,20,8
187,mlp,0.01,0.8,2,95,78,11,100,37
188,mlp,1e-05,0.9,3,6,38,87,51,68
189,mlp,1e-05,0.8,3,70,46,71,92,30
190,mlp,1e-05,0.0,2,87,17,78,22,84
191,lstm,0.001,0.0,5,19,75,33,100,59
192,lstm,1e-05,0.6,5,98,99,72,26,12
193,mlp,0.001,0.4,5,11,50,94,100,41
194,lstm,0.001,0.6,4,79,35,61,96,95
195,lstm,0.01,0.9,4,72,14,88,43,96
196,mlp,0.01,0.8,2,55,70,90,95,95
197,mlp,0.01,0.1,3,82,31,14,10,59
198,mlp,0.01,0.5,4,10,93,7,25,39
199,lstm,0.1,0.6,1,32,17,38,35,17
200,mlp,0.01,0.8,1,44,47,73,9,83
201,mlp,1e-05,0.7,4,98,90,20,29,4
202,lstm,0.01,0.0,1,28,58,94,91,79
203,mlp,1e-05,0.6,1,28,76,77,79,90
204,lstm,1e-05,0.7,4,60,52,48,72,57
205,lstm,1e-05,0.1,3,54,36,100,79,92
206,lstm,0.0001,0.0,2,90,9,5,42,85
207,mlp,0.0001,0.9,2,98,97,73,95,70
208,lstm,0.001,0.6,4,78,31,74,97,39
209,mlp,0.001,0.3,2,90,74,21,99,45
210,mlp,0.1,0.2,2,29,51,76,23,31
211,mlp,0.01,0.4,4,56,58,22,85,43
212,lstm,0.001,0.2,2,28,9,27,20,39
213,lstm,0.1,0.5,3,5,36,77,23,70
214,mlp,0.001,0.9,4,7,33,68,70,93
215,lstm,0.01,0.5,5,83,32,30,73,12
216,mlp,0.1,0.8,2,80,51,55,69,78
217,lstm,1e-05,0.5,2,30,4,21,13,53
218,lstm,0.001,0.1,5,81,48,98,86,94
219,lstm,0.01,0.0,4,92,81,66,19,51
220,mlp,0.0001,0.0,2,6,76,20,50,82
221,mlp,0.1,0.3,3,19,74,95,99,23
222,lstm,1e-05,0.7,4,42,73,39,99,21
223,mlp,1e-05,0.2,3,60,6,63,98,42
224,mlp,1e-05,0.1,3,9,23,14,78,71
