,function_evaluations,iteration,start_time,end_time,val_mse
0,1,1,1630896550.8191144,1630896551.791951,2370.062744140625
1,2,2,1630896551.7923026,1630896614.4008164,2294.992919921875
2,3,3,1630896614.4028091,1630896673.1941159,2379.618408203125
3,4,4,1630896673.1962159,1630896673.9626474,2587.8466796875
4,5,5,1630896673.9628584,1630896678.2684064,2280.891357421875
5,6,6,1630896678.268615,1630896679.166203,2369.513671875
6,7,7,1630896679.1663067,1630896680.2667904,2298.200439453125
7,8,8,1630896680.2668984,1630896680.8749504,2302.589599609375
8,9,9,1630896680.875045,1630896681.5005176,2603.48876953125
9,10,10,1630896681.5006142,1630896708.7644777,2298.447998046875
10,11,11,1630896708.7655137,1630896709.3577805,2293.23876953125
11,12,12,1630896709.3578846,1630896710.2363102,2278.77197265625
12,13,13,1630896710.236415,1630896740.8311481,2294.63427734375
13,14,14,1630896740.832448,1630896794.5351088,2296.289794921875
14,15,15,1630896794.5370233,1630896795.2828677,2646.8330078125
15,16,16,1630896795.282979,1630896826.3827925,2379.618408203125
16,17,17,1630896826.3839984,1630896826.9785113,2275.730712890625
17,18,18,1630896826.9786282,1630896856.583424,2291.937255859375
18,19,19,1630896856.5844684,1630896884.975547,2295.14990234375
19,20,20,1630896884.976596,1630896943.8190434,2300.342529296875
20,21,21,1630896943.8217375,1630896992.8625464,2314.791015625
21,22,22,1630896992.8645716,1630896994.0885172,2359.482177734375
22,23,23,1630896994.0886405,1630897008.8714354,2344.900146484375
23,24,24,1630897008.8719497,1630897010.0201952,2364.947509765625
24,25,25,1630897010.0203085,1630897084.2795491,2346.21630859375
25,26,26,1630897084.2824562,1630897097.351336,2276.7763671875
26,27,27,1630897097.3518436,1630897121.7517831,2298.53271484375
27,28,28,1630897121.7526207,1630897122.9207656,2304.937255859375
28,29,29,1630897122.9208794,1630897167.3970664,2379.87353515625
29,30,30,1630897167.398778,1630897238.6692598,2292.9658203125
30,31,31,1630897238.6721885,1630897239.7087517,2290.94677734375
31,32,32,1630897239.7088711,1630897245.0169284,2279.74462890625
32,33,33,1630897245.0171387,1630897245.7227175,2274.673583984375
33,34,34,1630897245.7228231,1630897246.5699348,2293.760986328125
34,35,35,1630897246.5701182,1630897247.451139,2279.650634765625
35,36,36,1630897247.4512362,1630897304.3902838,2278.437744140625
36,37,37,1630897304.392462,1630897311.562585,2379.61865234375
37,38,38,1630897311.5629358,1630897341.330466,2344.86474609375
38,39,39,1630897341.331468,1630897380.284285,2331.31103515625
39,40,40,1630897380.2855678,1630897396.9764545,2291.76513671875
40,41,41,1630897396.977054,1630897398.1228058,2277.944580078125
41,42,42,1630897398.1229165,1630897399.3127863,2502.580810546875
42,43,43,1630897399.312894,1630897418.3600242,2282.072265625
43,44,44,1630897418.360565,1630897471.1519623,2379.13427734375
44,45,45,1630897471.1535878,1630897472.3609428,2379.9140625
45,46,46,1630897472.3610573,1630897501.5072203,2276.064208984375
46,47,47,1630897501.5084102,1630897527.3343792,2297.252197265625
