,model,learning_rate,dropout,n_hidden,hidden_1,hidden_2,hidden_3,hidden_4,hidden_5
0,mlp,0.001,0.8,1,77,93,18,63,47
1,lstm,0.01,0.4,3,66,58,44,33,54
2,mlp,0.01,0.0,2,73,70,47,90,86
3,mlp,0.01,0.6,4,27,33,93,37,16
4,mlp,0.0001,0.1,2,48,86,79,66,31
5,lstm,0.0001,0.2,3,96,29,38,41,54
6,lstm,0.0001,0.3,3,54,20,78,60,14
7,lstm,0.001,0.2,4,83,85,70,29,73
8,mlp,0.001,0.3,3,96,61,29,83,12
9,lstm,0.01,0.4,4,79,37,97,51,72
10,mlp,0.001,0.3,5,25,56,97,91,55
11,mlp,0.1,0.9,2,17,87,30,76,82
12,mlp,1e-05,0.1,3,65,74,85,56,74
13,lstm,0.001,0.9,3,44,38,63,36,79
14,lstm,0.01,0.3,2,82,80,48,41,23
15,lstm,1e-05,0.6,2,70,16,52,32,94
16,mlp,0.0001,0.2,4,76,70,5,88,78
17,mlp,0.0001,0.2,2,85,72,32,86,38
18,lstm,0.1,0.2,2,88,67,48,94,22
19,mlp,0.1,0.4,3,14,14,7,70,21
20,mlp,0.1,0.6,1,71,32,51,25,79
21,lstm,0.1,0.1,5,80,47,38,59,12
22,mlp,1e-05,0.9,4,48,28,52,78,15
23,lstm,0.01,0.7,1,44,31,100,59,20
24,lstm,0.01,0.4,4,56,98,8,80,49
25,lstm,0.1,0.3,4,42,71,99,18,47
26,mlp,0.001,0.3,5,96,99,50,31,80
27,mlp,0.1,0.1,5,68,49,95,83,28
28,lstm,0.0001,0.1,2,21,17,71,68,77
29,lstm,0.01,0.7,2,62,40,93,98,65
30,lstm,0.1,0.7,4,26,45,25,5,27
31,lstm,0.0001,0.3,1,59,52,27,58,99
32,mlp,0.1,0.4,5,50,48,11,60,77
33,lstm,0.001,0.3,1,100,44,52,91,72
34,mlp,0.0001,0.6,3,79,23,90,70,19
35,mlp,0.001,0.2,2,82,36,6,45,20
36,lstm,0.01,0.9,1,6,27,88,35,43
37,lstm,0.01,0.1,5,11,63,93,41,12
38,mlp,0.1,0.3,1,81,20,31,9,63
39,mlp,0.001,0.4,5,44,59,93,98,84
40,lstm,0.001,0.0,5,89,93,59,49,46
41,mlp,0.0001,0.9,4,92,35,90,76,5
42,lstm,0.01,0.7,5,62,78,88,15,63
43,mlp,1e-05,0.8,2,50,91,41,39,77
44,lstm,0.1,0.7,4,8,88,82,5,35
45,lstm,0.1,0.5,3,49,45,24,55,90
46,mlp,0.1,0.8,4,26,20,43,29,65
47,lstm,0.01,0.4,4,90,76,52,71,26
48,mlp,0.001,0.9,4,94,30,86,29,31
49,lstm,0.0001,0.6,5,42,33,73,59,74
50,lstm,0.1,0.2,1,63,32,54,6,80
51,mlp,0.001,0.1,5,59,29,64,27,29
52,mlp,0.0001,0.0,3,6,95,90,63,60
53,mlp,0.1,0.6,4,25,97,38,92,71
54,lstm,0.001,0.8,1,36,71,95,38,41
55,lstm,0.0001,0.1,3,26,72,95,97,98
56,lstm,0.0001,0.8,2,85,37,80,81,58
57,lstm,0.01,0.7,4,35,86,36,91,10
58,mlp,0.0001,0.3,2,5,73,74,19,29
59,mlp,0.001,0.0,3,49,77,23,79,67
60,lstm,0.01,0.5,2,53,17,23,38,34
61,mlp,1e-05,0.5,5,21,55,62,69,82
62,lstm,0.001,0.3,4,66,96,96,73,30
63,lstm,0.01,0.9,3,91,21,10,10,59
64,mlp,0.001,0.9,3,58,85,97,30,62
65,mlp,0.01,0.8,2,46,54,12,67,70
66,mlp,0.01,0.2,2,69,13,73,52,38
67,lstm,0.01,0.2,1,67,78,94,24,21
68,lstm,1e-05,0.7,3,22,72,59,19,83
69,mlp,0.0001,0.7,5,27,43,39,24,42
70,mlp,0.1,0.1,4,27,8,26,39,66
71,mlp,0.0001,0.6,5,66,29,33,75,7
72,lstm,0.1,0.6,4,5,55,42,90,93
73,lstm,1e-05,0.4,5,33,92,52,14,51
74,mlp,0.001,0.6,4,7,48,87,74,22
75,lstm,0.01,0.8,2,54,25,29,74,97
76,lstm,0.001,0.8,1,33,84,49,75,92
77,lstm,1e-05,0.0,3,16,93,81,26,81
78,lstm,0.001,0.3,4,59,69,84,90,78
79,lstm,1e-05,0.3,4,34,44,20,92,99
80,lstm,1e-05,0.8,1,35,33,82,81,66
81,lstm,0.0001,0.6,4,91,8,85,4,25
82,mlp,0.01,0.5,2,78,46,17,71,4
83,lstm,0.01,0.4,5,48,69,57,5,73
84,lstm,1e-05,0.1,3,68,93,90,79,38
85,lstm,0.0001,0.9,3,74,95,78,38,82
86,lstm,1e-05,0.4,1,23,8,61,40,75
87,lstm,0.0001,0.4,2,88,65,89,82,43
88,lstm,0.01,0.7,1,77,56,98,4,23
89,lstm,1e-05,0.5,1,80,30,74,69,97
90,mlp,0.0001,0.2,2,43,98,53,61,47
91,mlp,0.01,0.4,1,30,72,74,8,71
92,lstm,0.0001,0.2,2,20,82,41,31,70
93,lstm,0.01,0.8,3,90,11,22,56,7
94,mlp,0.0001,0.6,5,7,74,40,27,10
95,mlp,0.001,0.7,2,38,84,65,22,48
96,lstm,0.0001,0.7,5,51,9,5,4,44
97,mlp,1e-05,0.8,2,15,10,95,70,85
98,lstm,0.1,0.0,4,18,8,81,92,78
