,model,learning_rate,dropout,n_hidden,hidden_1,hidden_2,hidden_3,hidden_4,hidden_5
0,lstm,0.1,0.8,5,34,71,89,90,12
1,lstm,0.1,0.8,5,34,71,89,90,12
2,lstm,0.1,0.8,5,34,71,55,90,12
3,mlp,1e-05,0.0,5,34,71,55,90,12
4,mlp,0.1,0.8,4,34,71,31,90,13
5,lstm,0.1,0.8,5,34,71,55,90,12
6,lstm,0.1,0.8,5,34,71,55,37,42
7,lstm,0.1,0.8,5,34,96,55,90,58
8,lstm,0.1,0.8,5,34,96,31,77,14
9,lstm,0.1,0.0,5,18,96,70,98,10
10,lstm,0.1,0.0,5,34,71,22,90,12
11,lstm,0.1,0.8,5,34,86,7,77,14
12,lstm,0.1,0.8,5,34,86,7,73,57
13,lstm,0.1,0.8,5,37,92,8,85,12
14,lstm,0.1,0.8,5,34,86,7,77,14
15,lstm,0.1,0.0,5,18,96,70,98,10
16,lstm,0.1,0.0,5,34,71,22,89,13
17,lstm,0.1,0.0,5,34,80,22,90,12
18,lstm,0.1,0.8,5,34,80,10,73,12
19,lstm,0.1,0.8,5,18,86,25,77,14
20,lstm,0.1,0.0,5,15,83,17,91,11
21,lstm,0.1,0.0,5,31,86,28,91,11
22,lstm,0.1,0.0,5,34,71,22,90,12
23,lstm,0.1,0.8,5,34,86,7,73,55
24,lstm,0.1,0.8,5,34,86,7,76,55
25,lstm,0.1,0.8,5,30,83,7,77,14
26,lstm,0.1,0.0,5,32,96,27,90,10
27,lstm,0.1,0.8,5,40,95,10,73,55
28,lstm,0.1,0.0,5,15,96,26,88,12
29,lstm,0.1,0.0,5,32,96,26,88,10
30,lstm,0.1,0.0,5,32,96,27,90,10
31,lstm,0.1,0.0,5,32,96,27,87,10
32,lstm,0.1,0.8,5,34,86,7,77,14
33,lstm,0.1,0.0,5,34,71,22,90,12
34,lstm,0.1,0.0,5,33,93,26,76,13
35,lstm,0.1,0.8,5,33,86,22,73,55
36,lstm,0.1,0.0,5,32,93,27,76,10
37,lstm,0.1,0.0,5,34,71,27,90,12
38,lstm,0.1,0.0,5,34,71,22,90,12
39,lstm,0.1,0.0,5,33,98,20,90,12
40,lstm,0.1,0.8,5,33,86,7,80,55
41,lstm,0.1,0.8,5,33,86,7,80,55
42,lstm,0.1,0.8,5,34,86,7,77,14
43,lstm,0.1,0.0,5,34,93,26,90,12
44,lstm,0.1,0.8,5,34,86,6,80,55
45,lstm,0.1,0.6,5,33,86,7,80,54
46,lstm,0.1,0.8,5,34,86,7,77,14
47,lstm,0.1,0.8,5,34,86,7,77,7
48,lstm,0.1,0.0,5,33,86,7,76,14
49,lstm,0.1,0.0,5,34,86,22,76,14
50,lstm,0.1,0.0,5,34,71,22,90,12
51,lstm,0.1,0.8,5,33,86,7,78,55
52,lstm,0.1,0.8,5,34,86,7,77,17
53,lstm,0.1,0.8,5,33,97,7,77,14
54,lstm,0.1,0.8,5,34,87,11,76,4
55,lstm,0.1,0.8,5,34,71,22,71,12
56,lstm,0.1,0.8,5,34,86,7,79,14
57,lstm,0.1,0.0,5,34,71,22,90,12
58,lstm,0.1,0.0,5,33,93,6,79,13
59,lstm,0.1,0.4,5,33,89,15,76,14
60,lstm,0.1,0.0,5,34,86,22,90,55
61,lstm,0.1,0.8,5,33,86,7,77,14
62,lstm,0.1,0.8,5,32,86,26,77,14
63,lstm,0.1,0.8,5,34,86,7,77,14
64,lstm,0.1,0.8,5,33,86,7,76,14
65,lstm,0.1,0.0,5,33,93,26,76,55
66,lstm,0.1,0.8,5,33,86,7,80,55
67,lstm,0.1,0.0,5,34,71,22,90,5
68,lstm,0.1,0.7,5,33,86,7,80,55
69,lstm,0.1,0.0,5,34,71,22,77,12
70,lstm,0.1,0.0,5,33,92,7,80,55
71,lstm,0.1,0.8,5,34,86,7,77,14
72,lstm,0.1,0.0,5,33,86,22,77,52
73,lstm,0.1,0.0,5,34,71,22,90,12
74,lstm,0.1,0.0,5,33,93,26,76,13
75,lstm,0.1,0.8,5,34,86,4,77,13
76,lstm,0.1,0.8,5,33,91,7,76,14
77,lstm,0.1,0.8,5,33,99,9,90,12
78,lstm,0.1,0.6,5,33,83,9,77,14
79,lstm,0.1,0.8,5,34,86,7,77,14
80,lstm,0.1,0.8,5,33,86,14,86,54
81,lstm,0.1,0.8,5,34,86,7,77,14
82,lstm,0.1,0.8,5,34,86,7,77,14
83,lstm,0.1,0.8,5,33,71,7,79,12
84,lstm,0.1,0.0,5,33,71,26,90,12
85,lstm,0.1,0.8,5,34,86,7,77,14
86,lstm,0.1,0.6,5,33,65,10,77,12
87,lstm,0.1,0.0,5,33,93,7,76,14
88,lstm,0.1,0.8,5,34,79,15,82,14
89,lstm,0.1,0.8,5,33,71,4,75,12
