,function_evaluations,iteration,start_time,end_time,val_mse
0,1,1,1631651125.752471,1631651126.1144025,1846.1578369140625
1,2,1,1631651126.114901,1631651126.1388175,1945.9537353515625
2,3,1,1631651126.138968,1631651126.8792474,1792.2828369140625
3,4,1,1631651126.8800662,1631651127.6805084,1833.602783203125
4,5,1,1631651127.6815147,1631651127.7155893,1848.2403564453125
5,6,2,1631651127.7172604,1631651129.7002554,1849.447998046875
6,7,2,1631651129.702184,1631651129.7398796,1842.1806640625
7,8,2,1631651129.7402782,1631651130.4874704,1782.7921142578125
8,9,2,1631651130.4882596,1631651130.5082276,3776.53955078125
9,10,2,1631651130.5083852,1631651130.5424333,1854.1956787109375
10,11,3,1631651130.544311,1631651130.906859,1846.1845703125
11,12,3,1631651130.9072735,1631651130.933894,1867.3775634765625
12,13,3,1631651130.9340992,1631651131.6800973,1781.919677734375
13,14,3,1631651131.6809287,1631651131.717964,1932.4776611328125
14,15,3,1631651131.718128,1631651131.74011,1855.456298828125
15,16,4,1631651131.7418604,1631651132.133826,1854.9716796875
16,17,4,1631651132.134259,1631651132.154053,2057.275390625
17,18,4,1631651132.1542,1631651132.1937265,2205.14453125
18,19,4,1631651132.1938882,1631651132.2288878,1859.7431640625
19,20,4,1631651132.2290447,1631651132.267102,1851.0531005859375
20,21,5,1631651132.2689152,1631651132.6317153,1850.007568359375
21,22,5,1631651132.6321208,1631651132.6694689,1904.5142822265625
22,23,5,1631651132.6696277,1631651132.704253,1819.4403076171875
23,24,5,1631651132.7044497,1631651133.0675144,1846.550537109375
24,25,5,1631651133.0679655,1631651133.0975428,1834.66845703125
25,26,6,1631651133.0992754,1631651133.1210206,1851.8343505859375
26,27,6,1631651133.1211643,1631651133.7443435,1827.1158447265625
27,28,6,1631651133.7451055,1631651134.4918408,1782.122314453125
28,29,6,1631651134.4927225,1631651135.2921765,1803.451416015625
29,30,6,1631651135.2932189,1631651135.3228004,1837.77490234375
30,31,7,1631651135.3245442,1631651135.3533597,1850.9053955078125
31,32,7,1631651135.3535104,1631651135.9755025,1824.584228515625
32,33,7,1631651135.9762642,1631651136.722642,1785.82177734375
33,34,7,1631651136.7235298,1631651137.3472517,1802.47216796875
34,35,7,1631651137.348266,1631651137.383279,1807.943359375
35,36,8,1631651137.3852189,1631651137.7471735,1854.4246826171875
36,37,8,1631651137.747588,1631651138.3704157,1806.5748291015625
37,38,8,1631651138.371218,1631651139.1172233,1785.0411376953125
38,39,8,1631651139.1181128,1631651139.4823136,1790.11962890625
39,40,8,1631651139.4828846,1631651139.5178008,1835.3885498046875
40,41,9,1631651139.5195801,1631651139.881757,1794.70849609375
41,42,9,1631651139.8821747,1631651140.6280549,1783.9029541015625
42,43,9,1631651140.6288836,1631651141.0024364,1789.187744140625
43,44,9,1631651141.0028937,1631651141.3651114,1792.203125
44,45,9,1631651141.3655684,1631651141.3851132,3320.679931640625
45,46,10,1631651141.3867857,1631651141.760041,1797.154296875
46,47,10,1631651141.7604604,1631651142.506444,1781.10400390625
47,48,10,1631651142.5072637,1631651143.3314934,1781.6365966796875
48,49,10,1631651143.3323696,1631651143.7227235,1780.9197998046875
49,50,10,1631651143.7232504,1631651144.4099643,1795.03955078125
50,51,11,1631651144.4125156,1631651144.81416,1780.9989013671875
51,52,11,1631651144.8145792,1631651145.5015507,1809.5684814453125
52,53,11,1631651145.5024016,1631651146.2548373,1780.8917236328125
53,54,11,1631651146.2556565,1631651147.1096811,1788.705078125
54,55,11,1631651147.1105938,1631651148.0129948,1794.804443359375
55,56,12,1631651148.0155036,1631651148.7612252,1781.4130859375
56,57,12,1631651148.761998,1631651149.5079253,1780.8939208984375
57,58,12,1631651149.5088263,1631651149.9009504,1781.5068359375
58,59,12,1631651149.9014094,1631651150.2910933,1792.8330078125
59,60,12,1631651150.291557,1631651151.1479335,1785.6607666015625
60,61,13,1631651151.1504962,1631651151.895434,1780.861083984375
61,62,13,1631651151.8962047,1631651152.6408355,1784.4615478515625
62,63,13,1631651152.641707,1631651153.4655528,1784.2833251953125
