,model,learning_rate,dropout,n_hidden,hidden_1,hidden_2,hidden_3,hidden_4,hidden_5
0,lstm,0.1,0.8,1,44,96,55,71,34
1,lstm,0.1,0.8,5,34,71,89,90,12
2,lstm,0.1,0.8,5,34,71,55,90,12
3,lstm,1e-05,0.8,1,74,96,28,66,9
4,lstm,0.0001,0.0,3,99,96,55,71,58
5,lstm,1e-05,0.0,4,34,71,55,90,12
6,lstm,0.1,0.8,1,20,21,25,40,34
7,lstm,0.1,0.8,1,44,96,55,71,34
8,lstm,0.1,0.4,2,34,54,55,90,53
9,lstm,0.1,0.1,1,44,22,55,71,14
10,lstm,0.1,0.0,1,44,12,22,71,12
11,lstm,0.1,0.0,1,44,12,22,71,12
12,lstm,0.1,0.0,2,44,33,22,71,12
13,lstm,0.1,0.3,2,44,33,22,71,12
14,lstm,0.1,0.0,2,70,28,22,58,44
15,lstm,0.1,0.1,2,44,25,55,71,45
16,lstm,0.1,0.4,2,18,19,22,58,35
17,lstm,0.1,0.0,1,44,33,25,72,9
18,lstm,0.1,0.4,1,10,16,52,71,8
19,lstm,0.1,0.0,1,44,16,52,71,8
20,lstm,0.1,0.4,1,10,16,52,71,8
21,lstm,0.1,0.4,1,10,16,52,71,8
22,lstm,0.1,0.4,1,51,16,52,71,8
23,lstm,0.1,0.2,2,52,25,22,58,52
24,lstm,0.1,0.4,1,10,16,52,71,11
25,lstm,0.1,0.0,2,10,33,22,71,8
26,lstm,0.1,0.1,1,44,22,55,71,14
27,lstm,0.1,0.4,2,18,16,22,58,8
28,lstm,0.1,0.4,1,10,16,22,48,8
29,lstm,0.1,0.4,1,10,16,52,71,8
30,lstm,0.1,0.2,2,56,33,22,71,12
31,lstm,0.1,0.1,1,44,16,52,71,14
32,lstm,0.1,0.2,1,7,33,22,71,12
33,lstm,0.1,0.1,1,12,22,42,71,16
34,lstm,0.1,0.4,1,44,16,52,71,8
35,lstm,0.1,0.1,1,44,22,55,71,14
36,lstm,0.1,0.2,2,34,16,52,58,51
37,lstm,0.1,0.2,2,52,25,22,58,57
38,lstm,0.1,0.4,2,18,19,22,60,50
39,lstm,0.1,0.4,1,50,19,22,58,35
40,lstm,0.1,0.1,2,81,16,22,58,58
41,lstm,0.1,0.1,1,27,13,76,67,18
42,lstm,0.1,0.3,2,42,11,44,71,12
43,lstm,0.1,0.2,1,12,33,43,71,7
44,lstm,0.1,0.1,1,32,21,55,58,14
45,lstm,0.1,0.0,1,49,17,43,71,38
46,lstm,0.1,0.4,2,14,25,38,49,49
47,lstm,0.1,0.2,2,34,25,4,58,51
48,lstm,0.1,0.0,1,49,22,43,71,38
49,lstm,0.1,0.2,2,45,16,52,58,52
50,lstm,0.1,0.5,1,5,17,43,71,46
51,lstm,0.1,0.0,1,68,16,42,58,43
52,lstm,0.1,0.2,1,52,25,22,71,14
53,lstm,0.1,0.0,1,36,19,19,71,38
54,lstm,0.1,0.1,1,44,23,55,71,14
55,lstm,0.1,0.0,1,51,19,52,64,38
56,lstm,0.1,0.5,1,52,25,22,60,14
57,lstm,0.1,0.2,1,52,25,22,71,14
58,lstm,0.1,0.2,1,51,22,23,71,14
59,lstm,0.1,0.4,2,23,16,52,62,51
60,lstm,0.1,0.1,1,28,26,6,61,11
61,lstm,0.1,0.4,1,39,19,22,58,52
62,lstm,0.1,0.1,1,52,25,47,71,5
63,lstm,0.1,0.0,1,49,17,49,71,52
64,lstm,0.1,0.0,1,32,17,43,71,64
65,lstm,0.1,0.2,1,41,25,22,58,14
66,lstm,0.1,0.2,1,52,25,22,71,14
67,lstm,0.1,0.0,1,49,17,43,71,38
68,lstm,0.1,0.4,1,39,19,22,58,52
69,lstm,0.1,0.4,1,21,21,22,58,25
70,lstm,0.1,0.1,1,52,25,13,71,14
71,lstm,0.1,0.2,1,52,25,22,71,43
72,lstm,0.1,0.4,1,39,18,27,52,59
73,lstm,0.1,0.1,1,51,25,55,71,11
74,lstm,0.1,0.5,1,12,10,43,71,38
75,lstm,0.1,0.0,1,49,18,11,71,37
76,lstm,0.1,0.1,2,51,25,56,62,40
77,lstm,0.1,0.2,1,31,25,75,71,36
78,lstm,0.1,0.1,1,51,25,55,71,14
79,lstm,0.1,0.2,1,52,25,22,71,14
80,lstm,0.1,0.0,1,52,25,55,71,38
81,lstm,0.1,0.0,1,51,26,55,71,11
82,lstm,0.1,0.4,1,39,19,22,58,52
83,lstm,0.1,0.2,1,49,17,22,71,38
84,lstm,0.1,0.2,1,52,25,55,71,14
85,lstm,0.1,0.4,1,23,17,52,62,51
86,lstm,0.1,0.5,1,11,13,50,58,11
87,lstm,0.1,0.1,1,58,25,52,69,11
88,lstm,0.1,0.7,1,49,17,33,71,63
89,lstm,0.1,0.1,1,51,17,55,71,51
