,function_evaluations,iteration,start_time,end_time,val_mse
0,1,1,1631650110.1314461,1631650110.7426074,2293.693115234375
1,2,1,1631650110.7430177,1631650110.7837563,2393.812744140625
2,3,1,1631650110.783915,1631650112.029498,2294.888916015625
3,4,1,1631650112.0303545,1631650113.3657296,2272.21240234375
4,5,1,1631650113.3666792,1631650113.4231176,2302.8056640625
5,6,2,1631650113.4249175,1631650116.7242339,2296.93994140625
6,7,2,1631650116.726117,1631650116.787537,2323.33447265625
7,8,2,1631650116.7877154,1631650118.0418866,2295.532958984375
8,9,2,1631650118.0429318,1631650118.0754862,3679.761474609375
9,10,2,1631650118.0756423,1631650118.1311345,2307.377197265625
10,11,3,1631650118.1330621,1631650118.7396483,2300.044677734375
11,12,3,1631650118.7400815,1631650118.783982,2307.345947265625
12,13,3,1631650118.7841399,1631650120.0376832,2291.724365234375
13,14,3,1631650120.038511,1631650120.0989861,2317.12939453125
14,15,3,1631650120.0991566,1631650120.1352077,2316.471923828125
15,16,4,1631650120.1369143,1631650121.4306645,2293.912353515625
16,17,4,1631650121.4314291,1631650121.4622517,2400.140380859375
17,18,4,1631650121.4624097,1631650121.5073092,2313.225830078125
18,19,4,1631650121.5074677,1631650123.7390518,2293.800048828125
19,20,4,1631650123.74066,1631650124.9252005,2296.383544921875
20,21,5,1631650124.9278197,1631650125.5345411,2294.4912109375
21,22,5,1631650125.5349557,1631650129.1505644,2292.5546875
22,23,5,1631650129.1525447,1631650130.4047093,2296.7568359375
23,24,5,1631650130.4056277,1631650134.0109496,2294.5927734375
24,25,5,1631650134.0134249,1631650135.1965718,2295.1259765625
25,26,6,1631650135.1993492,1631650135.8052676,2295.317626953125
26,27,6,1631650135.8056967,1631650136.9564435,2296.364013671875
27,28,6,1631650136.957302,1631650138.208549,2296.599609375
28,29,6,1631650138.209419,1631650138.7745962,2297.1650390625
29,30,6,1631650138.7750444,1631650139.9583123,2294.837158203125
30,31,7,1631650139.960856,1631650140.4081967,2298.6533203125
31,32,7,1631650140.408548,1631650141.2178164,2297.480712890625
32,33,7,1631650141.2183473,1631650141.8918617,2309.51611328125
33,34,7,1631650141.8923297,1631650142.51733,2272.4541015625
34,35,7,1631650142.5178218,1631650143.6699674,2297.423583984375
35,36,8,1631650143.672509,1631650144.2821307,2299.483642578125
36,37,8,1631650144.2826,1631650146.3964837,2291.125732421875
37,38,8,1631650146.3980057,1631650147.552019,2300.406494140625
38,39,8,1631650147.552882,1631650148.8886747,2272.656494140625
39,40,8,1631650148.8897948,1631650149.9225428,2293.3779296875
40,41,9,1631650149.9260347,1631650150.4696941,2299.629638671875
41,42,9,1631650150.4700963,1631650152.5810304,2288.448486328125
42,43,9,1631650152.5825467,1631650153.739346,2274.51953125
43,44,9,1631650153.7403128,1631650155.852184,2300.04248046875
44,45,9,1631650155.8538234,1631650156.886772,2291.959716796875
45,46,10,1631650156.8894167,1631650157.4967098,2294.712646484375
46,47,10,1631650157.4971232,1631650159.607704,2295.8662109375
47,48,10,1631650159.6093965,1631650160.7404351,2273.271484375
48,49,10,1631650160.7412689,1631650162.0895476,2272.0302734375
49,50,10,1631650162.0905747,1631650162.862916,2296.72119140625
50,51,11,1631650162.8654006,1631650163.4726436,2300.936767578125
51,52,11,1631650163.4730542,1631650165.585844,2295.8203125
52,53,11,1631650165.587426,1631650167.9476507,2273.81982421875
53,54,11,1631650167.9493825,1631650169.301571,2280.759765625
54,55,11,1631650169.3026173,1631650170.6526144,2273.68701171875
55,56,12,1631650170.6556535,1631650171.2000482,2298.628173828125
56,57,12,1631650171.2004547,1631650173.5606034,2275.1767578125
57,58,12,1631650173.5622036,1631650175.2008016,2274.4697265625
58,59,12,1631650175.2020872,1631650176.554963,2278.06787109375
59,60,12,1631650176.555983,1631650177.8980956,2273.008544921875
60,61,13,1631650177.9012108,1631650178.508704,2298.170654296875
61,62,13,1631650178.509116,1631650180.8656647,2274.297119140625
62,63,13,1631650180.867249,1631650182.0093277,2275.198486328125
63,64,13,1631650182.0101693,1631650183.3608596,2294.42822265625
64,65,13,1631650183.3618882,1631650185.0091743,2272.15771484375
65,66,14,1631650185.0120165,1631650185.6370199,2291.639404296875
66,67,14,1631650185.637445,1631650186.9735694,2281.9052734375
67,68,14,1631650186.9745438,1631650188.007227,2278.951904296875
68,69,14,1631650188.0080976,1631650189.6764424,2275.3369140625
69,70,14,1631650189.6774817,1631650191.2134762,2272.20458984375
70,71,15,1631650191.216204,1631650191.8408332,2274.34423828125
71,72,15,1631650191.84125,1631650192.2674186,2295.51318359375
72,73,15,1631650192.2677774,1631650193.3955677,2274.15625
73,74,15,1631650193.3963687,1631650195.0594242,2274.50537109375
74,75,15,1631650195.0604484,1631650197.5358286,2273.36181640625
75,76,16,1631650197.5390003,1631650198.1465619,2274.830078125
76,77,16,1631650198.146979,1631650199.8092248,2273.41064453125
77,78,16,1631650199.8101976,1631650201.0350425,2273.658203125
78,79,16,1631650201.035883,1631650202.4724083,2275.1455078125
79,80,16,1631650202.4735396,1631650204.1289053,2273.4140625
80,81,17,1631650204.132403,1631650204.7578368,2272.031005859375
81,82,17,1631650204.7582698,1631650206.5561142,2272.390380859375
82,83,17,1631650206.5573351,1631650208.4825296,2272.854248046875
83,84,17,1631650208.4838896,1631650209.8407357,2272.47900390625
84,85,17,1631650209.8417692,1631650211.4649222,2274.909912109375
85,86,18,1631650211.4678226,1631650212.0921113,2275.08935546875
86,87,18,1631650212.0925338,1631650213.918327,2272.849365234375
87,88,18,1631650213.919383,1631650215.797579,2274.873779296875
88,89,18,1631650215.7988677,1631650217.4168463,2273.5283203125
89,90,18,1631650217.4178722,1631650218.75906,2272.56103515625
90,91,19,1631650218.7617116,1631650220.5535917,2274.17041015625
91,92,19,1631650220.5547411,1631650220.882522,2272.046875
92,93,19,1631650220.8829277,1631650222.5370407,2274.103515625
93,94,19,1631650222.538086,1631650223.8905942,2272.908935546875
94,95,19,1631650223.8916273,1631650224.5967076,2275.88671875
95,96,20,1631650224.5988767,1631650226.1313474,2273.481201171875
96,97,20,1631650226.1324573,1631650226.4607062,2281.8466796875
97,98,20,1631650226.4610198,1631650228.3331313,2273.947998046875
