,model,learning_rate,dropout,n_hidden,hidden_1,hidden_2,hidden_3,hidden_4,hidden_5
0,lstm,0.1,0.8,5,34,71,89,90,12
1,lstm,0.1,0.8,5,34,71,89,90,12
2,lstm,0.1,0.8,3,44,23,55,52,45
3,lstm,0.1,0.0,5,34,71,89,90,12
4,lstm,0.1,0.8,4,34,71,87,90,12
5,mlp,0.1,0.0,5,34,4,67,90,59
6,mlp,0.1,0.0,2,34,4,67,90,63
7,mlp,0.1,0.0,3,34,4,28,37,59
8,mlp,0.1,0.0,5,34,4,67,90,59
9,mlp,0.1,0.0,3,34,4,28,37,59
10,mlp,0.1,0.0,3,34,4,28,37,59
11,lstm,0.1,0.8,5,34,23,67,90,44
12,mlp,0.1,0.0,5,14,10,28,95,59
13,lstm,0.1,0.0,5,14,4,67,90,59
14,lstm,0.1,0.0,5,14,4,7,90,59
15,lstm,0.1,0.0,5,14,4,7,90,59
16,mlp,0.1,0.0,3,89,4,28,68,59
17,mlp,0.1,0.0,5,14,4,28,68,59
18,mlp,0.1,0.0,3,5,10,28,95,59
19,mlp,0.1,0.0,5,14,4,28,68,59
20,mlp,0.1,0.0,3,34,4,28,52,58
21,mlp,0.1,0.0,3,34,4,28,52,58
22,mlp,0.1,0.0,3,5,4,28,95,59
23,mlp,0.1,0.0,5,14,4,28,68,59
24,mlp,0.1,0.0,5,14,4,28,68,59
25,mlp,0.1,0.0,5,14,4,28,95,59
26,mlp,0.1,0.0,5,14,4,28,95,59
27,mlp,0.1,0.0,3,5,10,28,95,59
28,mlp,0.1,0.0,3,34,4,28,52,58
29,lstm,0.1,0.0,5,25,4,87,90,59
30,mlp,0.1,0.0,3,34,4,28,52,58
31,mlp,0.1,0.0,3,14,4,28,95,59
32,mlp,0.1,0.0,3,34,4,28,98,58
33,mlp,0.1,0.0,5,25,4,28,95,59
34,mlp,0.1,0.0,3,31,4,46,64,58
35,mlp,0.1,0.0,5,25,4,87,90,58
36,mlp,0.1,0.0,3,89,4,28,68,59
37,mlp,0.1,0.0,1,34,9,28,52,59
38,mlp,0.1,0.0,3,5,4,28,90,59
39,mlp,0.1,0.0,3,34,4,28,52,58
40,mlp,0.1,0.0,3,14,4,28,95,59
41,mlp,0.1,0.0,3,89,4,28,68,59
42,mlp,0.1,0.0,5,14,4,28,83,59
43,lstm,0.1,0.0,5,67,4,87,90,59
44,mlp,0.1,0.0,3,14,10,28,95,59
45,lstm,0.1,0.0,3,5,10,87,61,58
46,mlp,0.1,0.0,5,67,4,28,95,59
47,mlp,0.1,0.0,3,14,4,28,95,59
48,mlp,0.1,0.0,3,97,4,28,95,59
49,mlp,0.1,0.0,3,14,10,28,95,59
50,mlp,0.1,0.0,3,34,4,28,52,58
51,lstm,0.1,0.0,5,67,4,28,95,59
52,mlp,0.1,0.0,3,14,4,28,95,59
53,mlp,0.1,0.0,3,14,10,28,95,59
54,mlp,0.1,0.0,3,24,10,28,97,59
55,mlp,0.1,0.0,3,24,4,28,97,59
56,mlp,0.1,0.0,3,24,4,28,97,59
57,mlp,0.1,0.0,3,24,4,28,97,59
58,mlp,0.1,0.0,3,40,4,28,52,58
59,mlp,0.1,0.0,3,89,4,28,68,59
60,mlp,0.1,0.0,3,12,4,28,69,58
61,mlp,0.1,0.0,3,60,4,28,46,58
62,mlp,0.1,0.0,3,98,4,28,81,59
63,mlp,0.1,0.0,3,31,4,28,64,58
64,mlp,0.1,0.0,3,14,4,28,95,59
65,mlp,0.1,0.0,3,14,4,28,90,59
66,mlp,0.1,0.0,3,61,4,28,90,58
67,mlp,0.1,0.0,3,24,4,28,97,59
68,mlp,0.1,0.0,3,89,4,28,68,59
69,mlp,0.1,0.0,3,89,4,28,68,58
70,mlp,0.1,0.0,3,14,4,28,95,59
71,mlp,0.1,0.0,3,61,4,28,90,58
72,mlp,0.1,0.0,3,24,4,28,35,58
73,mlp,0.1,0.0,3,62,4,28,39,59
74,mlp,0.1,0.0,3,34,4,28,71,59
75,mlp,0.1,0.0,3,89,4,28,68,59
76,mlp,0.1,0.0,3,61,4,28,96,58
77,mlp,0.1,0.0,3,61,4,28,90,58
78,mlp,0.1,0.0,3,14,4,28,58,59
79,mlp,0.1,0.0,3,34,4,28,68,59
80,mlp,0.1,0.0,3,67,4,28,68,57
81,mlp,0.1,0.0,3,33,4,28,97,59
82,mlp,0.1,0.0,3,14,4,28,95,59
83,mlp,0.1,0.0,3,87,4,28,68,59
84,mlp,0.1,0.0,3,6,4,28,97,58
85,mlp,0.1,0.0,3,4,4,28,97,59
86,mlp,0.1,0.0,3,34,4,28,52,57
87,mlp,0.1,0.0,3,24,4,28,98,59
88,mlp,0.1,0.0,3,89,4,28,68,59
89,mlp,0.1,0.0,3,24,4,28,97,59
