,function_evaluations,iteration,start_time,end_time,val_mse
0,1,1,1631650940.8940694,1631650941.2586594,1852.6678466796875
1,2,1,1631650941.2590914,1631650941.2830384,1950.962646484375
2,3,1,1631650941.2831995,1631650942.0233915,1782.0408935546875
3,4,1,1631650942.024247,1631650942.8257034,1807.0875244140625
4,5,1,1631650942.8267138,1631650942.8604236,1846.431884765625
5,6,1,1631650942.860586,1631650943.1948152,1856.551513671875
6,7,1,1631650943.1952312,1631650944.3020878,1813.4525146484375
7,8,1,1631650944.3035815,1631650945.499966,1786.7093505859375
8,9,1,1631650945.501179,1631650947.1808145,1859.507568359375
9,10,1,1631650947.1828568,1631650947.207976,1889.292724609375
10,11,1,1631650947.2081459,1631650948.1187046,1856.1982421875
11,12,1,1631650948.11972,1631650948.1576054,1873.1417236328125
12,13,1,1631650948.1577728,1631650948.177935,1835.0665283203125
13,14,1,1631650948.1780846,1631650948.1971884,2029.1005859375
14,15,1,1631650948.1973403,1631650948.2224238,1831.6014404296875
15,16,1,1631650948.2225757,1631650950.183378,1851.52880859375
16,17,1,1631650950.185848,1631650951.6534467,1790.0684814453125
17,18,1,1631650951.654745,1631650952.7442,1846.9462890625
18,19,1,1631650952.7455087,1631650952.765059,1880.9815673828125
19,20,1,1631650952.7652133,1631650952.7938197,1836.6602783203125
20,21,1,1631650952.793977,1631650952.813404,1948.2298583984375
21,22,1,1631650952.8135529,1631650952.8478158,2003.99658203125
22,23,1,1631650952.8479736,1631650952.877229,1876.0357666015625
23,24,1,1631650952.8773894,1631650952.901396,1964.3482666015625
24,25,1,1631650952.9015477,1631650953.2934337,1853.995849609375
25,26,1,1631650953.2939332,1631650953.3325884,1833.975341796875
26,27,1,1631650953.3327496,1631650954.4041502,1844.2047119140625
27,28,1,1631650954.4051943,1631650955.206582,1849.9515380859375
28,29,1,1631650955.2076044,1631650956.5299375,1852.0489501953125
29,30,1,1631650956.5314531,1631650956.5696945,1848.039306640625
30,31,1,1631650956.5698733,1631650958.579124,1840.6553955078125
31,32,1,1631650958.5813472,1631650958.6156824,1857.721435546875
32,33,1,1631650958.6158626,1631650958.648589,1852.6583251953125
33,34,1,1631650958.648752,1631650960.8627577,1847.78173828125
34,35,1,1631650960.8648808,1631650962.7054393,1845.5037841796875
35,36,1,1631650962.707532,1631650964.4865866,1851.9134521484375
36,37,1,1631650964.488521,1631650964.522622,1822.9774169921875
37,38,1,1631650964.522799,1631650964.5467956,1875.234619140625
38,39,1,1631650964.5469518,1631650964.5798602,1853.3580322265625
39,40,1,1631650964.5800207,1631650964.6148016,1810.5596923828125
40,41,1,1631650964.6149607,1631650966.623894,1798.49755859375
41,42,1,1631650966.6261823,1631650967.976543,1853.7786865234375
42,43,1,1631650967.9782674,1631650968.0065281,1838.5208740234375
43,44,1,1631650968.0066955,1631650969.6275027,1790.4644775390625
44,45,1,1631650969.6293328,1631650971.628335,1843.0467529296875
45,46,2,1631650971.631417,1631650972.3725302,1780.6553955078125
46,47,2,1631650972.3736036,1631650973.1131558,1831.906005859375
47,48,2,1631650973.1142821,1631650973.853358,1785.1654052734375
48,49,2,1631650973.8544786,1631650974.593787,1779.4385986328125
49,50,2,1631650974.5949273,1631650975.3334746,1781.4688720703125
50,51,2,1631650975.3345819,1631650976.0547884,1780.711181640625
51,52,2,1631650976.0558932,1631650977.3083007,1780.5633544921875
52,53,2,1631650977.3098826,1631650977.540027,1788.1517333984375
53,54,2,1631650977.5406306,1631650978.2801225,1780.9278564453125
54,55,2,1631650978.2812412,1631650979.0201771,1781.7984619140625
55,56,2,1631650979.0213,1631650979.7601175,1782.1669921875
56,57,2,1631650979.7612324,1631650980.500192,1780.804443359375
57,58,2,1631650980.501376,1631650981.2400553,1782.2281494140625
58,59,2,1631650981.2411623,1631650981.979869,1782.6812744140625
59,60,2,1631650981.9809644,1631650982.7194922,1781.2908935546875
60,61,2,1631650982.7205915,1631650983.4595,1781.1142578125
61,62,2,1631650983.4606616,1631650984.1994514,1784.0777587890625
62,63,2,1631650984.2006872,1631650984.9393818,1781.0792236328125
63,64,2,1631650984.9404745,1631650985.6790092,1785.2001953125
64,65,2,1631650985.6801078,1631650986.4202974,1839.218505859375
65,66,2,1631650986.4216213,1631650987.1610415,1784.3350830078125
66,67,2,1631650987.1621342,1631650987.9062634,1781.4012451171875
67,68,2,1631650987.9073637,1631650988.6280332,1784.36376953125
68,69,2,1631650988.6291375,1631650989.3688293,1782.1231689453125
69,70,2,1631650989.3699386,1631650989.5993629,1781.606201171875
70,71,2,1631650989.5999439,1631650990.8517907,1780.1495361328125
71,72,2,1631650990.8533537,1631650991.591801,1780.6724853515625
72,73,2,1631650991.5929234,1631650992.3319025,1782.8917236328125
73,74,2,1631650992.3330154,1631650993.0725496,1781.4512939453125
74,75,2,1631650993.073715,1631650993.81271,1781.095947265625
75,76,2,1631650993.8138032,1631650994.5528038,1781.454833984375
76,77,2,1631650994.5539155,1631650995.2925434,1783.6435546875
77,78,2,1631650995.2936594,1631650996.032239,1781.1883544921875
78,79,2,1631650996.033341,1631650996.7721374,1786.1517333984375
79,80,2,1631650996.7735863,1631650997.512047,1780.6666259765625
80,81,2,1631650997.5131493,1631650998.2516973,1781.4813232421875
81,82,2,1631650998.2529445,1631650998.992299,1782.5018310546875
82,83,2,1631650998.9933925,1631650999.7324324,1781.9376220703125
83,84,2,1631650999.7335303,1631651000.4737203,1781.2059326171875
84,85,2,1631651000.4748135,1631651001.2136343,1781.3634033203125
85,86,2,1631651001.214726,1631651001.952946,1781.0008544921875
86,87,2,1631651001.954043,1631651002.6743498,1782.8428955078125
87,88,2,1631651002.675447,1631651003.6694455,1783.989013671875
88,89,2,1631651003.6707811,1631651004.1547337,1785.4580078125
89,90,2,1631651004.1556973,1631651004.895212,1780.5286865234375
90,91,3,1631651004.8963242,1631651005.6351378,1785.4580078125
91,92,3,1631651005.6361492,1631651006.3747659,1780.9921875
92,93,3,1631651006.3758857,1631651007.1147592,1781.179443359375
93,94,3,1631651007.1158729,1631651007.8538954,1781.6092529296875
94,95,3,1631651007.8550017,1631651008.5940201,1782.01904296875
95,96,3,1631651008.5951154,1631651009.3347824,1781.002197265625
96,97,3,1631651009.3358808,1631651010.0743902,1788.598388671875
97,98,3,1631651010.0757995,1631651010.815431,1781.0592041015625
98,99,3,1631651010.8166606,1631651011.5549371,1785.11181640625
99,100,3,1631651011.556029,1631651012.2939677,1782.0260009765625
100,101,3,1631651012.2950578,1631651013.0333605,1781.00341796875
101,102,3,1631651013.0344634,1631651013.7737105,1780.831298828125
102,103,3,1631651013.7748196,1631651014.514243,1786.1239013671875
103,104,3,1631651014.5153494,1631651015.2350554,1786.0018310546875
104,105,3,1631651015.2361531,1631651015.9746387,1787.83349609375
105,106,3,1631651015.9757395,1631651016.5886858,1785.9876708984375
106,107,3,1631651016.5898297,1631651017.455596,1781.065185546875
107,108,3,1631651017.4568117,1631651018.1958706,1780.6990966796875
108,109,3,1631651018.1970592,1631651018.9362316,1781.809326171875
109,110,3,1631651018.9373322,1631651019.676603,1786.814208984375
110,111,3,1631651019.6776993,1631651020.4159706,1785.85107421875
111,112,3,1631651020.4170675,1631651021.1560159,1786.6380615234375
112,113,3,1631651021.1571176,1631651021.8956606,1780.6591796875
113,114,3,1631651021.8967874,1631651022.6364925,1781.0172119140625
