,model,learning_rate,dropout,n_hidden,hidden_1,hidden_2,hidden_3,hidden_4,hidden_5
0,lstm,1e-05,0.1,3,19,67,61,64,87
1,mlp,0.01,0.1,4,7,53,59,81,4
2,mlp,0.001,0.3,5,17,44,7,6,7
3,lstm,0.0001,0.3,4,96,7,71,32,60
4,mlp,1e-05,0.3,3,33,90,32,62,41
5,lstm,0.0001,0.8,1,27,84,96,41,19
6,mlp,1e-05,0.6,5,89,28,42,40,79
7,mlp,1e-05,0.6,5,8,65,35,99,55
8,mlp,0.01,0.5,5,93,90,98,51,15
9,mlp,1e-05,0.1,2,70,54,51,66,97
10,lstm,0.0001,0.0,3,94,82,79,78,54
11,lstm,0.01,0.8,2,5,29,73,74,33
12,mlp,1e-05,0.5,5,49,62,38,88,74
13,lstm,0.0001,0.8,2,70,75,30,58,11
14,mlp,0.001,0.9,5,29,68,56,66,49
15,mlp,0.001,0.0,5,73,83,82,46,62
16,lstm,0.01,0.2,5,78,27,15,74,36
17,lstm,0.1,0.1,1,61,5,100,100,39
18,lstm,0.001,0.1,5,27,48,41,12,25
19,lstm,0.001,0.8,2,88,38,86,95,41
20,mlp,0.001,0.7,4,18,7,43,53,47
21,mlp,0.01,0.4,1,36,97,69,30,81
22,mlp,0.1,0.3,1,54,22,8,96,24
23,mlp,1e-05,0.6,5,32,84,92,70,61
24,lstm,1e-05,0.0,4,90,77,45,88,84
25,mlp,0.1,0.4,2,31,10,43,13,13
26,mlp,0.001,0.2,4,76,36,20,5,75
27,lstm,1e-05,0.3,5,62,25,94,83,69
28,lstm,0.0001,0.3,3,16,30,77,90,59
29,lstm,0.0001,0.1,4,41,68,67,6,45
30,mlp,0.001,0.0,2,29,45,76,21,47
31,mlp,0.01,0.4,1,52,74,48,91,72
32,mlp,1e-05,0.3,1,96,9,14,21,25
33,lstm,1e-05,0.3,3,46,80,68,36,51
34,mlp,0.001,0.1,3,34,81,95,66,21
35,lstm,0.001,0.0,4,13,52,22,20,47
36,lstm,1e-05,0.9,4,13,77,74,32,76
37,lstm,0.001,0.5,3,76,72,18,62,39
38,lstm,0.1,0.4,1,82,89,5,15,56
39,lstm,0.1,0.3,2,79,57,24,18,61
40,lstm,0.01,0.2,1,59,52,73,41,74
41,mlp,0.0001,0.5,1,30,87,44,9,7
42,lstm,0.001,0.9,3,61,54,44,55,12
43,lstm,0.001,0.9,4,18,36,31,83,73
