,function_evaluations,iteration,start_time,end_time,val_mse
0,1,1,1631651442.4452178,1631651442.6509333,162.07366943359375
1,2,2,1631651442.651301,1631651442.6693795,105.20590209960938
2,3,3,1631651442.6694624,1631651442.6873128,164.19703674316406
3,4,4,1631651442.687397,1631651443.814563,171.3013153076172
4,5,5,1631651443.8164248,1631651443.831844,166.91189575195312
5,6,6,1631651443.8319285,1631651444.0826986,161.44972229003906
6,7,7,1631651444.083175,1631651444.103053,168.13861083984375
7,8,8,1631651444.103137,1631651444.123111,168.13856506347656
8,9,9,1631651444.1231933,1631651444.1441073,123.79438781738281
9,10,10,1631651444.1441908,1631651444.157144,159.6303253173828
10,11,11,1631651444.1572206,1631651445.21063,164.75128173828125
11,12,12,1631651445.2124083,1631651445.2718945,157.8778076171875
12,13,13,1631651445.2720451,1631651445.2925324,165.83587646484375
13,14,14,1631651445.2926178,1631651445.9995925,173.52603149414062
14,15,15,1631651446.0010097,1631651446.0214362,161.73028564453125
15,16,16,1631651446.0215197,1631651446.0418541,120.66264343261719
16,17,17,1631651446.041939,1631651447.0543497,159.45240783691406
17,18,18,1631651447.0559065,1631651447.618338,129.01336669921875
18,19,19,1631651447.6195915,1631651447.9175482,170.67967224121094
19,20,20,1631651447.9180229,1631651448.8072915,162.2708282470703
20,21,21,1631651448.8090057,1631651448.8259964,161.37973022460938
21,22,22,1631651448.8260784,1631651448.8363774,107.51446533203125
22,23,23,1631651448.836453,1631651448.847026,132.3540496826172
23,24,24,1631651448.8471005,1631651448.8681924,167.24269104003906
24,25,25,1631651448.8682752,1631651449.9105842,162.13050842285156
25,26,26,1631651449.9123294,1631651449.92483,141.17660522460938
26,27,27,1631651449.924914,1631651449.9414282,163.97817993164062
27,28,28,1631651449.9415107,1631651450.7726135,171.11212158203125
28,29,29,1631651450.7739556,1631651450.9461734,162.72828674316406
29,30,30,1631651450.9464924,1631651451.3951616,166.39332580566406
30,31,31,1631651451.3960114,1631651451.4079869,137.88307189941406
31,32,32,1631651451.4080646,1631651451.4184365,117.00817108154297
32,33,33,1631651451.418516,1631651451.4289393,184.40728759765625
33,34,34,1631651451.4290133,1631651451.9559488,168.64083862304688
34,35,35,1631651451.956849,1631651451.9728973,114.68274688720703
35,36,36,1631651451.9729767,1631651452.112528,169.45094299316406
36,37,37,1631651452.1127903,1631651452.256623,163.5830078125
37,38,38,1631651452.256887,1631651453.0486555,164.8009490966797
38,39,39,1631651453.0501761,1631651453.7976649,156.52389526367188
39,40,40,1631651453.799288,1631651454.6090956,126.68815612792969
40,41,41,1631651454.6107123,1631651455.151388,154.53775024414062
41,42,42,1631651455.152505,1631651455.1630454,193.32044982910156
42,43,43,1631651455.1631222,1631651455.7939336,168.44190979003906
43,44,44,1631651455.7952046,1631651455.9911485,167.99444580078125
44,45,45,1631651455.991494,1631651456.0042071,120.15492248535156
45,46,46,1631651456.0042837,1631651456.0147974,135.9061279296875
46,47,47,1631651456.0148726,1631651456.0289555,117.9894027709961
47,48,48,1631651456.0290332,1631651456.0394719,119.92090606689453
48,49,49,1631651456.039551,1631651456.6342387,168.3522186279297
49,50,50,1631651456.6352901,1631651457.7311184,124.66077423095703
50,51,51,1631651457.7331243,1631651458.3633177,172.5437469482422
51,52,52,1631651458.3647408,1631651459.2233865,174.8712921142578
52,53,53,1631651459.2252522,1631651459.6297684,167.81216430664062
53,54,54,1631651459.6306345,1631651460.4732833,165.44009399414062
54,55,55,1631651460.4747977,1631651461.2363248,171.0891876220703
55,56,56,1631651461.2374842,1631651461.252396,114.31188201904297
56,57,57,1631651461.2524796,1631651461.2623188,170.51141357421875
57,58,58,1631651461.2623954,1631651461.8487139,168.79432678222656
58,59,59,1631651461.8497484,1631651462.0922763,157.45849609375
59,60,60,1631651462.0927422,1631651462.1090107,112.4029312133789
60,61,61,1631651462.1090891,1631651462.1297503,152.1439971923828
61,62,62,1631651462.129832,1631651462.38287,124.67549133300781
62,63,63,1631651462.383313,1631651462.3970044,173.89883422851562
63,64,64,1631651462.3970797,1631651463.2434323,104.31678009033203
64,65,65,1631651463.2451525,1631651463.2558706,145.9042510986328
65,66,66,1631651463.2559488,1631651463.2693198,161.3173828125
66,67,67,1631651463.269399,1631651463.2795248,128.72972106933594
67,68,68,1631651463.2795994,1631651464.0115662,165.77622985839844
68,69,69,1631651464.0128617,1631651464.2115238,161.71714782714844
69,70,70,1631651464.211887,1631651464.7403996,176.7031707763672
70,71,71,1631651464.741412,1631651464.7515314,224.3095703125
71,72,72,1631651464.7516053,1631651465.071954,166.39320373535156
72,73,73,1631651465.0725796,1631651465.0919554,166.58786010742188
73,74,74,1631651465.0920398,1631651465.1020374,124.31936645507812
74,75,75,1631651465.1021116,1631651465.1223147,136.0714874267578
75,76,76,1631651465.1223981,1631651465.1324606,171.2227783203125
76,77,77,1631651465.1325333,1631651465.1489732,155.74676513671875
77,78,78,1631651465.1490545,1631651465.1694481,166.6506805419922
78,79,79,1631651465.1695337,1631651465.7809372,168.26441955566406
79,80,80,1631651465.7820141,1631651466.102029,171.85853576660156
80,81,81,1631651466.1027684,1631651466.1216033,172.33047485351562
81,82,82,1631651466.1216877,1631651467.0610623,165.36346435546875
82,83,83,1631651467.0628536,1631651467.2015254,159.9845733642578
83,84,84,1631651467.2017963,1631651467.214363,172.52255249023438
84,85,85,1631651467.2144413,1631651468.1241667,163.49578857421875
85,86,86,1631651468.126379,1631651468.8506901,170.83212280273438
86,87,87,1631651468.8520858,1631651468.8669477,148.58688354492188
87,88,88,1631651468.8670282,1631651468.8877013,135.1749725341797
88,89,89,1631651468.8877845,1631651469.310368,154.43658447265625
89,90,90,1631651469.311142,1631651469.3238356,168.73541259765625
90,91,91,1631651469.3239143,1631651470.2148838,167.61851501464844
91,92,92,1631651470.2167265,1631651470.2294052,112.56874084472656
92,93,93,1631651470.2294843,1631651470.248651,168.84730529785156
93,94,94,1631651470.2487354,1631651471.2925687,164.21066284179688
94,95,95,1631651471.2949388,1631651471.6020758,165.41615295410156
95,96,96,1631651471.6027632,1631651471.6745703,115.66382598876953
96,97,97,1631651471.6747334,1631651471.6921191,167.7546844482422
97,98,98,1631651471.692198,1631651472.051523,108.87333679199219
98,99,99,1631651472.052208,1631651472.7575858,162.97390747070312
99,100,100,1631651472.7588723,1631651472.7754734,151.40933227539062
100,101,101,1631651472.775555,1631651473.3235123,113.64326477050781
101,102,102,1631651473.3245752,1631651473.809273,164.00711059570312
